Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=60)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/bullhead_1/action_delay_optimized_s0_delayed_q_s0/model/bullhead_1_setting1_dqn_delayed_q -> eval real_setting=setting4
REAL_TEST step:3, travel time:201.94775036284472, q_loss:100, rewards:-47.862765842013886, queue:32.75555555555555, delay:0.7986488342285156, throughput:1289, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:217.26432664756447, q_loss:100, rewards:-51.735009765625, queue:38.647222222222226, delay:0.7562906901041667, throughput:1306, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:240.8582621082621, q_loss:100, rewards:-66.42113715277777, queue:50.34166666666667, delay:0.8284880744086371, throughput:1213, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:191.49214285714285, q_loss:100, rewards:-43.910549587673614, queue:28.647222222222222, delay:0.7870475769042968, throughput:1334, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:189.4265988372093, q_loss:100, rewards:-43.11917317708333, queue:27.291666666666668, delay:0.7982037862141927, throughput:1310, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:190.1931735657226, q_loss:100, rewards:-42.73890516493056, queue:27.241666666666667, delay:0.7898355272081163, throughput:1303, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:176.1797671033479, q_loss:100, rewards:-38.309163411458336, queue:21.836111111111112, delay:0.8050153096516927, throughput:1318, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:192.8353969410051, q_loss:100, rewards:-44.74361436631944, queue:28.247222222222224, delay:0.8105962965223524, throughput:1317, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:178.69609261939218, q_loss:100, rewards:-38.2919677734375, queue:23.102777777777778, delay:0.7876900566948785, throughput:1317, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:170.03064861012118, q_loss:100, rewards:-35.25889485677083, queue:20.32777777777778, delay:0.7942008972167969, throughput:1347, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:172.1368794326241, q_loss:100, rewards:-36.15389811197917, queue:21.483333333333334, delay:0.7979886372884114, throughput:1308, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:175.05667144906744, q_loss:100, rewards:-37.781100802951386, queue:23.225, delay:0.7939929538302951, throughput:1282, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:178.6673758865248, q_loss:100, rewards:-38.29388292100695, queue:25.155555555555555, delay:0.7969439188639323, throughput:1297, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:176.47293447293447, q_loss:100, rewards:-36.68110894097222, queue:23.241666666666667, delay:0.7930324978298611, throughput:1335, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:180.16096866096865, q_loss:100, rewards:-37.87054307725695, queue:24.325, delay:0.7954288058810763, throughput:1349, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:189.647143890094, q_loss:100, rewards:-43.99584689670139, queue:27.961111111111112, delay:0.8240338643391927, throughput:1295, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:178.1240199572345, q_loss:100, rewards:-37.74054633246528, queue:23.644444444444446, delay:0.7946423848470052, throughput:1339, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:173.23326286116983, q_loss:100, rewards:-36.772762044270834, queue:22.108333333333334, delay:0.8049730936686198, throughput:1356, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:178.91750358680056, q_loss:100, rewards:-38.009730360243054, queue:23.61111111111111, delay:0.803998057047526, throughput:1324, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:174.00433839479393, q_loss:100, rewards:-35.48334689670139, queue:21.391666666666666, delay:0.7799468994140625, throughput:1304, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:181.6652391149179, q_loss:100, rewards:-39.24889322916667, queue:26.108333333333334, delay:0.7997230529785156, throughput:1280, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:185.25018076644974, q_loss:100, rewards:-40.116932508680556, queue:26.441666666666666, delay:0.7994964599609375, throughput:1284, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:188.3968253968254, q_loss:100, rewards:-40.722507052951386, queue:27.761111111111113, delay:0.7930569966634115, throughput:1288, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:184.96288365453248, q_loss:100, rewards:-40.40501302083333, queue:27.755555555555556, delay:0.8039438035753038, throughput:1265, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:214.08975265017668, q_loss:100, rewards:-51.77446831597222, queue:38.96388888888889, delay:0.8225295172797309, throughput:1339, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:178.4862385321101, q_loss:100, rewards:-37.03583441840278, queue:24.05, delay:0.8002870347764757, throughput:1346, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:184.5113798008535, q_loss:100, rewards:-40.74944118923611, queue:26.17222222222222, delay:0.8308291965060763, throughput:1352, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:178.98504273504273, q_loss:100, rewards:-39.76666937934028, queue:25.06111111111111, delay:0.815468512641059, throughput:1290, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:180.46137184115523, q_loss:100, rewards:-38.3102783203125, queue:23.666666666666668, delay:0.8193526373969184, throughput:1314, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:187.0404916847433, q_loss:100, rewards:-40.892222764756944, queue:26.52777777777778, delay:0.8175980461968316, throughput:1316, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:219.12953367875647, q_loss:100, rewards:-55.02361111111111, queue:37.522222222222226, delay:0.8299302842881945, throughput:1293, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:207.7759643916914, q_loss:100, rewards:-51.46668836805556, queue:33.19722222222222, delay:0.8246063232421875, throughput:1273, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:203.47803806734993, q_loss:100, rewards:-51.27693142361111, queue:33.21111111111111, delay:0.8396942986382379, throughput:1247, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
