replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/bullhead_1/action_delay_optimized_s0_naive_s0/model/bullhead_1_setting1_dqn_naive -> eval real_setting=setting2
REAL_TEST step:3, travel time:642.0321199143469, q_loss:100, rewards:-224.96803385416666, queue:213.225, delay:0.7886150783962673, throughput:1106, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:632.8320115356885, q_loss:100, rewards:-219.2958984375, queue:202.78333333333333, delay:0.842540995279948, throughput:1247, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:786.1035258814703, q_loss:100, rewards:-280.95694444444445, queue:264.8611111111111, delay:0.9193743387858073, throughput:692, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:1551.3234649122808, q_loss:100, rewards:-396.0872395833333, queue:378.89722222222224, delay:0.9293238321940104, throughput:271, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:1570.9403314917126, q_loss:100, rewards:-398.1525173611111, queue:381.05555555555554, delay:0.9284189860026042, throughput:264, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:1623.315670800451, q_loss:100, rewards:-402.2613715277778, queue:386.6666666666667, delay:0.9089068942599826, throughput:245, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:1600.5812917594656, q_loss:100, rewards:-400.53020833333335, queue:385.81111111111113, delay:0.8775263468424479, throughput:256, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:1645.9635949943117, q_loss:100, rewards:-404.20303819444445, queue:388.84722222222223, delay:0.9033101399739584, throughput:238, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:618.8190271816882, q_loss:100, rewards:-216.2006076388889, queue:202.3, delay:0.8527670118543836, throughput:1150, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:1713.3337222870477, q_loss:100, rewards:-412.0774739583333, queue:395.48333333333335, delay:0.9253667195638021, throughput:216, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:1802.2098914354644, q_loss:100, rewards:-421.19244791666665, queue:403.4611111111111, delay:0.9364627414279514, throughput:188, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
