Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/bullhead_3/action_delay_optimized_s0_oblivious_q_s0/model/bullhead_3_setting1_dqn_oblivious_q -> eval real_setting=setting2
REAL_TEST step:3, travel time:1540.19336795845, q_loss:100, rewards:-959.9689236111111, queue:258.0833333333333, delay:0.788033605504919, throughput:1446, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:1250.4276428327062, q_loss:100, rewards:-862.7232638888889, queue:228.51481481481483, delay:0.7467052318431713, throughput:1565, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:1095.7135761589404, q_loss:100, rewards:-748.9474826388889, queue:199.11574074074073, delay:0.7474184389467593, throughput:1798, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:1333.1797986810136, q_loss:100, rewards:-955.0006076388889, queue:249.57592592592593, delay:0.7982952541775173, throughput:1256, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:723.6297411198074, q_loss:100, rewards:-593.6075520833333, queue:144.975, delay:0.7313602023654514, throughput:2592, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:1036.9066749072929, q_loss:100, rewards:-770.8719618055555, queue:204.4574074074074, delay:0.7747266981336806, throughput:1901, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:721.6038518518518, q_loss:100, rewards:-555.5847222222222, queue:143.1648148148148, delay:0.7451445402922454, throughput:2747, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:1221.1581843191198, q_loss:100, rewards:-879.5605902777778, queue:237.77962962962962, delay:0.7726103040907119, throughput:1681, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:741.3217821782179, q_loss:100, rewards:-556.7256510416667, queue:142.51203703703703, delay:0.7468648274739583, throughput:2383, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:857.9791342260978, q_loss:100, rewards:-693.2745225694445, queue:173.8935185185185, delay:0.7263295491536458, throughput:2096, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:1122.1234359147784, q_loss:100, rewards:-788.8537326388889, queue:219.19351851851852, delay:0.7955361825448496, throughput:1800, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:1171.0897033158813, q_loss:100, rewards:-773.4210069444445, queue:215.51666666666668, delay:0.78226318359375, throughput:1751, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:1115.8557855446215, q_loss:100, rewards:-755.2508680555555, queue:210.89907407407406, delay:0.7864248770254629, throughput:1831, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:1208.2857646229738, q_loss:100, rewards:-790.2296875, queue:220.025, delay:0.7953889634874132, throughput:1632, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:1211.585140419481, q_loss:100, rewards:-807.3905381944444, queue:223.7277777777778, delay:0.7901154694733796, throughput:1683, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:1076.039054808008, q_loss:100, rewards:-760.9280381944444, queue:209.38148148148147, delay:0.7921138057002315, throughput:1837, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:1161.4040511727078, q_loss:100, rewards:-729.9175347222222, queue:202.74537037037038, delay:0.8137440999348958, throughput:1755, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:789.9288045090477, q_loss:100, rewards:-614.6061631944444, queue:162.48888888888888, delay:0.7580908316153067, throughput:2781, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:1058.3654353562006, q_loss:100, rewards:-763.3953125, queue:208.0462962962963, delay:0.8013223153573495, throughput:2290, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:786.0886503067485, q_loss:100, rewards:-632.5848090277777, queue:166.01111111111112, delay:0.7590634946469907, throughput:2681, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:780.599578820698, q_loss:100, rewards:-636.9605034722222, queue:167.72962962962964, delay:0.7631152682834201, throughput:2753, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:1162.339029391661, q_loss:100, rewards:-795.6076388888889, queue:220.525, delay:0.8133757414641204, throughput:1673, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:1097.1377005347595, q_loss:100, rewards:-775.2354166666667, queue:213.9462962962963, delay:0.8032054759837963, throughput:1784, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:1184.740506329114, q_loss:100, rewards:-816.0743923611111, queue:226.3138888888889, delay:0.7871777569806134, throughput:1624, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:1122.0089624267493, q_loss:100, rewards:-790.4115451388889, queue:220.06851851851852, delay:0.8003415708188657, throughput:1790, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:1061.3147715905302, q_loss:100, rewards:-763.9682291666667, queue:213.73981481481482, delay:0.7800071433738426, throughput:1913, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:1098.04337431694, q_loss:100, rewards:-782.4604166666667, queue:219.15277777777777, delay:0.7765549836335359, throughput:1945, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:921.1485981308412, q_loss:100, rewards:-705.84765625, queue:194.38055555555556, delay:0.791369233308015, throughput:2618, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:998.5501618122977, q_loss:100, rewards:-735.2085069444445, queue:204.23981481481482, delay:0.7940661395037616, throughput:2349, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:948.5001609269392, q_loss:100, rewards:-710.5044270833333, queue:192.66203703703704, delay:0.7823144983362269, throughput:2459, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:1081.4224108658743, q_loss:100, rewards:-758.3732638888889, queue:210.9574074074074, delay:0.7951078061704282, throughput:2315, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:868.9091474797759, q_loss:100, rewards:-676.1990451388889, queue:185.0675925925926, delay:0.7887351707175926, throughput:2665, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:882.2318307267709, q_loss:100, rewards:-673.9958333333333, queue:184.15925925925927, delay:0.784337870279948, throughput:2694, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
