replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/cologne1/action_delay_optimized_s0_naive_s0/model/cologne1_setting1_dqn_naive -> eval real_setting=setting2
REAL_TEST step:3, travel time:238.85860889395667, q_loss:100, rewards:-115.94749348958334, queue:77.45833333333333, delay:0.6066063774956597, throughput:1606, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:239.4889015367103, q_loss:100, rewards:-117.22248263888889, queue:78.31111111111112, delay:0.6053367190890842, throughput:1605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:239.51678998292545, q_loss:100, rewards:-117.19373914930556, queue:78.29722222222222, delay:0.605658679538303, throughput:1605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:239.51678998292545, q_loss:100, rewards:-117.19373914930556, queue:78.29722222222222, delay:0.605658679538303, throughput:1605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:229.80483490566039, q_loss:100, rewards:-91.78333333333333, queue:61.275, delay:0.6083879682752821, throughput:1607, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:239.40554298642533, q_loss:100, rewards:-120.72125651041667, queue:80.65555555555555, delay:0.6061862097846137, throughput:1610, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:239.40554298642533, q_loss:100, rewards:-120.72125651041667, queue:80.65555555555555, delay:0.6061862097846137, throughput:1610, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:242.30942970073406, q_loss:100, rewards:-122.78539496527777, queue:82.02222222222223, delay:0.6089646233452691, throughput:1615, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:229.80483490566039, q_loss:100, rewards:-91.78333333333333, queue:61.275, delay:0.6083879682752821, throughput:1607, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:242.3416149068323, q_loss:100, rewards:-122.76497395833333, queue:82.02222222222223, delay:0.6091526455349392, throughput:1615, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:242.30942970073406, q_loss:100, rewards:-122.78539496527777, queue:82.02222222222223, delay:0.6089646233452691, throughput:1615, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:239.44343891402715, q_loss:100, rewards:-120.79206814236112, queue:80.69722222222222, delay:0.6058487786187066, throughput:1610, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:239.44343891402715, q_loss:100, rewards:-120.79206814236112, queue:80.69722222222222, delay:0.6058487786187066, throughput:1610, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:239.44343891402715, q_loss:100, rewards:-120.79206814236112, queue:80.69722222222222, delay:0.6058487786187066, throughput:1610, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:239.51678998292545, q_loss:100, rewards:-117.19373914930556, queue:78.29722222222222, delay:0.605658679538303, throughput:1605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:241.25184344866705, q_loss:100, rewards:-119.61917317708334, queue:79.925, delay:0.6080166710747613, throughput:1607, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:240.49318955732122, q_loss:100, rewards:-119.73291015625, queue:79.96944444444445, delay:0.6082505120171441, throughput:1606, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:228.72388481084133, q_loss:100, rewards:-115.48918185763888, queue:77.16388888888889, delay:0.6008355458577473, throughput:1612, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:231.41491178144565, q_loss:100, rewards:-115.29915364583333, queue:77.02777777777777, delay:0.5988836500379774, throughput:1598, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
