PRLight neighbor topology (radius=600): {0: []}
PRLight (one-shot neighbor-aware prediction): m=2 decision(s) of assumed delay (sim_delay=20, real_delay=60)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/cologne1/action_delay_optimized_s0_prlight_s0/model/cologne1_setting1_dqn_prlight -> eval real_setting=setting4
REAL_TEST step:3, travel time:130.0977011494253, q_loss:100, rewards:-71.78791232638889, queue:47.894444444444446, delay:0.6010025024414063, throughput:1845, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:105.45144628099173, q_loss:100, rewards:-52.36334092881945, queue:34.90833333333333, delay:0.5662910885281033, throughput:1868, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:194.29756637168143, q_loss:100, rewards:-119.20166015625, queue:79.5, delay:0.6019584231906467, throughput:1741, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:104.89811912225706, q_loss:100, rewards:-51.530826822916666, queue:34.43055555555556, delay:0.5785358428955079, throughput:1845, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:104.37229660144182, q_loss:100, rewards:-49.17581922743056, queue:32.825, delay:0.5742056952582465, throughput:1873, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:102.10521042084169, q_loss:100, rewards:-51.07457139756944, queue:34.083333333333336, delay:0.5726257748074002, throughput:1935, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:196.36454293628807, q_loss:100, rewards:-119.89501953125, queue:79.96666666666667, delay:0.6039522382948134, throughput:1737, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:122.02258726899385, q_loss:100, rewards:-68.03166232638888, queue:45.388888888888886, delay:0.5828718821207682, throughput:1881, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:96.54642857142858, q_loss:100, rewards:-44.62332356770833, queue:29.8, delay:0.5456685384114583, throughput:1898, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:110.01880877742947, q_loss:100, rewards:-53.98874782986111, queue:36.03333333333333, delay:0.5809072706434462, throughput:1845, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:115.78279118572928, q_loss:100, rewards:-57.20250108506944, queue:38.15833333333333, delay:0.5562785254584418, throughput:1829, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:136.14909885308575, q_loss:100, rewards:-67.72496202256944, queue:45.18055555555556, delay:0.569341532389323, throughput:1744, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:121.72933549432739, q_loss:100, rewards:-60.129161241319444, queue:40.11666666666667, delay:0.5458118862575955, throughput:1776, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:96.30015552099533, q_loss:100, rewards:-46.34916449652778, queue:30.93888888888889, delay:0.5537076314290365, throughput:1858, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:104.77063740856845, q_loss:100, rewards:-51.31458333333333, queue:34.25277777777778, delay:0.5462674034966363, throughput:1845, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:139.38944281524925, q_loss:100, rewards:-50.78167860243055, queue:33.875, delay:0.5451954311794704, throughput:1614, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:113.71266735324407, q_loss:100, rewards:-60.65166558159722, queue:40.53055555555556, delay:0.5706956651475694, throughput:1873, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:111.16117404737385, q_loss:100, rewards:-57.900830078125, queue:38.63611111111111, delay:0.5749219682481553, throughput:1873, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:108.06989543203082, q_loss:100, rewards:-49.422509765625, queue:33.03333333333333, delay:0.5431625366210937, throughput:1732, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:117.4223635400106, q_loss:100, rewards:-58.44375542534722, queue:39.019444444444446, delay:0.5750096215142144, throughput:1813, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:121.8018018018018, q_loss:100, rewards:-61.43459201388889, queue:41.00555555555555, delay:0.5857417636447483, throughput:1812, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:115.65543259557344, q_loss:100, rewards:-61.51083441840278, queue:41.03055555555556, delay:0.5609934912787543, throughput:1952, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:132.5862857142857, q_loss:100, rewards:-62.08127712673611, queue:41.44444444444444, delay:0.565202882554796, throughput:1661, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:116.2605671482076, q_loss:100, rewards:-61.09582248263889, queue:40.81111111111111, delay:0.5763224707709418, throughput:1787, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:119.51287332646756, q_loss:100, rewards:-65.09168294270833, queue:43.43611111111111, delay:0.5949381510416667, throughput:1873, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:110.82904222451081, q_loss:100, rewards:-57.00459526909722, queue:38.02777777777778, delay:0.5813698238796658, throughput:1873, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:115.92064315352697, q_loss:100, rewards:-63.81042751736111, queue:42.56666666666667, delay:0.5577365451388889, throughput:1885, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:124.91606591143152, q_loss:100, rewards:-70.45460611979166, queue:47.00833333333333, delay:0.5986593458387587, throughput:1873, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:151.72532188841203, q_loss:100, rewards:-89.07207573784723, queue:59.43333333333333, delay:0.593795649210612, throughput:1779, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:107.14168377823408, q_loss:100, rewards:-54.784993489583336, queue:36.55555555555556, delay:0.573534181382921, throughput:1881, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:108.38722966014419, q_loss:100, rewards:-54.70164388020833, queue:36.541666666666664, delay:0.5765382130940755, throughput:1873, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:120.27379679144386, q_loss:100, rewards:-64.18001844618055, queue:42.88611111111111, delay:0.5607838100857205, throughput:1789, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:137.56469951272334, q_loss:100, rewards:-76.48540581597223, queue:51.05277777777778, delay:0.5840599907769097, throughput:1761, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:102, travel time:121.44017325392528, q_loss:100, rewards:-63.14000108506944, queue:42.15555555555556, delay:0.58775757683648, throughput:1760, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:105, travel time:110.22192513368984, q_loss:100, rewards:-56.72791341145833, queue:37.87777777777778, delay:0.566009521484375, throughput:1789, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:108, travel time:107.09038662486938, q_loss:100, rewards:-55.49958224826389, queue:37.047222222222224, delay:0.5630326165093316, throughput:1845, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:111, travel time:112.53613531522296, q_loss:100, rewards:-59.21208767361111, queue:39.50277777777778, delay:0.597640864054362, throughput:1890, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:114, travel time:125.7656836461126, q_loss:100, rewards:-61.289990234375, queue:40.922222222222224, delay:0.5814398023817274, throughput:1788, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:117, travel time:130.54843669912864, q_loss:100, rewards:-74.84331597222223, queue:49.93333333333333, delay:0.5997550116644965, throughput:1891, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:120, travel time:111.52490039840637, q_loss:100, rewards:-56.664990234375, queue:37.861111111111114, delay:0.5915701972113715, throughput:1946, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:123, travel time:167.2060481804203, q_loss:100, rewards:-103.86586371527778, queue:69.28333333333333, delay:0.6254794650607639, throughput:1892, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:126, travel time:185.17590497737555, q_loss:100, rewards:-65.96915690104167, queue:44.05555555555556, delay:0.5831578572591146, throughput:1655, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:129, travel time:161.8643586833144, q_loss:100, rewards:-82.72249891493055, queue:55.2, delay:0.6110716501871745, throughput:1673, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:132, travel time:150.88571428571427, q_loss:100, rewards:-73.76999782986111, queue:49.21666666666667, delay:0.5930482228597005, throughput:1697, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:135, travel time:136.88928150765608, q_loss:100, rewards:-57.665852864583336, queue:38.49166666666667, delay:0.5574066585964627, throughput:1605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:138, travel time:84.25725929699439, q_loss:100, rewards:-40.352490234375, queue:26.925, delay:0.5317477756076389, throughput:1904, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:141, travel time:127.37513751375137, q_loss:100, rewards:-61.45415581597222, queue:41.041666666666664, delay:0.5616562313503689, throughput:1732, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
