Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/cologne3/action_delay_optimized_s0_delayed_q_s0/model/cologne3_setting1_dqn_delayed_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:748.017259978425, q_loss:100, rewards:-310.38142361111113, queue:46.66111111111111, delay:0.7376589174623842, throughput:1221, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:244.93926332288402, q_loss:100, rewards:-82.32973090277778, queue:15.124074074074073, delay:0.42078317712854457, throughput:2391, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:175.6987610619469, q_loss:100, rewards:-81.44373914930556, queue:13.312037037037037, delay:0.43470696343315973, throughput:2557, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:195.52575107296138, q_loss:100, rewards:-115.08735894097222, queue:17.425, delay:0.46492185239438655, throughput:2445, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:116.6858251057828, q_loss:100, rewards:-76.29791666666667, queue:10.827777777777778, delay:0.4214064986617477, throughput:2749, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:220.18450184501845, q_loss:100, rewards:-146.52289496527777, queue:22.85185185185185, delay:0.4959083839699074, throughput:2387, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:378.17782340862425, q_loss:100, rewards:-233.84928385416666, queue:35.35648148148148, delay:0.5809191668475115, throughput:1946, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:201.07853589196873, q_loss:100, rewards:-136.16139322916666, queue:21.131481481481483, delay:0.48877619990596066, throughput:2599, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:405.7057823129252, q_loss:100, rewards:-240.63528645833333, queue:36.449074074074076, delay:0.5957811143663194, throughput:1824, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:297.82045277127247, q_loss:100, rewards:-198.01180555555555, queue:30.45, delay:0.5231503521954571, throughput:2123, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:204.74892550143267, q_loss:100, rewards:-136.8322265625, queue:21.177777777777777, delay:0.4883647777416088, throughput:2521, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:180.9692362093352, q_loss:100, rewards:-126.27362196180556, queue:19.951851851851853, delay:0.46804560908564813, throughput:2621, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:448.27416267942584, q_loss:100, rewards:-122.11458333333333, queue:22.65648148148148, delay:0.4958640769675926, throughput:1589, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:366.68283582089555, q_loss:100, rewards:-165.84849175347222, queue:27.350925925925925, delay:0.5713350649233218, throughput:2447, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:444.9260886935677, q_loss:100, rewards:-183.55, queue:28.925925925925927, delay:0.5942960385923033, throughput:1908, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:103.85147471910112, q_loss:100, rewards:-59.826801215277776, queue:8.58611111111111, delay:0.39999691998517073, throughput:2768, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:603.9018435475834, q_loss:100, rewards:-265.479296875, queue:37.85925925925926, delay:0.6739967628761574, throughput:1394, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:113.68239436619719, q_loss:100, rewards:-64.95582682291666, queue:9.602777777777778, delay:0.3765313042534722, throughput:2771, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:231.6141560798548, q_loss:100, rewards:-197.3773654513889, queue:29.14814814814815, delay:0.5626827663845486, throughput:2369, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:186.17045045045046, q_loss:100, rewards:-107.09735243055556, queue:16.317592592592593, delay:0.44668059172453706, throughput:2509, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:134.06981664315938, q_loss:100, rewards:-56.360286458333334, queue:8.475925925925926, delay:0.39858059353298614, throughput:2639, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:191.37851176917235, q_loss:100, rewards:-186.1900173611111, queue:25.55, delay:0.5371683756510417, throughput:2400, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
