PRLight neighbor topology (radius=600): {0: [1], 1: [0, 2], 2: [1]}
PRLight (one-shot neighbor-aware prediction): m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/cologne3/action_delay_optimized_s0_prlight_s0/model/cologne3_setting1_dqn_prlight -> eval real_setting=setting3
REAL_TEST step:3, travel time:102.30747531734838, q_loss:100, rewards:-63.77375759548611, queue:9.187037037037037, delay:0.39142162181712964, throughput:2754, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:100.05602240896359, q_loss:100, rewards:-49.49222547743056, queue:7.837037037037037, delay:0.3792422259295428, throughput:2783, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:94.15516637478109, q_loss:100, rewards:-43.485698784722224, queue:6.656481481481482, delay:0.3509141144929109, throughput:2773, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:103.1922268907563, q_loss:100, rewards:-49.24067925347222, queue:7.775925925925926, delay:0.38095968740957753, throughput:2794, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:144.64244810307804, q_loss:100, rewards:-125.41609157986112, queue:16.896296296296295, delay:0.4831401683666088, throughput:2687, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:111.53669724770643, q_loss:100, rewards:-71.19777560763889, queue:9.747222222222222, delay:0.38569460268373845, throughput:2745, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:109.84798598949212, q_loss:100, rewards:-60.94931640625, queue:9.271296296296295, delay:0.38254914460358797, throughput:2767, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:121.8445778876722, q_loss:100, rewards:-87.78959418402778, queue:12.110185185185186, delay:0.38164443969726564, throughput:2747, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:115.5966149506347, q_loss:100, rewards:-74.91013997395834, queue:10.148148148148149, delay:0.3928408869990596, throughput:2760, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:253.1532345500542, q_loss:100, rewards:-190.30115017361112, queue:27.180555555555557, delay:0.563881994176794, throughput:2537, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:134.1166783461808, q_loss:100, rewards:-94.50948350694445, queue:14.72037037037037, delay:0.4581363536693432, throughput:2776, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:222.06203736341206, q_loss:100, rewards:-168.7070095486111, queue:24.761111111111113, delay:0.5262800428602431, throughput:2757, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:362.6509360374415, q_loss:100, rewards:-251.57584635416666, queue:35.78703703703704, delay:0.6807925188982928, throughput:2046, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:332.1387394312068, q_loss:100, rewards:-160.36221788194445, queue:25.524074074074075, delay:0.5718881112557871, throughput:2175, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:119.24364406779661, q_loss:100, rewards:-79.94876302083334, queue:10.930555555555555, delay:0.3952434398509838, throughput:2752, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:110.71988795518207, q_loss:100, rewards:-52.64264865451389, queue:8.417592592592593, delay:0.38572410300925924, throughput:2793, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:179.83884588318085, q_loss:100, rewards:-116.48126085069444, queue:17.887037037037036, delay:0.44914174962926795, throughput:2769, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
