Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/hz1x1/action_delay_optimized_s0_delayed_q_s0/model/hz1x1_setting1_dqn_delayed_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:610.7570449352628, q_loss:100, rewards:-304.5112196180556, queue:203.23888888888888, delay:0.7842804802788629, throughput:1092, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:552.9640762463343, q_loss:100, rewards:-284.3425564236111, queue:189.875, delay:0.7901535034179688, throughput:1072, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:434.36281690140845, q_loss:100, rewards:-282.60340711805554, queue:188.63055555555556, delay:0.7990331861707899, throughput:1524, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:475.5374189746612, q_loss:100, rewards:-298.6529296875, queue:199.50833333333333, delay:0.7823755052354601, throughput:1334, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:471.59902794653703, q_loss:100, rewards:-288.81710069444443, queue:192.83333333333334, delay:0.7547348022460938, throughput:1367, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:484.6355022109918, q_loss:100, rewards:-286.2665798611111, queue:191.21944444444443, delay:0.8122326321072049, throughput:1280, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:430.57440476190476, q_loss:100, rewards:-263.3236979166667, queue:175.96666666666667, delay:0.7732579549153645, throughput:1366, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:449.5750670241287, q_loss:100, rewards:-244.5329644097222, queue:163.24722222222223, delay:0.7709238688151042, throughput:1286, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:369.7928821470245, q_loss:100, rewards:-224.22621527777778, queue:149.69722222222222, delay:0.7759367201063369, throughput:1506, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:430.2435582822086, q_loss:100, rewards:-254.4320529513889, queue:169.92777777777778, delay:0.7717490302191841, throughput:1405, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:459.23905943827566, q_loss:100, rewards:-258.0771701388889, queue:172.33055555555555, delay:0.7746773613823785, throughput:1258, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:390.3450363196126, q_loss:100, rewards:-231.7970703125, queue:154.76666666666668, delay:0.7571038987901476, throughput:1419, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:386.480122324159, q_loss:100, rewards:-226.2312717013889, queue:151.0638888888889, delay:0.7430060492621527, throughput:1389, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:403.93794326241135, q_loss:100, rewards:-246.24963107638888, queue:164.47222222222223, delay:0.8051164415147569, throughput:1411, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:324.94370685077007, q_loss:100, rewards:-212.2429253472222, queue:141.8138888888889, delay:0.74876708984375, throughput:1618, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:320.2700691121744, q_loss:100, rewards:-207.6078342013889, queue:138.69722222222222, delay:0.7509089999728733, throughput:1658, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:367.9099447513812, q_loss:100, rewards:-235.67376302083332, queue:157.4111111111111, delay:0.7753206041124132, throughput:1521, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:431.4153066966798, q_loss:100, rewards:-279.00967881944445, queue:186.32222222222222, delay:0.7886038038465711, throughput:1494, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:431.1073015873016, q_loss:100, rewards:-246.5824435763889, queue:164.63055555555556, delay:0.7834412468804254, throughput:1327, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:444.34077892325314, q_loss:100, rewards:-283.2353949652778, queue:189.15555555555557, delay:0.7886430528428819, throughput:1449, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:443.2940074906367, q_loss:100, rewards:-260.125, queue:173.7, delay:0.8186733669704861, throughput:1313, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:412.47556066705005, q_loss:100, rewards:-258.35620659722224, queue:172.44166666666666, delay:0.7635928683810764, throughput:1534, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:405.15511363636364, q_loss:100, rewards:-256.994140625, queue:171.5388888888889, delay:0.7785585191514757, throughput:1524, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:518.3391243919389, q_loss:100, rewards:-279.13207465277776, queue:186.43333333333334, delay:0.7509545220269097, throughput:1151, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:352.8334223171383, q_loss:100, rewards:-234.16243489583334, queue:156.41944444444445, delay:0.7559828864203559, throughput:1592, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:453.6386732533522, q_loss:100, rewards:-236.01627604166666, queue:157.64166666666668, delay:0.7614686754014757, throughput:1190, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:329.6836902800659, q_loss:100, rewards:-207.33218315972223, queue:138.34444444444443, delay:0.7351635403103298, throughput:1668, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:395.57337461300307, q_loss:100, rewards:-228.84212239583334, queue:152.8, delay:0.7131134033203125, throughput:1372, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:359.66027397260274, q_loss:100, rewards:-231.52786458333333, queue:154.625, delay:0.7838016086154513, throughput:1546, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:437.13760445682453, q_loss:100, rewards:-286.08454861111113, queue:191.0611111111111, delay:0.788497077094184, throughput:1526, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:497.31138907175773, q_loss:100, rewards:-281.08745659722223, queue:187.67777777777778, delay:0.8263458251953125, throughput:1246, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:333.64685714285713, q_loss:100, rewards:-202.6029513888889, queue:135.34722222222223, delay:0.755141109890408, throughput:1537, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:375.6195028680688, q_loss:100, rewards:-209.57085503472223, queue:139.95833333333334, delay:0.7100723690456814, throughput:1331, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
