Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/hz4x4/action_delay_optimized_s0_oblivious_q_s0/model/hz4x4_setting1_dqn_oblivious_q -> eval real_setting=setting2
REAL_TEST step:3, travel time:1068.9222259470332, q_loss:100, rewards:-736.3569444444445, queue:46.109722222222224, delay:0.3093674129909939, throughput:1456, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:1068.6227770177838, q_loss:100, rewards:-718.3758680555555, queue:44.98940972222222, delay:0.2934095170762804, throughput:1391, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:1086.248287671233, q_loss:100, rewards:-734.0924479166666, queue:45.977777777777774, delay:0.2983400344848633, throughput:1413, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:1085.951724137931, q_loss:100, rewards:-720.2096788194444, queue:45.09947916666667, delay:0.2941005282931858, throughput:1482, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:1139.1317406143344, q_loss:100, rewards:-780.3897569444445, queue:48.85625, delay:0.28994721306694876, throughput:1462, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:1118.506872276232, q_loss:100, rewards:-794.6613715277778, queue:49.75989583333333, delay:0.2928853776719835, throughput:1380, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:1020.9566712517194, q_loss:100, rewards:-677.7044704861111, queue:42.430902777777774, delay:0.29141413370768227, throughput:1597, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:892.6134763660745, q_loss:100, rewards:-564.2114149305555, queue:35.30972222222222, delay:0.302398681640625, throughput:1751, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:1078.6500167616493, q_loss:100, rewards:-739.6480902777778, queue:46.32361111111111, delay:0.31157099405924477, throughput:1482, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:1030.9681895093063, q_loss:100, rewards:-686.8305989583333, queue:43.00086805555556, delay:0.30131331549750434, throughput:1578, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:1022.1703929539295, q_loss:100, rewards:-679.153125, queue:42.51631944444444, delay:0.29805497063530817, throughput:1652, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
