replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/ingolstadt7/action_delay_optimized_s0_naive_s0/model/ingolstadt7_setting1_dqn_naive -> eval real_setting=setting3
REAL_TEST step:3, travel time:680.7794292508918, q_loss:100, rewards:-139.89382595486111, queue:19.44126984126984, delay:0.3121277582077753, throughput:1299, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:806.8535381239715, q_loss:100, rewards:-198.08198784722222, queue:26.649603174603175, delay:0.351501222640749, throughput:1179, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:851.3554434030281, q_loss:100, rewards:-145.46196831597223, queue:20.437301587301587, delay:0.3416056557307168, throughput:923, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:981.7049965776865, q_loss:100, rewards:-167.1663302951389, queue:22.93015873015873, delay:0.3433940826900422, throughput:895, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:618.0482062780269, q_loss:100, rewards:-151.83509114583333, queue:21.109920634920634, delay:0.29751807318793405, throughput:1401, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:650.0170454545455, q_loss:100, rewards:-137.5544487847222, queue:18.807936507936507, delay:0.294000244140625, throughput:1441, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:713.1685131195335, q_loss:100, rewards:-144.7687282986111, queue:20.02857142857143, delay:0.32108650813027034, throughput:1301, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:658.8167848699763, q_loss:100, rewards:-153.36193576388888, queue:21.067857142857143, delay:0.313410150437128, throughput:1217, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:704.0538326506729, q_loss:100, rewards:-133.4470703125, queue:17.93968253968254, delay:0.3001155792720734, throughput:1258, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:661.5986622073578, q_loss:100, rewards:-151.52332899305554, queue:20.198809523809523, delay:0.2978822496202257, throughput:1458, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:785.7993710691824, q_loss:100, rewards:-146.93563368055555, queue:20.38809523809524, delay:0.35002010284908236, throughput:982, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:701.0330717488789, q_loss:100, rewards:-152.75224609375, queue:20.862301587301587, delay:0.35131259494357636, throughput:1197, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:742.5635939323221, q_loss:100, rewards:-165.11342230902778, queue:22.232936507936508, delay:0.3531369163876488, throughput:1170, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
