Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/ingolstadt7/action_delay_optimized_s0_oblivious_q_s0/model/ingolstadt7_setting1_dqn_oblivious_q -> eval real_setting=setting2
REAL_TEST step:3, travel time:588.8251008064516, q_loss:100, rewards:-158.93485243055557, queue:21.672619047619047, delay:0.310816398499504, throughput:1478, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:667.4079787234042, q_loss:100, rewards:-149.99556206597222, queue:20.71746031746032, delay:0.32949921138702876, throughput:1301, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:661.0515117581187, q_loss:100, rewards:-139.07133246527778, queue:19.635714285714286, delay:0.31690744066995286, throughput:1298, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:581.5219638242894, q_loss:100, rewards:-146.23140190972222, queue:20.019444444444446, delay:0.29452635749937994, throughput:1504, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:573.4938712972421, q_loss:100, rewards:-140.08834635416667, queue:19.20079365079365, delay:0.29088091169084823, throughput:1539, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:801.8707280832095, q_loss:100, rewards:-133.74815538194446, queue:17.913888888888888, delay:0.28479246109250994, throughput:870, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:693.84046692607, q_loss:100, rewards:-136.04228515625, queue:18.548412698412697, delay:0.31284618074931797, throughput:1056, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:1006.4933749025721, q_loss:100, rewards:-167.26495225694444, queue:21.98095238095238, delay:0.3075894552563864, throughput:703, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:1162.250953470633, q_loss:100, rewards:-174.44227430555554, queue:23.28531746031746, delay:0.3475237891787574, throughput:619, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:1124.9637065637066, q_loss:100, rewards:-179.68935546875, queue:23.5234126984127, delay:0.31791565910218256, throughput:651, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:1221.9604562737643, q_loss:100, rewards:-206.35579427083334, queue:27.242460317460317, delay:0.3709626212952629, throughput:605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
