Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/tempe_16/action_delay_optimized_s0_delayed_q_s0/model/tempe_16_setting1_dqn_delayed_q -> eval real_setting=setting2
REAL_TEST step:3, travel time:247.09917273492843, q_loss:100, rewards:-621.2688368055556, queue:52.03125, delay:0.3643016391330295, throughput:17741, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:142.1012939176426, q_loss:100, rewards:-262.9911675347222, queue:24.23576388888889, delay:0.312457021077474, throughput:19959, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:146.30951022349026, q_loss:100, rewards:-272.1155815972222, queue:23.822743055555556, delay:0.305719969007704, throughput:20114, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:148.49166666666667, q_loss:100, rewards:-292.1101779513889, queue:24.572743055555556, delay:0.3169267866346571, throughput:19781, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:125.34905391271275, q_loss:100, rewards:-191.88778211805555, queue:17.505381944444444, delay:0.30948944091796876, throughput:20042, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:147.96375477842275, q_loss:100, rewards:-261.9890625, queue:24.380555555555556, delay:0.3129856957329644, throughput:19587, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:147.79934210526315, q_loss:100, rewards:-248.36022135416667, queue:22.797916666666666, delay:0.3083805084228516, throughput:19632, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:143.2916127175946, q_loss:100, rewards:-232.086328125, queue:21.38923611111111, delay:0.3038453631930881, throughput:19627, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:127.8338996028138, q_loss:100, rewards:-182.63977864583333, queue:16.628645833333334, delay:0.3000692155626085, throughput:19929, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:150.56653992395437, q_loss:100, rewards:-258.6984375, queue:24.677430555555556, delay:0.3051420211791992, throughput:20078, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:126.15693223702864, q_loss:100, rewards:-173.61625434027778, queue:16.2625, delay:0.2984238518608941, throughput:20376, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:121.12413370421008, q_loss:100, rewards:-171.0351779513889, queue:15.675520833333334, delay:0.29439262813991973, throughput:20461, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:116.00574085496038, q_loss:100, rewards:-148.44721137152777, queue:13.483333333333333, delay:0.2870051489935981, throughput:20310, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:125.67226374042191, q_loss:100, rewards:-185.0754340277778, queue:17.388368055555556, delay:0.2960937288072374, throughput:19887, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:122.39497511258593, q_loss:100, rewards:-170.9200954861111, queue:14.650694444444444, delay:0.2966608259412977, throughput:20048, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:112.21558234438764, q_loss:100, rewards:-146.50924479166667, queue:12.871006944444444, delay:0.2913377126057943, throughput:20462, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:122.92315689981096, q_loss:100, rewards:-168.26015625, queue:15.288715277777778, delay:0.29254934522840714, throughput:20367, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:139.01045559918626, q_loss:100, rewards:-210.20290798611111, queue:19.765798611111112, delay:0.29663564893934463, throughput:19553, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
