replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/tempe_16/action_delay_optimized_s0_naive_s0/model/tempe_16_setting1_dqn_naive -> eval real_setting=setting3
REAL_TEST step:3, travel time:688.7811558293712, q_loss:100, rewards:-1660.9430555555555, queue:132.2373263888889, delay:0.48125551011827256, throughput:9874, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:734.7876014146037, q_loss:100, rewards:-1736.0434027777778, queue:134.18472222222223, delay:0.4961820814344618, throughput:9647, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:736.7723786949247, q_loss:100, rewards:-1718.0723958333333, queue:133.8920138888889, delay:0.4904356214735243, throughput:9236, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:771.3208885704049, q_loss:100, rewards:-1725.065451388889, queue:134.2, delay:0.49935675726996526, throughput:8740, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:783.9474566797094, q_loss:100, rewards:-1722.1364583333334, queue:136.39270833333333, delay:0.5029786003960504, throughput:8905, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:810.418734358241, q_loss:100, rewards:-1719.4003472222223, queue:136.4921875, delay:0.5012254926893446, throughput:8597, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:794.8234458259325, q_loss:100, rewards:-1770.337673611111, queue:139.82465277777777, delay:0.48892699347602, throughput:8931, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:726.4264393783802, q_loss:100, rewards:-1666.93125, queue:130.1420138888889, delay:0.49520144992404513, throughput:9309, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:796.7266438505789, q_loss:100, rewards:-1681.0430555555556, queue:131.23680555555555, delay:0.49501512315538193, throughput:8465, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:745.3343419062027, q_loss:100, rewards:-1707.1539930555555, queue:135.56284722222222, delay:0.4975584242078993, throughput:9564, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:751.7875814703202, q_loss:100, rewards:-1699.646701388889, queue:132.76493055555557, delay:0.49203033447265626, throughput:9129, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:753.6985169491526, q_loss:100, rewards:-1703.8366319444444, queue:130.46371527777777, delay:0.49799541897243926, throughput:8841, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:794.1523235800345, q_loss:100, rewards:-1728.9229166666667, queue:133.95104166666667, delay:0.5018524169921875, throughput:8610, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:715.0844128996692, q_loss:100, rewards:-1609.1861111111111, queue:124.27048611111111, delay:0.4936141120062934, throughput:9141, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:713.7346869018321, q_loss:100, rewards:-1650.2059027777777, queue:126.9342013888889, delay:0.49301172892252604, throughput:9681, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:719.790978793949, q_loss:100, rewards:-1632.4085069444445, queue:125.55173611111111, delay:0.4959178500705295, throughput:9511, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:700.0486989096261, q_loss:100, rewards:-1586.271875, queue:124.58854166666667, delay:0.49830127292209203, throughput:9793, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:719.9680800381134, q_loss:100, rewards:-1639.7559027777777, queue:125.2484375, delay:0.5021052042643229, throughput:9189, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:691.5790365200894, q_loss:100, rewards:-1548.5484375, queue:120.00572916666667, delay:0.49007941351996526, throughput:9509, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:732.9955156950673, q_loss:100, rewards:-1747.7878472222221, queue:136.24947916666667, delay:0.4977145300971137, throughput:9419, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:653.8218578521034, q_loss:100, rewards:-1608.638888888889, queue:122.1625, delay:0.495924801296658, throughput:10360, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:627.9630996309963, q_loss:100, rewards:-1585.2277777777779, queue:124.80121527777777, delay:0.48990919325086807, throughput:10915, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:659.034092362799, q_loss:100, rewards:-1689.6006944444443, queue:132.671875, delay:0.49109539455837675, throughput:10564, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:648.9761904761905, q_loss:100, rewards:-1580.3697916666667, queue:123.65503472222223, delay:0.4932599385579427, throughput:10560, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:596.6902537520342, q_loss:100, rewards:-1569.6395833333333, queue:125.0171875, delay:0.48614044189453126, throughput:11547, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:667.52896, q_loss:100, rewards:-1678.0569444444445, queue:130.45833333333334, delay:0.49075080023871526, throughput:10492, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:685.9054195575337, q_loss:100, rewards:-1668.2722222222221, queue:129.56423611111111, delay:0.49590318467881944, throughput:10210, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:659.5043360955868, q_loss:100, rewards:-1632.4564236111112, queue:128.12326388888889, delay:0.48217205471462676, throughput:10639, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:661.2048633808341, q_loss:100, rewards:-1649.8067708333333, queue:126.67795138888889, delay:0.49675924513075087, throughput:10586, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:676.2931377754181, q_loss:100, rewards:-1622.6880208333334, queue:124.75277777777778, delay:0.5042174445258246, throughput:10362, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:607.3169560398966, q_loss:100, rewards:-1500.6756944444444, queue:118.75277777777778, delay:0.4895282745361328, throughput:11640, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:688.4076861058855, q_loss:100, rewards:-1611.2071180555556, queue:124.31996527777778, delay:0.5048717074924045, throughput:10332, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:665.0055734050226, q_loss:100, rewards:-1570.6684027777778, queue:121.96649305555556, delay:0.4969367980957031, throughput:10767, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:102, travel time:647.456311289917, q_loss:100, rewards:-1600.2847222222222, queue:125.48524305555556, delay:0.49828677707248265, throughput:11167, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:105, travel time:639.8028108506198, q_loss:100, rewards:-1563.067361111111, queue:123.85989583333334, delay:0.503118387858073, throughput:11404, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:108, travel time:622.6363064140493, q_loss:100, rewards:-1506.298611111111, queue:117.72395833333333, delay:0.5048951890733507, throughput:11240, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:111, travel time:496.35510924740674, q_loss:100, rewards:-1366.159201388889, queue:110.3861111111111, delay:0.49685562981499565, throughput:13425, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
