PRLight neighbor topology (radius=600): {0: [2, 11], 1: [2, 6], 2: [0, 1], 3: [2, 7, 13], 4: [5], 5: [4, 15], 6: [1], 7: [8], 8: [7, 9], 9: [8, 10], 10: [9], 11: [0, 12], 12: [11, 13], 13: [12, 14], 14: [13], 15: [5, 14]}
PRLight (one-shot neighbor-aware prediction): m=2 decision(s) of assumed delay (sim_delay=20, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/tempe_16/action_delay_optimized_s0_prlight_s0/model/tempe_16_setting1_dqn_prlight -> eval real_setting=setting2
REAL_TEST step:3, travel time:198.11448508180942, q_loss:100, rewards:-465.6151909722222, queue:42.01371527777778, delay:0.3561428493923611, throughput:19106, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:137.6926282511855, q_loss:100, rewards:-234.74192708333334, queue:21.401736111111113, delay:0.3197899712456597, throughput:19498, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:133.7567006417516, q_loss:100, rewards:-214.12261284722223, queue:20.097569444444446, delay:0.31419849395751953, throughput:20294, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:117.33863754060543, q_loss:100, rewards:-165.883203125, queue:14.362152777777778, delay:0.30488293965657554, throughput:20287, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:117.961980422755, q_loss:100, rewards:-165.87717013888889, queue:15.109027777777778, delay:0.30440427992078994, throughput:20251, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:116.1418995468278, q_loss:100, rewards:-157.8146918402778, queue:13.942881944444444, delay:0.3085739559597439, throughput:20188, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:114.61870334726069, q_loss:100, rewards:-156.31825086805554, queue:14.297569444444445, delay:0.2973035388522678, throughput:20523, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:111.65761511216057, q_loss:100, rewards:-139.38370225694445, queue:11.891493055555555, delay:0.302514902750651, throughput:20217, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:107.46425547925877, q_loss:100, rewards:-130.7134765625, queue:11.370659722222221, delay:0.3021795908610026, throughput:20412, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:122.95098914524694, q_loss:100, rewards:-177.843359375, queue:15.56857638888889, delay:0.3103867424858941, throughput:20458, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:110.72387849148876, q_loss:100, rewards:-146.03387586805556, queue:12.607465277777777, delay:0.3048611958821615, throughput:20519, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:115.6148172663231, q_loss:100, rewards:-150.43944227430555, queue:13.841493055555556, delay:0.30028495788574217, throughput:20317, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:113.61375711574952, q_loss:100, rewards:-148.24365234375, queue:13.439583333333333, delay:0.2986790551079644, throughput:20136, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:117.38000940733772, q_loss:100, rewards:-163.12137586805557, queue:15.270833333333334, delay:0.30023034413655597, throughput:20464, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:112.10777542870566, q_loss:100, rewards:-140.1116427951389, queue:12.649479166666667, delay:0.3006002638075087, throughput:20591, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:109.44705771673173, q_loss:100, rewards:-134.73956163194444, queue:11.871354166666666, delay:0.29848033057318796, throughput:20485, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:139.7641967088367, q_loss:100, rewards:-222.63639322916666, queue:20.53871527777778, delay:0.31231922573513454, throughput:19605, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:110.291230704265, q_loss:100, rewards:-132.67778862847223, queue:11.630208333333334, delay:0.30330284966362847, throughput:20463, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:113.20478121463599, q_loss:100, rewards:-141.72735460069444, queue:12.470138888888888, delay:0.2974214765760634, throughput:20341, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:130.4236279689657, q_loss:100, rewards:-190.648828125, queue:16.866493055555555, delay:0.30188223520914714, throughput:19704, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:126.51632624046253, q_loss:100, rewards:-177.9107204861111, queue:15.950868055555556, delay:0.2931488460964627, throughput:20133, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:121.96360468948632, q_loss:100, rewards:-165.68563368055555, queue:14.446354166666667, delay:0.30669517517089845, throughput:20275, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:119.3636663836211, q_loss:100, rewards:-169.532421875, queue:14.623090277777777, delay:0.31178970336914064, throughput:20447, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:117.92254390128144, q_loss:100, rewards:-160.23787977430555, queue:13.079340277777778, delay:0.30292305416531035, throughput:20232, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:113.96729214917049, q_loss:100, rewards:-149.02923177083332, queue:12.721180555555556, delay:0.30157080756293403, throughput:20308, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:122.88983292196697, q_loss:100, rewards:-177.68858506944446, queue:15.061458333333333, delay:0.31065398322211374, throughput:20170, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:115.34474292998442, q_loss:100, rewards:-144.63084852430555, queue:11.966145833333334, delay:0.2998227649264865, throughput:20352, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:109.62489997646504, q_loss:100, rewards:-140.52613932291666, queue:12.517534722222223, delay:0.2945986853705512, throughput:20443, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:110.332674571805, q_loss:100, rewards:-137.30813802083333, queue:12.9265625, delay:0.2859540303548177, throughput:20353, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:106.5441873562679, q_loss:100, rewards:-129.13394097222223, queue:11.477256944444445, delay:0.2967359330919054, throughput:20619, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:109.44439752252252, q_loss:100, rewards:-136.54888237847223, queue:11.909722222222221, delay:0.30105196634928383, throughput:20560, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:121.06358979179396, q_loss:100, rewards:-179.96666666666667, queue:15.95920138888889, delay:0.30381459130181204, throughput:20437, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
