Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_dqn/tempe_1x1/action_delay_optimized_s0_delayed_q_s0/model/tempe_1x1_setting1_dqn_delayed_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:473.636696288552, q_loss:100, rewards:-122.03649088541667, queue:191.19722222222222, delay:0.6965460035536024, throughput:1364, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:314.3727130162049, q_loss:100, rewards:-63.764019097222224, queue:100.47222222222223, delay:0.6345278845893012, throughput:1562, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:247.92368008363826, q_loss:100, rewards:-37.935791015625, queue:59.49444444444445, delay:0.6171856350368924, throughput:1797, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:220.11918452692106, q_loss:100, rewards:-28.586659071180556, queue:46.21111111111111, delay:0.5696651458740234, throughput:1719, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:216.20073183481443, q_loss:100, rewards:-27.603963216145832, queue:43.50555555555555, delay:0.5769268035888672, throughput:1758, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:275.23000522739153, q_loss:100, rewards:-48.511333550347224, queue:78.31111111111112, delay:0.6026869032118055, throughput:1624, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:224.83638264506013, q_loss:100, rewards:-29.603550889756946, queue:46.897222222222226, delay:0.5842292785644532, throughput:1776, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:231.45216936748562, q_loss:100, rewards:-32.797479926215274, queue:51.80277777777778, delay:0.5873705122205947, throughput:1748, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:224.62101411395713, q_loss:100, rewards:-30.071742078993054, queue:47.80555555555556, delay:0.5865929073757595, throughput:1759, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:221.48248823836906, q_loss:100, rewards:-29.251638454861112, queue:45.3, delay:0.5778678046332465, throughput:1793, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:230.3423941453215, q_loss:100, rewards:-33.12662489149306, queue:51.375, delay:0.5870577918158637, throughput:1735, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:225.44485101934134, q_loss:100, rewards:-29.864610460069443, queue:47.791666666666664, delay:0.5799027336968317, throughput:1769, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:223.723470987977, q_loss:100, rewards:-28.808577473958334, queue:46.08611111111111, delay:0.5728468577067057, throughput:1820, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:340.59121798222685, q_loss:100, rewards:-73.30110134548612, queue:116.77777777777777, delay:0.636530049641927, throughput:1474, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:218.91427077888133, q_loss:100, rewards:-28.595244683159724, queue:44.861111111111114, delay:0.5901429918077257, throughput:1757, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:230.18348144276007, q_loss:100, rewards:-30.682134331597222, queue:49.57222222222222, delay:0.5992025587293837, throughput:1807, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:224.39989545216937, q_loss:100, rewards:-30.332080078125, queue:48.19722222222222, delay:0.572918701171875, throughput:1737, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:213.0015682174595, q_loss:100, rewards:-25.902341037326387, queue:41.03611111111111, delay:0.5702116224500868, throughput:1782, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:234.7809722948249, q_loss:100, rewards:-35.4800048828125, queue:54.00555555555555, delay:0.5875298817952473, throughput:1732, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
