Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/bullhead_1/action_delay_optimized_s0_delayed_q_s0/model/bullhead_1_setting1_presslight_delayed_q -> eval real_setting=setting2
REAL_TEST step:3, travel time:280.60540135033756, q_loss:100, rewards:-85.663330078125, queue:63.77777777777778, delay:0.8215104844835069, throughput:1106, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:175.30809205642169, q_loss:100, rewards:-44.249715169270836, queue:20.575, delay:0.8171878390842013, throughput:1264, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:180.85853293413174, q_loss:100, rewards:-46.85443793402778, queue:23.319444444444443, delay:0.8082303365071615, throughput:1219, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:175.33259094283594, q_loss:100, rewards:-44.23805881076389, queue:20.55, delay:0.8043713039822049, throughput:1265, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:166.17625368731564, q_loss:100, rewards:-41.09416232638889, queue:17.372222222222224, delay:0.8003655327690973, throughput:1281, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:169.1859474804826, q_loss:100, rewards:-44.0783447265625, queue:20.291666666666668, delay:0.7801617092556423, throughput:1339, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:181.58711566617862, q_loss:100, rewards:-47.38555772569445, queue:23.772222222222222, delay:0.8151141696506077, throughput:1266, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:176.5483870967742, q_loss:100, rewards:-44.20584309895833, queue:20.56111111111111, delay:0.8151906331380209, throughput:1245, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:165.44786196549137, q_loss:100, rewards:-39.97529568142361, queue:16.18611111111111, delay:0.8091681586371527, throughput:1276, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:171.05321507760533, q_loss:100, rewards:-42.84944390190972, queue:19.072222222222223, delay:0.789225599500868, throughput:1268, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:169.08223201174744, q_loss:100, rewards:-42.391398111979164, queue:18.533333333333335, delay:0.7601597256130642, throughput:1280, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
