Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/bullhead_1/action_delay_optimized_s0_oblivious_q_s0/model/bullhead_1_setting1_presslight_oblivious_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:859.5379125780553, q_loss:100, rewards:-255.0837456597222, queue:240.17222222222222, delay:0.8103695339626736, throughput:818, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:696.3118081180812, q_loss:100, rewards:-197.6450954861111, queue:180.9111111111111, delay:0.8364690992567274, throughput:781, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:696.3118081180812, q_loss:100, rewards:-197.6450954861111, queue:180.9111111111111, delay:0.8364690992567274, throughput:781, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:696.3118081180812, q_loss:100, rewards:-197.6450954861111, queue:180.9111111111111, delay:0.8364690992567274, throughput:781, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:696.3118081180812, q_loss:100, rewards:-197.6450954861111, queue:180.9111111111111, delay:0.8364690992567274, throughput:781, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:696.3118081180812, q_loss:100, rewards:-197.6450954861111, queue:180.9111111111111, delay:0.8364690992567274, throughput:781, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:624.8505367464905, q_loss:100, rewards:-195.88832465277778, queue:178.57777777777778, delay:0.8331893073187934, throughput:909, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:666.5641711229947, q_loss:100, rewards:-195.0700737847222, queue:178.11944444444444, delay:0.8279397752549913, throughput:819, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:714.6944696282865, q_loss:100, rewards:-206.70321180555555, queue:190.20555555555555, delay:0.8257673475477431, throughput:800, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:695.4, q_loss:100, rewards:-200.2574001736111, queue:183.58333333333334, delay:0.8326009962293837, throughput:797, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:695.4, q_loss:100, rewards:-200.2574001736111, queue:183.58333333333334, delay:0.8326009962293837, throughput:797, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:695.4, q_loss:100, rewards:-200.2574001736111, queue:183.58333333333334, delay:0.8326009962293837, throughput:797, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
