PRLight neighbor topology (radius=600): {0: [2], 1: [], 2: [0]}
PRLight (one-shot neighbor-aware prediction): m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/bullhead_3/action_delay_optimized_s0_prlight_s0/model/bullhead_3_setting1_presslight_prlight -> eval real_setting=setting3
REAL_TEST step:3, travel time:863.8253012048193, q_loss:100, rewards:-123.05307074652778, queue:115.14722222222223, delay:0.7988620334201388, throughput:1835, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:506.3160124258684, q_loss:100, rewards:-115.43389756944444, queue:83.0287037037037, delay:0.754343103479456, throughput:2515, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:399.05967353492105, q_loss:100, rewards:-124.06642795138889, queue:67.48425925925926, delay:0.791419361255787, throughput:2941, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:274.77661207778914, q_loss:100, rewards:-106.62026909722222, queue:42.88981481481481, delay:0.7439698961046007, throughput:3237, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:256.75192450956047, q_loss:100, rewards:-101.20696614583333, queue:43.65277777777778, delay:0.7231827347366898, throughput:3565, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:373.67241379310343, q_loss:100, rewards:-115.83276909722223, queue:61.032407407407405, delay:0.7351916277850116, throughput:2953, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:356.4486873508353, q_loss:100, rewards:-140.40828993055555, queue:63.43611111111111, delay:0.8082173665364584, throughput:3023, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:237.5391304347826, q_loss:100, rewards:-115.90718315972222, queue:40.60740740740741, delay:0.7753849170826099, throughput:3958, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:222.74734555984557, q_loss:100, rewards:-95.81081814236111, queue:34.730555555555554, delay:0.759018396448206, throughput:3832, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:305.53016591251884, q_loss:100, rewards:-126.97859157986112, queue:52.37407407407407, delay:0.782326422797309, throughput:3356, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:221.24504249291786, q_loss:100, rewards:-112.14164496527778, queue:34.24722222222222, delay:0.7781147709599248, throughput:3936, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
