Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/cologne1/action_delay_optimized_s0_oblivious_q_s0/model/cologne1_setting1_presslight_oblivious_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:456.87186147186145, q_loss:100, rewards:-141.06112196180555, queue:138.10555555555555, delay:0.5605854882134331, throughput:1001, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:283.01844262295083, q_loss:100, rewards:-73.82138129340278, queue:67.32222222222222, delay:0.5840805477566189, throughput:1336, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:283.01844262295083, q_loss:100, rewards:-73.82138129340278, queue:67.32222222222222, delay:0.5840805477566189, throughput:1336, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:145.9668508287293, q_loss:100, rewards:-54.770008680555556, queue:47.144444444444446, delay:0.5887476179334853, throughput:1721, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:234.04290429042905, q_loss:100, rewards:-61.892496744791664, queue:55.18611111111111, delay:0.5758255004882813, throughput:1388, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:233.95049504950495, q_loss:100, rewards:-61.84885525173611, queue:55.172222222222224, delay:0.5770890129937066, throughput:1388, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:192.42516398330352, q_loss:100, rewards:-73.66251627604167, queue:66.99722222222222, delay:0.5952159033881294, throughput:1586, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:192.74537865235538, q_loss:100, rewards:-73.77643229166667, queue:67.03333333333333, delay:0.5985921223958334, throughput:1586, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:192.74537865235538, q_loss:100, rewards:-73.77643229166667, queue:67.03333333333333, delay:0.5985921223958334, throughput:1586, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:195.72683189655172, q_loss:100, rewards:-87.229150390625, queue:79.89722222222223, delay:0.6090451134575738, throughput:1768, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:192.64163217031341, q_loss:100, rewards:-74.40779079861112, queue:67.65833333333333, delay:0.6060638851589627, throughput:1600, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:202.30765086206895, q_loss:100, rewards:-90.57777235243056, queue:83.43055555555556, delay:0.5998265160454644, throughput:1767, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:154.19706042460533, q_loss:100, rewards:-63.76999782986111, queue:56.49722222222222, delay:0.6035299936930338, throughput:1751, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:204.85659967409018, q_loss:100, rewards:-90.55642361111111, queue:83.37222222222222, delay:0.6129391564263238, throughput:1754, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:152.21569734613212, q_loss:100, rewards:-52.274164496527774, queue:44.72222222222222, delay:0.5983682844373915, throughput:1683, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
