Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=60)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/hz1x1/action_delay_optimized_s0_delayed_q_s0/model/hz1x1_setting1_presslight_delayed_q -> eval real_setting=setting4
REAL_TEST step:3, travel time:765.2760180995475, q_loss:100, rewards:-182.1375217013889, queue:175.50833333333333, delay:0.7623285929361979, throughput:671, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:537.2335369993211, q_loss:100, rewards:-209.95034722222223, queue:199.09722222222223, delay:0.7867040846082899, throughput:1140, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:377.38606194690266, q_loss:100, rewards:-176.48331163194445, queue:162.75555555555556, delay:0.7703596327039931, throughput:1485, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:469.01782633697525, q_loss:100, rewards:-215.16195746527777, queue:202.4138888888889, delay:0.7941618177625868, throughput:1317, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:395.1445937300064, q_loss:100, rewards:-159.99191623263889, queue:147.97222222222223, delay:0.7465420193142361, throughput:1325, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:423.527759634226, q_loss:100, rewards:-169.01839192708334, queue:156.95277777777778, delay:0.7008744133843317, throughput:1275, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:390.9691906005222, q_loss:100, rewards:-194.50815972222222, queue:179.825, delay:0.7684939066569011, throughput:1550, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:716.7101710171017, q_loss:100, rewards:-214.44368489583334, queue:206.39444444444445, delay:0.8062794155544705, throughput:785, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:683.2894230769231, q_loss:100, rewards:-190.51805555555555, queue:182.84722222222223, delay:0.7395258585611979, throughput:798, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:524.3883136094674, q_loss:100, rewards:-186.82528211805555, queue:176.55, delay:0.7723436991373698, throughput:1154, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:577.1369649805448, q_loss:100, rewards:-196.57109375, queue:187.24722222222223, delay:0.7932456970214844, throughput:1081, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:630.2611516626115, q_loss:100, rewards:-207.48643663194446, queue:198.53333333333333, delay:0.8013943142361111, throughput:965, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:617.1645056726094, q_loss:100, rewards:-202.75110677083333, queue:193.63333333333333, delay:0.8030076768663195, throughput:1011, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
