replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/hz1x1/action_delay_optimized_s0_naive_s0/model/hz1x1_setting1_presslight_naive -> eval real_setting=setting3
REAL_TEST step:3, travel time:542.0, q_loss:100, rewards:-180.52100694444445, queue:170.8388888888889, delay:0.7611991034613715, throughput:1064, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:476.24864024864024, q_loss:100, rewards:-160.6835720486111, queue:150.7138888888889, delay:0.744681633843316, throughput:1096, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:474.22787783868444, q_loss:100, rewards:-158.72750651041667, queue:148.9361111111111, delay:0.7468321058485243, throughput:1076, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:463.7699775952203, q_loss:100, rewards:-162.47301432291667, queue:151.88333333333333, delay:0.7523495144314236, throughput:1144, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:509.2233956133225, q_loss:100, rewards:-165.00802951388889, queue:155.13055555555556, delay:0.7540883382161458, throughput:1041, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:452.8505392912173, q_loss:100, rewards:-153.45748697916667, queue:143.26388888888889, delay:0.7381526523166233, throughput:1121, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:483.5302795031056, q_loss:100, rewards:-163.36805555555554, queue:153.32777777777778, delay:0.7533743116590712, throughput:1098, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:482.261407579273, q_loss:100, rewards:-163.61388888888888, queue:153.44444444444446, delay:0.7511346605088975, throughput:1098, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:455.1953592814371, q_loss:100, rewards:-158.95743272569445, queue:148.45555555555555, delay:0.7509983486599392, throughput:1139, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:473.3455497382199, q_loss:100, rewards:-165.77498914930555, queue:155.30833333333334, delay:0.7591582404242622, throughput:1144, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:590.5495495495495, q_loss:100, rewards:-173.91693793402777, queue:165.51944444444445, delay:0.7521000332302518, throughput:934, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:406.30813534917206, q_loss:100, rewards:-146.09164496527777, queue:135.63333333333333, delay:0.7520164489746094, throughput:1222, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:412.1605471562275, q_loss:100, rewards:-148.6, queue:138.075, delay:0.7539938184950087, throughput:1197, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:455.0075187969925, q_loss:100, rewards:-158.0310546875, queue:147.86111111111111, delay:0.7433122422960069, throughput:1146, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:384.6011711125569, q_loss:100, rewards:-152.16558159722223, queue:140.2861111111111, delay:0.6901313781738281, throughput:1365, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:401.2065934065934, q_loss:100, rewards:-141.50391710069445, queue:130.9777777777778, delay:0.6474375830756294, throughput:1213, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:497.66692131398014, q_loss:100, rewards:-170.97051866319444, queue:160.98055555555555, delay:0.6967759874131945, throughput:1138, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:506.2716718266254, q_loss:100, rewards:-171.8705837673611, queue:162.05833333333334, delay:0.6832929399278429, throughput:1116, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:421.24112426035504, q_loss:100, rewards:-147.73327907986112, queue:137.40833333333333, delay:0.6400757683648004, throughput:1193, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:576.7685950413223, q_loss:100, rewards:-184.9966796875, queue:175.7138888888889, delay:0.7616992526584201, throughput:1007, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:416.32050384884536, q_loss:100, rewards:-154.29331597222222, queue:143.05277777777778, delay:0.7645005967881945, throughput:1255, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
