PRLight neighbor topology (radius=600): {0: [], 1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: [], 11: [], 12: [], 13: [], 14: [], 15: []}
PRLight (one-shot neighbor-aware prediction): m=2 decision(s) of assumed delay (sim_delay=20, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/hz4x4/action_delay_optimized_s0_prlight_s0/model/hz4x4_setting1_presslight_prlight -> eval real_setting=setting2
REAL_TEST step:3, travel time:1332.2949768436054, q_loss:100, rewards:-486.13385416666665, queue:57.13975694444444, delay:0.27474038865831163, throughput:1006, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:967.0953033938979, q_loss:100, rewards:-291.3935329861111, queue:37.34184027777778, delay:0.28334549797905817, throughput:1885, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:914.0355346966141, q_loss:100, rewards:-235.91467013888888, queue:35.295659722222226, delay:0.28364741007486977, throughput:1862, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:825.1428092524304, q_loss:100, rewards:-193.74331597222223, queue:30.94392361111111, delay:0.2859620836046007, throughput:1950, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:868.0815436241611, q_loss:100, rewards:-264.3691840277778, queue:33.969965277777774, delay:0.28132866753472224, throughput:1758, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:964.7342560553633, q_loss:100, rewards:-305.635546875, queue:38.162847222222226, delay:0.29383932749430336, throughput:1721, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:948.3711411723899, q_loss:100, rewards:-326.37669270833334, queue:37.240451388888886, delay:0.2818147871229384, throughput:1786, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:929.2361347397074, q_loss:100, rewards:-311.46393229166665, queue:36.4546875, delay:0.2975126478407118, throughput:1850, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:985.8100346020761, q_loss:100, rewards:-332.4139105902778, queue:39.99166666666667, delay:0.2993253919813368, throughput:1497, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:836.3127723768018, q_loss:100, rewards:-256.6842230902778, queue:32.11527777777778, delay:0.27469656202528214, throughput:1877, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:888.4559168622193, q_loss:100, rewards:-239.87137586805557, queue:34.35138888888889, delay:0.2843767589992947, throughput:1863, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:890.6235333556822, q_loss:100, rewards:-219.97107204861112, queue:34.79600694444444, delay:0.2886079576280382, throughput:1867, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:909.1914180355348, q_loss:100, rewards:-221.644140625, queue:36.19965277777778, delay:0.29648155636257595, throughput:1693, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:923.1823667448876, q_loss:100, rewards:-262.75694444444446, queue:37.566319444444446, delay:0.30560124715169273, throughput:1623, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:857.64230640295, q_loss:100, rewards:-226.90776909722223, queue:32.78697916666667, delay:0.2933775583902995, throughput:1839, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:876.7703654039558, q_loss:100, rewards:-228.80889756944444, queue:33.83090277777778, delay:0.2969452963935004, throughput:1875, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:1016.4045961002786, q_loss:100, rewards:-296.9057725694444, queue:40.521701388888886, delay:0.29649266137017144, throughput:1620, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:950.2839423399263, q_loss:100, rewards:-236.34144965277778, queue:38.0296875, delay:0.28806118435329864, throughput:1713, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:892.7187395239691, q_loss:100, rewards:-216.0347439236111, queue:34.9109375, delay:0.2984965642293294, throughput:1754, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:873.9627891384512, q_loss:100, rewards:-202.27610677083334, queue:33.490625, delay:0.2964238272772895, throughput:1826, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:917.7971840429099, q_loss:100, rewards:-279.18446180555554, queue:36.43420138888889, delay:0.29132202996148004, throughput:1824, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:861.7348307073416, q_loss:100, rewards:-214.39774305555557, queue:32.73576388888889, delay:0.2906825383504232, throughput:1986, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:914.353000335233, q_loss:100, rewards:-263.4869791666667, queue:36.293055555555554, delay:0.2958700180053711, throughput:1767, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:886.1347636607442, q_loss:100, rewards:-188.60164930555555, queue:34.17760416666667, delay:0.29259245130750866, throughput:1773, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:833.7219594594594, q_loss:100, rewards:-226.0521701388889, queue:31.571354166666666, delay:0.28170113033718536, throughput:1863, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:880.5055313442842, q_loss:100, rewards:-204.74830729166666, queue:33.897222222222226, delay:0.2842783610026042, throughput:1890, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:934.4968152866242, q_loss:100, rewards:-212.43919270833334, queue:36.91736111111111, delay:0.28911158243815105, throughput:1661, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:930.5534696614147, q_loss:100, rewards:-295.90308159722224, queue:37.73229166666667, delay:0.3007608413696289, throughput:1661, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:945.0697284612805, q_loss:100, rewards:-285.1840711805556, queue:38.63142361111111, delay:0.28250435723198786, throughput:1691, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:966.710693932283, q_loss:100, rewards:-256.3375217013889, queue:39.45902777777778, delay:0.3005645963880751, throughput:1626, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:930.0388870264834, q_loss:100, rewards:-269.42113715277776, queue:37.79756944444444, delay:0.29514728122287326, throughput:1714, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:955.3617163928931, q_loss:100, rewards:-226.28580729166666, queue:38.59809027777778, delay:0.30217573377821183, throughput:1690, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:960.735691987513, q_loss:100, rewards:-255.88114149305557, queue:37.923611111111114, delay:0.29217010074191624, throughput:1631, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:102, travel time:901.1659403285283, q_loss:100, rewards:-276.38337673611113, queue:35.8640625, delay:0.28163585662841795, throughput:1737, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:105, travel time:932.4079785450888, q_loss:100, rewards:-233.0991970486111, queue:37.48576388888889, delay:0.28976453145345055, throughput:1690, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:108, travel time:872.2681863895407, q_loss:100, rewards:-231.41471354166666, queue:34.01493055555556, delay:0.2982786178588867, throughput:1836, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:111, travel time:956.7053302044922, q_loss:100, rewards:-208.83665364583334, queue:38.13645833333333, delay:0.3041208267211914, throughput:1843, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
