Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=60)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/ingolstadt7/action_delay_optimized_s0_oblivious_q_s0/model/ingolstadt7_setting1_presslight_oblivious_q -> eval real_setting=setting4
REAL_TEST step:3, travel time:849.623878536922, q_loss:100, rewards:-77.92972005208334, queue:18.703174603174602, delay:0.31419779459635416, throughput:986, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:986.7038327526133, q_loss:100, rewards:-60.81807725694444, queue:20.072619047619046, delay:0.3031093294658358, throughput:898, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:817.4077669902913, q_loss:100, rewards:-57.68361545138889, queue:20.088492063492062, delay:0.2980447193932912, throughput:853, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:817.608407079646, q_loss:100, rewards:-73.80388997395833, queue:18.878968253968253, delay:0.302064707922557, throughput:925, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:942.6892697466468, q_loss:100, rewards:-48.50749240451389, queue:18.99126984126984, delay:0.29451572478763643, throughput:830, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:969.9834532374101, q_loss:100, rewards:-67.44139539930555, queue:23.16547619047619, delay:0.3249202667720734, throughput:801, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:1027.743923611111, q_loss:100, rewards:-65.63416883680556, queue:20.415873015873014, delay:0.2975824749658978, throughput:674, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:851.375572519084, q_loss:100, rewards:-56.681949869791666, queue:20.19920634920635, delay:0.2938346983894469, throughput:850, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:981.8501818181818, q_loss:100, rewards:-87.423876953125, queue:23.4765873015873, delay:0.34089440239800345, throughput:807, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:1203.0150575730736, q_loss:100, rewards:-77.55638563368055, queue:18.838492063492062, delay:0.3348777407691592, throughput:561, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:1041.3669650122051, q_loss:100, rewards:-76.04611002604166, queue:20.63888888888889, delay:0.3269059922960069, throughput:740, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:874.7176204819277, q_loss:100, rewards:-82.8377712673611, queue:18.439285714285713, delay:0.2992614988296751, throughput:821, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:1180.0386879730866, q_loss:100, rewards:-76.91722005208334, queue:21.85595238095238, delay:0.32303120446583583, throughput:643, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:823.6469719350074, q_loss:100, rewards:-75.81361762152778, queue:15.540873015873016, delay:0.3014947073800223, throughput:882, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:1076.6466492602262, q_loss:100, rewards:-59.558056640625, queue:18.06984126984127, delay:0.3069780137803819, throughput:682, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:865.7730179028133, q_loss:100, rewards:-78.42026909722222, queue:23.352777777777778, delay:0.33140428331163196, throughput:1056, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:948.8118886380737, q_loss:100, rewards:-62.419162326388886, queue:19.042857142857144, delay:0.31337919689360116, throughput:809, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:776.3063402385436, q_loss:100, rewards:-60.02888454861111, queue:19.36547619047619, delay:0.3044587877061632, throughput:1031, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:940.3523489932886, q_loss:100, rewards:-63.02943250868056, queue:18.990873015873017, delay:0.2935702853732639, throughput:749, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:858.5395629238885, q_loss:100, rewards:-69.69333767361111, queue:16.40357142857143, delay:0.3116639394608755, throughput:849, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:773.7397444519166, q_loss:100, rewards:-73.32195095486111, queue:17.88452380952381, delay:0.30983758351159474, throughput:997, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:671.4950310559007, q_loss:100, rewards:-64.17388780381944, queue:17.671825396825398, delay:0.29453619094122024, throughput:1181, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:1068.9264705882354, q_loss:100, rewards:-73.11361762152778, queue:20.65674603174603, delay:0.3009744311135913, throughput:661, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:767.8666666666667, q_loss:100, rewards:-61.650553385416664, queue:17.949603174603176, delay:0.2934215727306548, throughput:910, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
