PRLight neighbor topology (radius=600): {0: [3, 4, 5, 6], 1: [2, 3, 4], 2: [1, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3, 6], 5: [0, 6], 6: [0, 4, 5]}
PRLight (one-shot neighbor-aware prediction): m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/ingolstadt7/action_delay_optimized_s0_prlight_s0/model/ingolstadt7_setting1_presslight_prlight -> eval real_setting=setting3
REAL_TEST step:3, travel time:310.65720823798625, q_loss:100, rewards:-38.07528483072917, queue:12.487698412698412, delay:0.19610822162930927, throughput:1848, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:343.58921855411614, q_loss:100, rewards:-34.59916720920139, queue:13.95357142857143, delay:0.24003649514818948, throughput:2062, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:216.05711954304365, q_loss:100, rewards:-26.97861870659722, queue:6.046428571428572, delay:0.19025544666108632, throughput:2278, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:220.07473598700244, q_loss:100, rewards:-36.29778374565972, queue:7.423412698412698, delay:0.19767121814546132, throughput:2267, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:279.5485287659201, q_loss:100, rewards:-34.32305772569445, queue:10.230555555555556, delay:0.22554171123201885, throughput:2019, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:321.4492816717458, q_loss:100, rewards:-44.70111762152778, queue:13.676190476190476, delay:0.2520527915349082, throughput:2051, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:277.09071818563626, q_loss:100, rewards:-39.28805338541667, queue:10.811904761904762, delay:0.23100166926308283, throughput:2200, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:334.69559032716927, q_loss:100, rewards:-33.079182942708336, queue:13.56904761904762, delay:0.2356873527405754, throughput:1871, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:243.77433004231312, q_loss:100, rewards:-39.838604058159724, queue:10.920238095238096, delay:0.2403531513516865, throughput:2608, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:271.50098697197, q_loss:100, rewards:-38.54415690104167, queue:11.123412698412698, delay:0.2331388201032366, throughput:2348, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:245.47058823529412, q_loss:100, rewards:-34.40166558159722, queue:10.834126984126984, delay:0.22173367454892112, throughput:2232, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:305.7431808644566, q_loss:100, rewards:-37.60528700086805, queue:10.673015873015872, delay:0.22852899460565476, throughput:2045, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:236.6383326522272, q_loss:100, rewards:-37.16111111111111, queue:10.791269841269841, delay:0.21748863099113344, throughput:2221, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:298.82489369926554, q_loss:100, rewards:-41.47279459635417, queue:12.661111111111111, delay:0.2501869322761657, throughput:2369, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:259.22504025764897, q_loss:100, rewards:-38.21470811631944, queue:11.405952380952382, delay:0.23813251313709077, throughput:2251, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:278.66906170752327, q_loss:100, rewards:-37.79304470486111, queue:10.274603174603175, delay:0.22818777901785714, throughput:2174, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:254.4678146781468, q_loss:100, rewards:-34.916653103298614, queue:11.507539682539683, delay:0.2293888394794767, throughput:2168, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:440.4581475978207, q_loss:100, rewards:-45.08109809027778, queue:13.946428571428571, delay:0.2699071974981399, throughput:1705, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:297.6248377325833, q_loss:100, rewards:-35.63638509114583, queue:11.440079365079365, delay:0.2518107338557168, throughput:2123, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:249.44965628790942, q_loss:100, rewards:-34.984714084201386, queue:10.277777777777779, delay:0.2261021931966146, throughput:2217, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:239.73589164785554, q_loss:100, rewards:-37.42418077256944, queue:9.93095238095238, delay:0.22556554400731646, throughput:2392, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:216.55852231163132, q_loss:100, rewards:-33.12194010416667, queue:10.458730158730159, delay:0.22465021042596725, throughput:2542, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:254.05352894528153, q_loss:100, rewards:-35.6602783203125, queue:12.346031746031747, delay:0.2316615271189856, throughput:2339, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:300.2088370154231, q_loss:100, rewards:-31.850838216145835, queue:12.407936507936508, delay:0.2253662109375, throughput:2157, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:332.60668058455116, q_loss:100, rewards:-46.310818142361114, queue:14.65952380952381, delay:0.2506226554749504, throughput:1987, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:261.2020770229338, q_loss:100, rewards:-36.45973849826389, queue:9.931746031746032, delay:0.22842860146174354, throughput:2089, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:271.5838535164378, q_loss:100, rewards:-37.30082465277778, queue:10.42579365079365, delay:0.22969517783513144, throughput:2150, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:228.6528, q_loss:100, rewards:-32.73666449652778, queue:9.495238095238095, delay:0.2172882080078125, throughput:2295, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:282.22971285892635, q_loss:100, rewards:-39.85417209201389, queue:9.491666666666667, delay:0.21852886866009424, throughput:2152, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
