Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=30)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/tempe_16/action_delay_optimized_s0_delayed_q_s0/model/tempe_16_setting1_presslight_delayed_q -> eval real_setting=setting2
REAL_TEST step:3, travel time:470.9152879275066, q_loss:100, rewards:-746.4230034722223, queue:98.809375, delay:0.5149112277560763, throughput:13313, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:196.36288249842394, q_loss:100, rewards:-404.60004340277777, queue:36.9609375, delay:0.4157641092936198, throughput:18823, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:173.44486025580295, q_loss:100, rewards:-418.52664930555557, queue:32.905208333333334, delay:0.3997644212510851, throughput:19656, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:156.12806840563002, q_loss:100, rewards:-350.8392361111111, queue:27.138368055555556, delay:0.3856402926974826, throughput:19678, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:170.43941341713088, q_loss:100, rewards:-377.42942708333334, queue:31.794270833333332, delay:0.40124295552571615, throughput:19197, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:244.5361270224098, q_loss:100, rewards:-480.165234375, queue:51.368229166666666, delay:0.41299370659722223, throughput:17142, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:173.06247538400945, q_loss:100, rewards:-356.3878472222222, queue:29.442013888888887, delay:0.3777584499782986, throughput:18560, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:176.29252427184466, q_loss:100, rewards:-388.52513020833334, queue:32.589756944444446, delay:0.37730929056803386, throughput:18588, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:165.76608527131782, q_loss:100, rewards:-371.18055555555554, queue:28.618055555555557, delay:0.3697688632541233, throughput:19226, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:187.19453671111992, q_loss:100, rewards:-403.7091579861111, queue:34.768229166666664, delay:0.37320048014322915, throughput:18130, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:199.12645242841168, q_loss:100, rewards:-408.8115451388889, queue:37.927256944444444, delay:0.37662942674424915, throughput:18755, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
