Oblivious-Q baseline (prediction disabled, env delay still applied): m=0 decision(s) of assumed delay (sim_delay=0, real_delay=60)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/tempe_16/action_delay_optimized_s0_oblivious_q_s0/model/tempe_16_setting1_presslight_oblivious_q -> eval real_setting=setting4
REAL_TEST step:3, travel time:529.8111907853876, q_loss:100, rewards:-1033.8487847222223, queue:114.47256944444445, delay:0.499102783203125, throughput:13793, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:567.892101428155, q_loss:100, rewards:-1206.6282986111112, queue:123.90381944444445, delay:0.50489256117079, throughput:13836, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:518.8232236691798, q_loss:100, rewards:-1147.6330729166666, queue:115.6217013888889, delay:0.498948245578342, throughput:14231, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:529.9971508348054, q_loss:100, rewards:-1158.4715277777777, queue:120.26371527777778, delay:0.5049346923828125, throughput:14175, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:489.14848752483994, q_loss:100, rewards:-1106.4984375, queue:112.41979166666667, delay:0.4974954393174913, throughput:14726, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:538.7289443813847, q_loss:100, rewards:-1119.7973958333334, queue:121.39670138888889, delay:0.5059459262424045, throughput:14480, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:528.9129250912462, q_loss:100, rewards:-1072.4333333333334, queue:117.86996527777778, delay:0.5135908762613932, throughput:13885, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:561.0461350265043, q_loss:100, rewards:-1124.6096354166666, queue:126.28767361111112, delay:0.5143334706624348, throughput:13429, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:556.3946269003134, q_loss:100, rewards:-1063.9230902777779, queue:124.76527777777778, delay:0.5154100206163195, throughput:13571, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:541.4640004531808, q_loss:100, rewards:-1051.310763888889, queue:118.71111111111111, delay:0.5065826839870877, throughput:13980, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:609.9973632924452, q_loss:100, rewards:-1125.0306423611112, queue:132.09131944444445, delay:0.5087846544053819, throughput:13347, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:518.8600145178402, q_loss:100, rewards:-1112.3686631944445, queue:120.15868055555555, delay:0.5037500169542101, throughput:14414, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:528.7580852371111, q_loss:100, rewards:-1043.7427083333334, queue:119.24166666666666, delay:0.5050564236111111, throughput:13794, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:600.9802763670722, q_loss:100, rewards:-1208.5473090277778, queue:133.15364583333334, delay:0.5009329901801215, throughput:12945, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:649.428734458526, q_loss:100, rewards:-1102.725607638889, queue:138.3171875, delay:0.5209586249457465, throughput:12572, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:686.6319964462496, q_loss:100, rewards:-1044.9708333333333, queue:140.67795138888889, delay:0.5270736270480686, throughput:11516, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:682.2418995480298, q_loss:100, rewards:-972.6847222222223, queue:138.60868055555557, delay:0.5164737701416016, throughput:11979, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:560.3574714602147, q_loss:100, rewards:-1037.2037326388888, queue:121.75659722222223, delay:0.497202385796441, throughput:13939, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:516.5712036880868, q_loss:100, rewards:-998.9940972222222, queue:114.61440972222222, delay:0.4862983703613281, throughput:14560, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:528.2606195925202, q_loss:100, rewards:-996.1234375, queue:117.31180555555555, delay:0.4897937774658203, throughput:14666, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:473.53545394300863, q_loss:100, rewards:-967.9329861111111, queue:106.29288194444445, delay:0.4858400132921007, throughput:15298, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:480.3305862831858, q_loss:100, rewards:-935.8276909722222, queue:105.35850694444444, delay:0.4808658599853516, throughput:15113, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:517.5045311955386, q_loss:100, rewards:-979.8328125, queue:107.2796875, delay:0.5078177558051216, throughput:14389, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:560.7585671573137, q_loss:100, rewards:-935.9211805555556, queue:114.29496527777778, delay:0.5048562791612413, throughput:13935, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:503.8826533444352, q_loss:100, rewards:-989.6519097222222, queue:112.60677083333333, delay:0.4907799614800347, throughput:13996, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:521.1041005890349, q_loss:100, rewards:-1044.4037326388889, queue:113.60989583333334, delay:0.5072925143771702, throughput:13851, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:541.6676404880563, q_loss:100, rewards:-960.9121527777778, queue:114.38541666666667, delay:0.5056565602620443, throughput:13549, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:547.6597327135387, q_loss:100, rewards:-974.3228298611111, queue:115.13420138888888, delay:0.4993563334147135, throughput:13228, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:569.0161280863292, q_loss:100, rewards:-978.9265625, queue:117.44791666666667, delay:0.5104351043701172, throughput:13106, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:550.6953547200184, q_loss:100, rewards:-960.0065972222222, queue:116.05225694444445, delay:0.4987091064453125, throughput:13332, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:592.6580028162404, q_loss:100, rewards:-1036.3692708333333, queue:125.65850694444444, delay:0.5056426578097873, throughput:12786, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:570.8035735346149, q_loss:100, rewards:-999.0891493055556, queue:119.4265625, delay:0.5045075310601128, throughput:12990, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
