Delayed-Q enabled: m=2 decision(s) of assumed delay (sim_delay=20, real_delay=40)
replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/tempe_1x1/action_delay_optimized_s0_delayed_q_s0/model/tempe_1x1_setting1_presslight_delayed_q -> eval real_setting=setting3
REAL_TEST step:3, travel time:541.8311965811965, q_loss:100, rewards:-256.1533203125, queue:223.44166666666666, delay:0.6905304802788629, throughput:1337, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:620.7558808154731, q_loss:100, rewards:-311.5210286458333, queue:279.68888888888887, delay:0.6872982872856988, throughput:970, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:337.0972294824882, q_loss:100, rewards:-149.03358289930554, queue:112.44166666666666, delay:0.6035911983913845, throughput:1571, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:399.75692629377943, q_loss:100, rewards:-182.73661024305557, queue:146.26111111111112, delay:0.6669528961181641, throughput:1552, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:248.03293256664924, q_loss:100, rewards:-100.71915147569445, queue:63.30833333333333, delay:0.6105878194173177, throughput:1628, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:289.9106116048092, q_loss:100, rewards:-125.82442491319445, queue:89.20277777777778, delay:0.6222912682427301, throughput:1477, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:390.66541755888653, q_loss:100, rewards:-174.69835069444446, queue:140.13055555555556, delay:0.6192508697509765, throughput:1442, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:375.8473601672765, q_loss:100, rewards:-171.44391276041668, queue:136.07777777777778, delay:0.6200931972927517, throughput:1480, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:492.63930998431783, q_loss:100, rewards:-236.06885850694445, queue:202.29722222222222, delay:0.6208676232231988, throughput:1360, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:356.3523261892316, q_loss:100, rewards:-160.66937934027777, queue:125.11944444444444, delay:0.6182876586914062, throughput:1505, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:440.76319916361734, q_loss:100, rewards:-202.43917100694443, queue:167.72222222222223, delay:0.6204575432671441, throughput:1601, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:409.17668583376894, q_loss:100, rewards:-191.56002604166667, queue:157.31944444444446, delay:0.604809061686198, throughput:1366, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:343.4270778881338, q_loss:100, rewards:-155.88024088541667, queue:120.57222222222222, delay:0.6030984242757161, throughput:1400, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:276.69942498693155, q_loss:100, rewards:-117.32054036458334, queue:81.09722222222223, delay:0.5872917175292969, throughput:1554, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:210.2148457919498, q_loss:100, rewards:-77.66081814236111, queue:39.794444444444444, delay:0.5793507046169705, throughput:1763, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:207.05122843700994, q_loss:100, rewards:-76.0213650173611, queue:38.17777777777778, delay:0.582080586751302, throughput:1772, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:267.6706743335076, q_loss:100, rewards:-108.07170138888888, queue:70.45, delay:0.5962206522623698, throughput:1774, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:279.62467328802927, q_loss:100, rewards:-115.37690972222222, queue:78.01666666666667, delay:0.5974697960747613, throughput:1718, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:57, travel time:235.11238891792996, q_loss:100, rewards:-90.23194444444445, queue:52.725, delay:0.5819712744818794, throughput:1797, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:60, travel time:381.6131730266597, q_loss:100, rewards:-174.1218967013889, queue:139.44722222222222, delay:0.6005549536810981, throughput:1437, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:63, travel time:228.25509670674333, q_loss:100, rewards:-86.9627712673611, queue:49.2, delay:0.5904430389404297, throughput:1778, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:66, travel time:339.80083638264506, q_loss:100, rewards:-149.1967013888889, queue:112.39444444444445, delay:0.6332195281982422, throughput:1653, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:69, travel time:355.30946157867226, q_loss:100, rewards:-157.04410807291666, queue:120.36666666666666, delay:0.6037656148274739, throughput:1609, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:72, travel time:312.2885520125457, q_loss:100, rewards:-133.5830078125, queue:96.37222222222222, delay:0.6056218889024523, throughput:1665, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:75, travel time:307.2660742289597, q_loss:100, rewards:-130.2119357638889, queue:92.79444444444445, delay:0.6048601362440321, throughput:1706, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:78, travel time:268.94093047569265, q_loss:100, rewards:-108.42300347222222, queue:70.66944444444445, delay:0.6027671390109592, throughput:1784, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:81, travel time:320.87454260324097, q_loss:100, rewards:-137.46498480902778, queue:100.23333333333333, delay:0.6167870415581598, throughput:1695, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:84, travel time:276.1453214845792, q_loss:100, rewards:-113.19028862847222, queue:75.88333333333334, delay:0.5989209916856554, throughput:1706, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:87, travel time:382.2456874019864, q_loss:100, rewards:-176.93748914930555, queue:141.225, delay:0.6395015716552734, throughput:1375, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:90, travel time:356.7156299006796, q_loss:100, rewards:-160.6699435763889, queue:124.29444444444445, delay:0.6379233042399088, throughput:1501, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:93, travel time:416.1536853110298, q_loss:100, rewards:-196.6152560763889, queue:161.76666666666668, delay:0.6483371310763889, throughput:1288, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:96, travel time:501.04858515750135, q_loss:100, rewards:-238.25, queue:205.29166666666666, delay:0.6739031049940322, throughput:1176, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:99, travel time:514.3382507903056, q_loss:100, rewards:-249.38585069444446, queue:216.51111111111112, delay:0.6592462327745225, throughput:1138, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:102, travel time:391.21432305279666, q_loss:100, rewards:-182.03963758680555, queue:146.59166666666667, delay:0.6398761325412327, throughput:1357, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:105, travel time:447.38547784303256, q_loss:100, rewards:-208.62220052083333, queue:174.74166666666667, delay:0.6595044453938802, throughput:1262, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:108, travel time:374.42818863879955, q_loss:100, rewards:-166.59947916666667, queue:132.1027777777778, delay:0.648612552218967, throughput:1433, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:111, travel time:393.1662310507057, q_loss:100, rewards:-184.76469184027778, queue:150.43333333333334, delay:0.6587511698404948, throughput:1266, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:114, travel time:457.2221641400941, q_loss:100, rewards:-217.91078559027778, queue:184.74722222222223, delay:0.6294849819607204, throughput:1291, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:117, travel time:383.7297438578149, q_loss:100, rewards:-178.77110460069446, queue:143.96944444444443, delay:0.6590959337022569, throughput:1320, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:120, travel time:280.7318348144276, q_loss:100, rewards:-115.91941189236111, queue:78.72777777777777, delay:0.6195349375406901, throughput:1737, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:123, travel time:252.31364349189755, q_loss:100, rewards:-100.15557725694444, queue:62.40833333333333, delay:0.5979057312011719, throughput:1774, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:126, travel time:257.71406168322005, q_loss:100, rewards:-103.6944552951389, queue:66.29444444444445, delay:0.6059721204969618, throughput:1714, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:129, travel time:314.1217982226869, q_loss:100, rewards:-135.75423177083334, queue:100.03611111111111, delay:0.6045143127441406, throughput:1595, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:132, travel time:299.292733925771, q_loss:100, rewards:-127.86579861111112, queue:91.68888888888888, delay:0.5974548763699001, throughput:1622, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:135, travel time:293.94720334553057, q_loss:100, rewards:-123.76637369791666, queue:87.10833333333333, delay:0.6019421471489801, throughput:1679, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:138, travel time:310.5321484579195, q_loss:100, rewards:-135.56996527777778, queue:99.98055555555555, delay:0.5972454071044921, throughput:1523, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:141, travel time:230.54626241505488, q_loss:100, rewards:-88.49248589409723, queue:50.74166666666667, delay:0.6027009752061632, throughput:1769, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:144, travel time:326.85341151385927, q_loss:100, rewards:-142.25028211805557, queue:107.44166666666666, delay:0.5948301527235244, throughput:1462, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:147, travel time:441.45776135163675, q_loss:100, rewards:-208.16614583333333, queue:174.14166666666668, delay:0.6428382025824653, throughput:1257, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
