replay_curve: 99 checkpoints from data/output_data/sim2real_actions/cityflow_presslight/tempe_1x1/action_delay_optimized_s0_naive_s0/model/tempe_1x1_setting1_presslight_naive -> eval real_setting=setting4
REAL_TEST step:3, travel time:920.3520950594121, q_loss:100, rewards:-390.79874131944445, queue:362.80555555555554, delay:0.7295928955078125, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:6, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:9, travel time:920.3520950594121, q_loss:100, rewards:-390.79874131944445, queue:362.80555555555554, delay:0.7295928955078125, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:12, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:15, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:18, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:21, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:24, travel time:871.5871505056514, q_loss:100, rewards:-384.96202256944446, queue:355.68055555555554, delay:0.7257064819335938, throughput:1107, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:27, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:30, travel time:926.9768605378362, q_loss:100, rewards:-393.7587673611111, queue:365.76944444444445, delay:0.7302904764811198, throughput:921, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:33, travel time:926.9768605378362, q_loss:100, rewards:-393.7587673611111, queue:365.76944444444445, delay:0.7302904764811198, throughput:921, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:36, travel time:925.0559353635799, q_loss:100, rewards:-393.65069444444447, queue:365.2611111111111, delay:0.7302295260959202, throughput:986, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:39, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:42, travel time:877.1113195747342, q_loss:100, rewards:-368.25837673611113, queue:339.76666666666665, delay:0.7118685404459636, throughput:1097, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:45, travel time:760.6630727762803, q_loss:100, rewards:-374.53424479166665, queue:345.31944444444446, delay:0.7298057556152344, throughput:924, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:48, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:51, travel time:884.8197638284648, q_loss:100, rewards:-377.16922743055557, queue:348.8888888888889, delay:0.7268655565049913, throughput:937, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
REAL_TEST step:54, travel time:923.4421513445903, q_loss:100, rewards:-392.1689236111111, queue:364.19444444444446, delay:0.729610358344184, throughput:922, violation_rate:0.0000, forceoff_rate:0.0000, violations:0, force_offs:0
