Loading cached latent encoders from pretrained/atc/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_atc_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=dz20
REAL_TEST step:2, travel time:2490.6603773584907, q_loss:100, rewards:-480.53586, queue:470.17776, delay:0.7515676, throughput:55
REAL_TEST step:4, travel time:261.76830985915495, q_loss:100, rewards:-57.86805, queue:57.247223, delay:0.53686905, throughput:1267
REAL_TEST step:6, travel time:164.01650412603152, q_loss:100, rewards:-36.144997, queue:15.288889, delay:0.84327435, throughput:1271
REAL_TEST step:8, travel time:396.3542274052478, q_loss:100, rewards:-118.38418, queue:107.21111, delay:0.8692211, throughput:1165
REAL_TEST step:10, travel time:1847.9396051103367, q_loss:100, rewards:-439.5148, queue:430.3861, delay:0.75990295, throughput:223
REAL_TEST step:12, travel time:1049.6248561565017, q_loss:100, rewards:-252.1025, queue:231.09166, delay:0.83765787, throughput:566
REAL_TEST step:14, travel time:145.47813411078718, q_loss:100, rewards:-18.953327, queue:9.430555, delay:0.63479185, throughput:1320
REAL_TEST step:16, travel time:1462.5474613686533, q_loss:100, rewards:-373.5872, queue:353.11667, delay:0.96031725, throughput:263
REAL_TEST step:18, travel time:2321.6899441340784, q_loss:100, rewards:-462.9975, queue:454.01666, delay:0.75495803, throughput:81
REAL_TEST step:20, travel time:2700.4071762870517, q_loss:100, rewards:-495.04834, queue:475.02222, delay:0.9905743, throughput:2
REAL_TEST step:22, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:24, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:26, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:28, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:30, travel time:2700.4071762870517, q_loss:100, rewards:-495.04834, queue:475.02222, delay:0.9905743, throughput:2
REAL_TEST step:32, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:34, travel time:2700.421216848674, q_loss:100, rewards:-495.0442, queue:475.01944, delay:0.99060655, throughput:2
REAL_TEST step:36, travel time:2498.796215429403, q_loss:100, rewards:-481.1289, queue:470.375, delay:0.74678314, throughput:53
REAL_TEST step:38, travel time:2197.870541611625, q_loss:100, rewards:-454.2366, queue:453.99722, delay:0.63235545, throughput:126
REAL_TEST step:40, travel time:2276.801089918256, q_loss:100, rewards:-466.60144, queue:456.2389, delay:0.748978, throughput:97
REAL_TEST step:42, travel time:2693.159937888199, q_loss:100, rewards:-496.49252, queue:475.925, delay:0.9903378, throughput:2
REAL_TEST step:44, travel time:2158.2316753926702, q_loss:100, rewards:-449.87668, queue:449.6611, delay:0.6297972, throughput:134
REAL_TEST step:46, travel time:2477.9841726618706, q_loss:100, rewards:-484.05414, queue:471.79166, delay:0.89068043, throughput:56
REAL_TEST step:48, travel time:2339.8126721763088, q_loss:100, rewards:-464.0621, queue:464.7139, delay:0.53448635, throughput:98
REAL_TEST step:50, travel time:2336.406292749658, q_loss:100, rewards:-470.28247, queue:467.22223, delay:0.82480896, throughput:97
REAL_TEST step:52, travel time:2342.2134986225897, q_loss:100, rewards:-465.56824, queue:465.19724, delay:0.64102674, throughput:97
REAL_TEST step:54, travel time:2330.6169630642953, q_loss:100, rewards:-466.5402, queue:466.05276, delay:0.6782575, throughput:100
REAL_TEST step:56, travel time:2342.220385674931, q_loss:100, rewards:-465.5633, queue:465.19724, delay:0.64110416, throughput:97
REAL_TEST step:58, travel time:2332.3091655266758, q_loss:100, rewards:-467.62872, queue:466.4, delay:0.7561774, throughput:99
REAL_TEST step:60, travel time:2339.7438016528927, q_loss:100, rewards:-464.0207, queue:464.7028, delay:0.5336415, throughput:98
REAL_TEST step:62, travel time:2330.6005471956223, q_loss:100, rewards:-466.5321, queue:466.05, delay:0.6782273, throughput:100
REAL_TEST step:64, travel time:2339.7823691460053, q_loss:100, rewards:-464.04153, queue:464.71112, delay:0.53436273, throughput:98
REAL_TEST step:66, travel time:1639.7173423423424, q_loss:100, rewards:-392.72778, queue:391.71112, delay:0.7202098, throughput:257
REAL_TEST step:68, travel time:2041.6425855513307, q_loss:100, rewards:-438.56787, queue:438.21112, delay:0.6587396, throughput:158
REAL_TEST step:70, travel time:2130.5805194805193, q_loss:100, rewards:-447.7868, queue:447.10278, delay:0.69292885, throughput:139
REAL_TEST step:72, travel time:369.38521126760565, q_loss:100, rewards:-103.42053, queue:103.43889, delay:0.5066014, throughput:1170
REAL_TEST step:74, travel time:177.493661971831, q_loss:100, rewards:-27.718891, queue:27.8, delay:0.50756645, throughput:1169
REAL_TEST step:76, travel time:266.4823943661972, q_loss:100, rewards:-59.601944, queue:58.858334, delay:0.5692497, throughput:1262
REAL_TEST step:78, travel time:143.3556338028169, q_loss:100, rewards:-9.4361105, queue:9.705556, delay:0.44771615, throughput:1363
REAL_TEST step:80, travel time:2278.1280323450133, q_loss:100, rewards:-462.31586, queue:461.95, delay:0.6701435, throughput:110
REAL_TEST step:82, travel time:379.8654929577465, q_loss:100, rewards:-107.91141, queue:107.75278, delay:0.523934, throughput:1167
REAL_TEST step:84, travel time:2330.243502051984, q_loss:100, rewards:-466.34756, queue:465.95834, delay:0.67153764, throughput:99
REAL_TEST step:86, travel time:2339.9201101928375, q_loss:100, rewards:-464.15988, queue:464.73334, delay:0.5386815, throughput:98
REAL_TEST step:88, travel time:1462.0170212765956, q_loss:100, rewards:-368.10114, queue:367.19724, delay:0.70911, throughput:309
REAL_TEST step:90, travel time:2094.118404118404, q_loss:100, rewards:-442.3927, queue:443.09445, delay:0.52946717, throughput:147
REAL_TEST step:92, travel time:1991.7016229712858, q_loss:100, rewards:-434.96713, queue:433.53055, delay:0.7451995, throughput:169
REAL_TEST step:94, travel time:2075.9014084507044, q_loss:100, rewards:-440.65555, queue:441.40555, delay:0.52992016, throughput:151
REAL_TEST step:96, travel time:2329.7441860465115, q_loss:100, rewards:-466.04742, queue:465.86667, delay:0.64684284, throughput:100
REAL_TEST step:98, travel time:2341.18044077135, q_loss:100, rewards:-464.91077, queue:464.9861, delay:0.57018954, throughput:98
REAL_TEST step:100, travel time:2330.3515731874145, q_loss:100, rewards:-466.42987, queue:465.99722, delay:0.65311074, throughput:100
REAL_TEST step:102, travel time:2340.0440771349863, q_loss:100, rewards:-464.15308, queue:464.76944, delay:0.54936165, throughput:98
REAL_TEST step:104, travel time:2330.142270861833, q_loss:100, rewards:-466.26996, queue:465.9389, delay:0.6565308, throughput:100
REAL_TEST step:106, travel time:2195.6089828269487, q_loss:100, rewards:-452.7559, queue:453.52222, delay:0.54148006, throughput:126
REAL_TEST step:108, travel time:2330.3515731874145, q_loss:100, rewards:-466.42987, queue:465.99722, delay:0.65311074, throughput:100
REAL_TEST step:110, travel time:2195.6089828269487, q_loss:100, rewards:-452.7559, queue:453.52222, delay:0.54148006, throughput:126
REAL_TEST step:112, travel time:2330.329685362517, q_loss:100, rewards:-466.4199, queue:465.99722, delay:0.6504607, throughput:100
REAL_TEST step:114, travel time:2195.6314398943196, q_loss:100, rewards:-452.77927, queue:453.53055, delay:0.542623, throughput:126
REAL_TEST step:116, travel time:2329.777017783858, q_loss:100, rewards:-466.07245, queue:465.87778, delay:0.64765304, throughput:100
REAL_TEST step:118, travel time:2195.6314398943196, q_loss:100, rewards:-452.77927, queue:453.53055, delay:0.542623, throughput:126
REAL_TEST step:120, travel time:2329.777017783858, q_loss:100, rewards:-466.07245, queue:465.87778, delay:0.64765304, throughput:100
REAL_TEST step:122, travel time:2195.6314398943196, q_loss:100, rewards:-452.77927, queue:453.53055, delay:0.542623, throughput:126
REAL_TEST step:124, travel time:2329.777017783858, q_loss:100, rewards:-466.07245, queue:465.87778, delay:0.64765304, throughput:100
REAL_TEST step:126, travel time:2195.422721268164, q_loss:100, rewards:-452.73438, queue:453.475, delay:0.5299789, throughput:126
REAL_TEST step:128, travel time:2296.238482384824, q_loss:100, rewards:-463.4977, queue:463.28888, delay:0.64478415, throughput:107
REAL_TEST step:130, travel time:2195.6089828269487, q_loss:100, rewards:-452.7559, queue:453.52222, delay:0.54148006, throughput:126
REAL_TEST step:132, travel time:2329.749658002736, q_loss:100, rewards:-466.0622, queue:465.85278, delay:0.6476421, throughput:100
REAL_TEST step:134, travel time:2103.773195876289, q_loss:100, rewards:-443.86978, queue:444.6389, delay:0.54147035, throughput:145
REAL_TEST step:136, travel time:2329.608755129959, q_loss:100, rewards:-466.01553, queue:465.825, delay:0.6419156, throughput:100
REAL_TEST step:138, travel time:2152.0926892950392, q_loss:100, rewards:-449.56467, queue:449.4389, delay:0.633349, throughput:135
REAL_TEST step:140, travel time:2329.703146374829, q_loss:100, rewards:-466.0575, queue:465.8611, delay:0.6453736, throughput:100
REAL_TEST step:142, travel time:2195.6314398943196, q_loss:100, rewards:-452.77927, queue:453.53055, delay:0.542623, throughput:126
REAL_TEST step:144, travel time:2329.703146374829, q_loss:100, rewards:-466.0575, queue:465.8611, delay:0.6453736, throughput:100
REAL_TEST step:146, travel time:2339.7052341597796, q_loss:100, rewards:-463.9339, queue:464.7028, delay:0.5432908, throughput:98
REAL_TEST step:148, travel time:2329.543091655267, q_loss:100, rewards:-466.0141, queue:465.83057, delay:0.6377627, throughput:100
REAL_TEST step:150, travel time:2329.5212038303694, q_loss:100, rewards:-465.9933, queue:465.82224, delay:0.63831455, throughput:100
REAL_TEST step:152, travel time:2329.733242134063, q_loss:100, rewards:-466.06332, queue:465.85834, delay:0.6467602, throughput:100
REAL_TEST step:154, travel time:2195.5944517833555, q_loss:100, rewards:-452.7501, queue:453.51944, delay:0.5407801, throughput:126
REAL_TEST step:156, travel time:2329.5212038303694, q_loss:100, rewards:-465.9933, queue:465.82224, delay:0.63831455, throughput:100
REAL_TEST step:158, travel time:2329.49658002736, q_loss:100, rewards:-465.98578, queue:465.81946, delay:0.63708466, throughput:100
REAL_TEST step:160, travel time:2588.478260869565, q_loss:100, rewards:-488.90674, queue:473.44446, delay:0.9135838, throughput:25
REAL_TEST step:162, travel time:2589.232383808096, q_loss:100, rewards:-489.32318, queue:473.56668, delay:0.93032694, throughput:25
REAL_TEST step:164, travel time:2589.206896551724, q_loss:100, rewards:-489.32144, queue:473.55, delay:0.9301116, throughput:25
REAL_TEST step:166, travel time:2588.448275862069, q_loss:100, rewards:-488.89505, queue:473.44446, delay:0.9135843, throughput:25
REAL_TEST step:168, travel time:2589.304347826087, q_loss:100, rewards:-489.36563, queue:473.575, delay:0.9337799, throughput:25
REAL_TEST step:170, travel time:2589.9790104947524, q_loss:100, rewards:-489.7348, queue:473.7028, delay:0.9421248, throughput:25
REAL_TEST step:172, travel time:2588.950524737631, q_loss:100, rewards:-489.1665, queue:473.5111, delay:0.91915715, throughput:25
REAL_TEST step:174, travel time:2589.4542728635683, q_loss:100, rewards:-489.45062, queue:473.59723, delay:0.9251632, throughput:25
REAL_TEST step:176, travel time:2589.4647676161917, q_loss:100, rewards:-489.44983, queue:473.6139, delay:0.9247001, throughput:25
REAL_TEST step:178, travel time:2589.4827586206898, q_loss:100, rewards:-489.47067, queue:473.60278, delay:0.9265159, throughput:25
REAL_TEST step:180, travel time:2503.600583090379, q_loss:100, rewards:-480.21146, queue:470.51944, delay:0.8605399, throughput:49
REAL_TEST step:182, travel time:2511.5474452554745, q_loss:100, rewards:-483.0112, queue:471.49445, delay:0.8193376, throughput:43
REAL_TEST step:184, travel time:2331.8180574555404, q_loss:100, rewards:-467.38977, queue:466.26944, delay:0.66660315, throughput:100
