Loading cached latent encoders from pretrained/atc/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_atc_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:2491.521044992743, q_loss:100, rewards:-261.86835, queue:250.83888, delay:0.5166274, throughput:55
REAL_TEST step:4, travel time:291.5704647676162, q_loss:100, rewards:-31.689165, queue:10.575, delay:0.58909714, throughput:1173
REAL_TEST step:6, travel time:216.32558139534885, q_loss:100, rewards:-23.371113, queue:11.822222, delay:0.40930185, throughput:1244
REAL_TEST step:8, travel time:427.910861423221, q_loss:100, rewards:-94.29191, queue:73.54444, delay:0.7984816, throughput:1087
REAL_TEST step:10, travel time:291.5704647676162, q_loss:100, rewards:0.0, queue:0.0, delay:0.15032591, throughput:1173
REAL_TEST step:12, travel time:191.82220555138784, q_loss:100, rewards:-21.948338, queue:10.427778, delay:0.41222927, throughput:1263
REAL_TEST step:14, travel time:292.06451612903226, q_loss:100, rewards:-14.6975, queue:4.9055557, delay:0.3249635, throughput:1172
REAL_TEST step:16, travel time:256.3128282070518, q_loss:100, rewards:-13.098331, queue:13.125, delay:0.14290948, throughput:1217
REAL_TEST step:18, travel time:283.57027225901396, q_loss:100, rewards:-53.713066, queue:53.89722, delay:0.24862541, throughput:1198
REAL_TEST step:20, travel time:290.97752808988764, q_loss:100, rewards:-14.6975, queue:4.9055557, delay:0.3867378, throughput:1174
REAL_TEST step:22, travel time:167.31619718309858, q_loss:100, rewards:-13.537222, queue:13.561111, delay:0.37914404, throughput:1358
REAL_TEST step:24, travel time:590.8843338213762, q_loss:100, rewards:-185.16916, queue:185.88055, delay:0.4086213, throughput:776
REAL_TEST step:26, travel time:193.14092953523237, q_loss:100, rewards:-16.356113, queue:16.38611, delay:0.26380378, throughput:1263
REAL_TEST step:28, travel time:2688.4542635658913, q_loss:100, rewards:-310.17303, queue:310.7028, delay:0.326697, throughput:3
REAL_TEST step:30, travel time:276.62621722846444, q_loss:100, rewards:-59.55807, queue:38.775, delay:0.73558646, throughput:1229
REAL_TEST step:32, travel time:173.01749271137027, q_loss:100, rewards:-9.414447, queue:9.416667, delay:0.21689464, throughput:1313
REAL_TEST step:34, travel time:153.07042253521126, q_loss:100, rewards:-8.465834, queue:7.686111, delay:0.28359964, throughput:1360
REAL_TEST step:36, travel time:290.0567164179104, q_loss:100, rewards:-31.179443, queue:10.413889, delay:0.6422444, throughput:1179
REAL_TEST step:38, travel time:230.25149700598803, q_loss:100, rewards:-10.466668, queue:10.483334, delay:0.20381732, throughput:1231
REAL_TEST step:40, travel time:319.73476968796433, q_loss:100, rewards:-39.974167, queue:32.016666, delay:0.44011706, throughput:1184
REAL_TEST step:42, travel time:2693.159937888199, q_loss:100, rewards:-168.10777, queue:158.56667, delay:0.41384688, throughput:2
REAL_TEST step:44, travel time:161.26166180758017, q_loss:100, rewards:-15.50417, queue:11.105556, delay:0.45095915, throughput:1308
REAL_TEST step:46, travel time:137.6669014084507, q_loss:100, rewards:-12.363615, queue:7.9944444, delay:0.5483857, throughput:1366
REAL_TEST step:48, travel time:2665.443076923077, q_loss:100, rewards:-265.75943, queue:246.02777, delay:0.72850597, throughput:8
REAL_TEST step:50, travel time:162.94154929577465, q_loss:100, rewards:-11.968888, queue:12.038889, delay:0.38640806, throughput:1362
REAL_TEST step:52, travel time:170.10276967930028, q_loss:100, rewards:-20.493055, queue:10.75, delay:0.45867336, throughput:1313
REAL_TEST step:54, travel time:291.24269662921347, q_loss:100, rewards:0.0, queue:0.0, delay:0.12251254, throughput:1174
REAL_TEST step:56, travel time:2597.0649546827794, q_loss:100, rewards:-173.28111, queue:153.38333, delay:0.6466655, throughput:20
REAL_TEST step:58, travel time:272.29645697758497, q_loss:100, rewards:-18.260838, queue:6.25, delay:0.41192, throughput:1227
REAL_TEST step:60, travel time:147.4171511627907, q_loss:100, rewards:-9.103887, queue:6.111111, delay:0.46621513, throughput:1322
REAL_TEST step:62, travel time:1511.840834248079, q_loss:100, rewards:-303.42297, queue:303.2361, delay:0.42037964, throughput:275
REAL_TEST step:64, travel time:273.0499637943519, q_loss:100, rewards:-1.8305559, queue:0.75, delay:0.25728992, throughput:1225
REAL_TEST step:66, travel time:171.8781690140845, q_loss:100, rewards:-13.50667, queue:13.1027775, delay:0.3071435, throughput:1352
REAL_TEST step:68, travel time:194.46971830985916, q_loss:100, rewards:-6.9177804, queue:6.961111, delay:0.21921177, throughput:1336
REAL_TEST step:70, travel time:442.72773352643014, q_loss:100, rewards:-115.4786, queue:114.916664, delay:0.42303294, throughput:1010
REAL_TEST step:72, travel time:1508.9288025889969, q_loss:100, rewards:-259.1275, queue:250.70277, delay:0.5978288, throughput:291
REAL_TEST step:74, travel time:2510.6348973607037, q_loss:100, rewards:-80.755005, queue:80.91944, delay:0.09794752, throughput:49
REAL_TEST step:76, travel time:154.4501872659176, q_loss:100, rewards:-16.070833, queue:6.7555556, delay:0.5351568, throughput:1279
REAL_TEST step:78, travel time:270.84675694939415, q_loss:100, rewards:-50.659992, queue:43.405556, delay:0.46517262, throughput:1152
REAL_TEST step:80, travel time:2514.8105726872245, q_loss:100, rewards:-167.51276, queue:158.51111, delay:0.4264378, throughput:48
REAL_TEST step:82, travel time:2514.775330396476, q_loss:100, rewards:-167.4986, queue:158.50555, delay:0.42412117, throughput:48
REAL_TEST step:84, travel time:2515.0, q_loss:100, rewards:-167.4686, queue:158.49445, delay:0.40624687, throughput:48
REAL_TEST step:86, travel time:161.2349570200573, q_loss:100, rewards:-14.16333, queue:12.338889, delay:0.4599873, throughput:1336
REAL_TEST step:88, travel time:518.9217325227963, q_loss:100, rewards:-87.54082, queue:78.952774, delay:0.44178665, throughput:780
REAL_TEST step:90, travel time:257.1767605633803, q_loss:100, rewards:-6.8913865, queue:2.5083334, delay:0.45189595, throughput:1267
