Loading cached latent encoders from pretrained/atc/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_atc_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=combine2
REAL_TEST step:2, travel time:985.5697424892704, q_loss:100, rewards:-103.217445, queue:89.54414, delay:1.3277321, throughput:625
REAL_TEST step:4, travel time:261.0345070422535, q_loss:100, rewards:-35.406025, queue:28.570024, delay:1.298671, throughput:1262
REAL_TEST step:6, travel time:160.98799699924982, q_loss:100, rewards:-26.524477, queue:15.893156, delay:1.2312211, throughput:1274
REAL_TEST step:8, travel time:395.9198501872659, q_loss:100, rewards:-125.56846, queue:105.469795, delay:1.788963, throughput:1154
REAL_TEST step:10, travel time:175.42253521126761, q_loss:100, rewards:-33.53087, queue:28.089594, delay:1.5086697, throughput:1352
REAL_TEST step:12, travel time:198.57464366091523, q_loss:100, rewards:-55.078564, queue:33.71846, delay:1.7744422, throughput:1212
REAL_TEST step:14, travel time:143.798833819242, q_loss:100, rewards:-22.151632, queue:11.7531, delay:1.1190104, throughput:1324
REAL_TEST step:16, travel time:168.33308383233532, q_loss:100, rewards:-39.58065, queue:19.176472, delay:1.3895702, throughput:1265
REAL_TEST step:18, travel time:305.24854227405245, q_loss:100, rewards:-86.09026, queue:74.25156, delay:1.6638658, throughput:1195
REAL_TEST step:20, travel time:321.42877801879973, q_loss:100, rewards:-95.58204, queue:80.51738, delay:1.6262536, throughput:1185
REAL_TEST step:22, travel time:243.18004338394795, q_loss:100, rewards:-64.25755, queue:52.780415, delay:1.6097327, throughput:1262
REAL_TEST step:24, travel time:280.85140845070424, q_loss:100, rewards:-69.036514, queue:66.861725, delay:1.2109168, throughput:1236
REAL_TEST step:26, travel time:261.9232394366197, q_loss:100, rewards:-66.75442, queue:61.808956, delay:1.478651, throughput:1274
REAL_TEST step:28, travel time:161.18731778425655, q_loss:100, rewards:-16.355652, queue:13.213983, delay:1.0592073, throughput:1310
REAL_TEST step:30, travel time:670.9240601503759, q_loss:100, rewards:-144.34149, queue:123.51405, delay:1.4286731, throughput:906
REAL_TEST step:32, travel time:154.45538243626063, q_loss:100, rewards:-30.66962, queue:19.249922, delay:1.5859115, throughput:1354
REAL_TEST step:34, travel time:141.7394366197183, q_loss:100, rewards:-22.158674, queue:16.14851, delay:1.5335802, throughput:1348
REAL_TEST step:36, travel time:188.95438088341783, q_loss:100, rewards:-43.95931, queue:30.474512, delay:1.6354928, throughput:1323
REAL_TEST step:38, travel time:156.83802816901408, q_loss:100, rewards:-21.795797, queue:14.790152, delay:1.168759, throughput:1367
REAL_TEST step:40, travel time:158.18872017353578, q_loss:100, rewards:-13.845527, queue:11.439787, delay:0.99793285, throughput:1330
REAL_TEST step:42, travel time:574.6904577191622, q_loss:100, rewards:-193.53218, queue:172.02069, delay:1.790017, throughput:973
REAL_TEST step:44, travel time:138.44859154929577, q_loss:100, rewards:-19.870703, queue:15.052878, delay:1.5334349, throughput:1369
REAL_TEST step:46, travel time:1793.6144859813085, q_loss:100, rewards:-434.577, queue:415.58133, delay:1.6913376, throughput:215
REAL_TEST step:48, travel time:142.0, q_loss:100, rewards:-20.949928, queue:15.519399, delay:1.5246109, throughput:1360
REAL_TEST step:50, travel time:1146.4207836456558, q_loss:100, rewards:-291.74313, queue:285.44464, delay:1.0172639, throughput:580
REAL_TEST step:52, travel time:157.61901408450703, q_loss:100, rewards:-23.661295, queue:18.395702, delay:1.3150122, throughput:1360
REAL_TEST step:54, travel time:480.39870223503965, q_loss:100, rewards:-130.69815, queue:127.095566, delay:1.1655023, throughput:1121
REAL_TEST step:56, travel time:179.31760563380283, q_loss:100, rewards:-22.38316, queue:17.823349, delay:1.1922396, throughput:1345
REAL_TEST step:58, travel time:187.70985915492957, q_loss:100, rewards:-37.01962, queue:31.860872, delay:1.4973081, throughput:1354
REAL_TEST step:60, travel time:680.3888888888889, q_loss:100, rewards:-182.55026, queue:178.65897, delay:1.3851002, throughput:813
REAL_TEST step:62, travel time:285.35633802816903, q_loss:100, rewards:-76.34143, queue:70.67125, delay:1.5117557, throughput:1350
REAL_TEST step:64, travel time:207.6281690140845, q_loss:100, rewards:-39.16569, queue:37.251564, delay:1.1724117, throughput:1358
REAL_TEST step:66, travel time:210.08521126760564, q_loss:100, rewards:-38.143814, queue:33.564053, delay:1.319915, throughput:1324
REAL_TEST step:68, travel time:160.90281690140844, q_loss:100, rewards:-24.58829, queue:19.24044, delay:1.3779029, throughput:1363
REAL_TEST step:70, travel time:157.59718309859156, q_loss:100, rewards:-25.70256, queue:20.561659, delay:1.5155675, throughput:1359
REAL_TEST step:72, travel time:162.86478873239437, q_loss:100, rewards:-27.424303, queue:21.098171, delay:1.4767925, throughput:1370
REAL_TEST step:74, travel time:1029.8832653061224, q_loss:100, rewards:-211.30486, queue:205.18019, delay:1.2168016, throughput:666
REAL_TEST step:76, travel time:231.32676056338028, q_loss:100, rewards:-51.372704, queue:45.84568, delay:1.3738675, throughput:1368
REAL_TEST step:78, travel time:162.58661971830986, q_loss:100, rewards:-27.621243, queue:22.868544, delay:1.5720437, throughput:1349
REAL_TEST step:80, travel time:190.56408450704225, q_loss:100, rewards:-38.804165, queue:33.307724, delay:1.5049756, throughput:1331
REAL_TEST step:82, travel time:1099.8980623420387, q_loss:100, rewards:-285.46625, queue:281.29968, delay:1.407242, throughput:562
REAL_TEST step:84, travel time:170.31971830985916, q_loss:100, rewards:-27.483725, queue:22.167412, delay:1.330714, throughput:1362
REAL_TEST step:86, travel time:150.49119097956307, q_loss:100, rewards:-17.750505, queue:15.022024, delay:1.1525462, throughput:1357
REAL_TEST step:88, travel time:536.001415428167, q_loss:100, rewards:-141.09212, queue:137.14127, delay:1.3892574, throughput:1012
