Loading cached latent encoders from pretrained/darla/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_darla_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:334.24644194756553, q_loss:100, rewards:-104.08334, queue:83.26478, delay:1.7395779, throughput:1139
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-91.03814, queue:69.19382, delay:1.6806468, throughput:1172
REAL_TEST step:6, travel time:289.4366091522881, q_loss:100, rewards:-89.925156, queue:69.02278, delay:1.6697572, throughput:1173
REAL_TEST step:8, travel time:190.47333333333333, q_loss:100, rewards:-51.994373, queue:32.8487, delay:1.7062148, throughput:1256
REAL_TEST step:10, travel time:147.91238233164373, q_loss:100, rewards:-32.11295, queue:17.51512, delay:1.596696, throughput:1327
REAL_TEST step:12, travel time:154.41690962099125, q_loss:100, rewards:-33.970207, queue:19.464008, delay:1.7007544, throughput:1315
REAL_TEST step:14, travel time:154.19354838709677, q_loss:100, rewards:-40.768486, queue:18.308384, delay:1.6937959, throughput:1278
REAL_TEST step:16, travel time:151.08357558139534, q_loss:100, rewards:-31.761269, queue:19.086647, delay:1.5579994, throughput:1319
REAL_TEST step:18, travel time:413.07580174927114, q_loss:100, rewards:-130.37772, queue:118.281715, delay:1.6952631, throughput:1103
REAL_TEST step:20, travel time:145.54729241877257, q_loss:100, rewards:-35.09298, queue:16.593344, delay:1.6224887, throughput:1327
REAL_TEST step:22, travel time:139.01901408450703, q_loss:100, rewards:-22.094677, queue:15.2752075, delay:1.566518, throughput:1366
REAL_TEST step:24, travel time:143.31851311953352, q_loss:100, rewards:-27.632414, queue:15.600815, delay:1.6171635, throughput:1319
REAL_TEST step:26, travel time:132.01971830985914, q_loss:100, rewards:-23.576376, queue:13.666233, delay:1.5198689, throughput:1373
REAL_TEST step:28, travel time:139.43002915451896, q_loss:100, rewards:-28.032682, queue:14.799766, delay:1.5565989, throughput:1317
REAL_TEST step:30, travel time:128.7549295774648, q_loss:100, rewards:-18.930515, queue:12.352905, delay:1.6429113, throughput:1377
REAL_TEST step:32, travel time:137.30915492957746, q_loss:100, rewards:-26.254744, queue:15.087607, delay:1.5764226, throughput:1360
REAL_TEST step:34, travel time:130.60845070422536, q_loss:100, rewards:-17.617954, queue:13.049484, delay:1.4860674, throughput:1369
REAL_TEST step:36, travel time:130.64084507042253, q_loss:100, rewards:-18.305471, queue:12.945483, delay:1.5129695, throughput:1374
REAL_TEST step:38, travel time:378.05010893246185, q_loss:100, rewards:-123.69179, queue:114.50639, delay:1.4934555, throughput:862
REAL_TEST step:40, travel time:135.19084507042254, q_loss:100, rewards:-19.137358, queue:13.961521, delay:1.4757719, throughput:1373
REAL_TEST step:42, travel time:656.489943684634, q_loss:100, rewards:-215.7045, queue:203.45871, delay:1.6806359, throughput:627
REAL_TEST step:44, travel time:146.62957746478872, q_loss:100, rewards:-22.322647, queue:17.854063, delay:1.5271832, throughput:1363
