Loading cached latent encoders from pretrained/darla/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_darla_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=combine4
REAL_TEST step:2, travel time:292.3558052434457, q_loss:100, rewards:-60.193386, queue:37.418587, delay:2.101757, throughput:1173
REAL_TEST step:4, travel time:197.271567891973, q_loss:100, rewards:-41.104126, queue:18.004879, delay:1.8846939, throughput:1244
REAL_TEST step:6, travel time:156.8810770381451, q_loss:100, rewards:-29.053146, queue:18.079376, delay:1.610246, throughput:1280
REAL_TEST step:8, travel time:147.32802317161477, q_loss:100, rewards:-38.708942, queue:23.694103, delay:2.427575, throughput:1323
REAL_TEST step:10, travel time:383.3953147877013, q_loss:100, rewards:-112.659225, queue:103.312546, delay:1.8567647, throughput:1168
REAL_TEST step:12, travel time:222.34402332361515, q_loss:100, rewards:-52.3735, queue:37.833736, delay:2.3194337, throughput:1269
REAL_TEST step:14, travel time:163.87771942985748, q_loss:100, rewards:-22.7372, queue:11.101599, delay:1.2777882, throughput:1265
REAL_TEST step:16, travel time:1891.5229357798164, q_loss:100, rewards:-163.30823, queue:154.94841, delay:1.4633332, throughput:241
REAL_TEST step:18, travel time:1764.4260042283297, q_loss:100, rewards:-318.64655, queue:304.391, delay:2.1006987, throughput:325
REAL_TEST step:20, travel time:232.99084507042252, q_loss:100, rewards:-63.892117, queue:52.86706, delay:2.3365211, throughput:1368
REAL_TEST step:22, travel time:1108.5374894692502, q_loss:100, rewards:-356.50333, queue:348.89508, delay:2.426058, throughput:624
REAL_TEST step:24, travel time:1586.850353892821, q_loss:100, rewards:-415.83716, queue:417.08417, delay:1.3249084, throughput:376
REAL_TEST step:26, travel time:1093.359450726979, q_loss:100, rewards:-306.56033, queue:302.84485, delay:1.6128374, throughput:694
REAL_TEST step:28, travel time:566.2215743440233, q_loss:100, rewards:-162.29262, queue:157.75595, delay:1.6303082, throughput:967
REAL_TEST step:30, travel time:2218.915143603133, q_loss:100, rewards:-240.42413, queue:231.65408, delay:1.8824233, throughput:136
REAL_TEST step:32, travel time:596.5232394366197, q_loss:100, rewards:-164.32852, queue:154.70055, delay:1.9359415, throughput:1065
REAL_TEST step:34, travel time:780.2685671417854, q_loss:100, rewards:-264.54135, queue:262.60986, delay:1.8062253, throughput:873
REAL_TEST step:36, travel time:742.1297420333839, q_loss:100, rewards:-223.199, queue:215.55196, delay:2.169516, throughput:849
REAL_TEST step:38, travel time:1883.9199535962878, q_loss:100, rewards:-305.8928, queue:298.0704, delay:1.7226579, throughput:231
REAL_TEST step:40, travel time:557.0007097232079, q_loss:100, rewards:-156.52034, queue:152.9304, delay:1.3998324, throughput:1043
REAL_TEST step:42, travel time:1337.2757352941176, q_loss:100, rewards:-398.56586, queue:390.47153, delay:2.4021552, throughput:482
