replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_domain_randomization_s0/model/bullhead_1_noise5_dqn_domain_randomization -> eval real_setting=dz10
REAL_TEST step:3, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:6, travel time:204.5483870967742, q_loss:100, rewards:-52.455532, queue:31.319445, delay:0.78990173, throughput:1238
REAL_TEST step:9, travel time:924.120253164557, q_loss:100, rewards:-276.65863, queue:255.775, delay:0.8554192, throughput:714
REAL_TEST step:12, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:15, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:18, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:21, travel time:986.9768722466961, q_loss:100, rewards:-236.61087, queue:225.98056, delay:0.73465925, throughput:610
REAL_TEST step:24, travel time:2693.159937888199, q_loss:100, rewards:-496.49252, queue:475.925, delay:0.9903378, throughput:2
REAL_TEST step:27, travel time:982.3689427312776, q_loss:100, rewards:-234.86256, queue:224.81389, delay:0.7339391, throughput:612
REAL_TEST step:30, travel time:990.0837004405287, q_loss:100, rewards:-235.08336, queue:226.38055, delay:0.67379063, throughput:611
REAL_TEST step:33, travel time:901.1759014951627, q_loss:100, rewards:-275.28574, queue:255.80833, delay:0.86790746, throughput:744
REAL_TEST step:36, travel time:986.6629834254144, q_loss:100, rewards:-235.75919, queue:225.10834, delay:0.7356001, throughput:609
REAL_TEST step:39, travel time:140.4271137026239, q_loss:100, rewards:-17.031391, queue:7.711111, delay:0.5856849, throughput:1323
REAL_TEST step:42, travel time:146.52551020408163, q_loss:100, rewards:-20.033882, queue:9.783334, delay:0.7084839, throughput:1318
REAL_TEST step:45, travel time:2515.1703377386198, q_loss:100, rewards:-477.8241, queue:469.29443, delay:0.7617009, throughput:48
REAL_TEST step:48, travel time:291.02097378277153, q_loss:100, rewards:-84.74944, queue:64.03333, delay:0.8136281, throughput:1174
REAL_TEST step:51, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:54, travel time:477.88413685847587, q_loss:100, rewards:-156.36916, queue:135.25833, delay:0.8379129, throughput:999
REAL_TEST step:57, travel time:240.8304576144036, q_loss:100, rewards:-65.745224, queue:44.78611, delay:0.78547853, throughput:1212
REAL_TEST step:60, travel time:2485.3744557329464, q_loss:100, rewards:-477.22998, queue:469.0889, delay:0.84254193, throughput:55
REAL_TEST step:63, travel time:157.9264816204051, q_loss:100, rewards:-34.0914, queue:13.288889, delay:0.79379016, throughput:1275
REAL_TEST step:66, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:69, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:72, travel time:1044.860759493671, q_loss:100, rewards:-250.38583, queue:229.93056, delay:0.8300516, throughput:568
REAL_TEST step:75, travel time:2679.408037094281, q_loss:100, rewards:-495.67673, queue:475.65555, delay:0.98269856, throughput:5
REAL_TEST step:78, travel time:221.2128279883382, q_loss:100, rewards:-49.592216, queue:39.405556, delay:0.63389575, throughput:1256
REAL_TEST step:81, travel time:2695.61214953271, q_loss:100, rewards:-494.67752, queue:474.89722, delay:0.98144937, throughput:3
REAL_TEST step:84, travel time:239.67066766691673, q_loss:100, rewards:-65.79555, queue:44.591667, delay:0.7873159, throughput:1212
REAL_TEST step:87, travel time:138.73615160349854, q_loss:100, rewards:-17.21416, queue:7.116667, delay:0.63296694, throughput:1321
