replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_domain_randomization_s0/model/bullhead_1_noise5_dqn_domain_randomization -> eval real_setting=sensor70
REAL_TEST step:3, travel time:292.06451612903226, q_loss:100, rewards:-34.944996, queue:25.202778, delay:0.39258093, throughput:1172
REAL_TEST step:6, travel time:924.1075949367089, q_loss:100, rewards:-96.23168, queue:86.56389, delay:0.41845343, throughput:714
REAL_TEST step:9, travel time:292.06451612903226, q_loss:100, rewards:-17.343334, queue:5.788889, delay:0.2499332, throughput:1172
REAL_TEST step:12, travel time:924.1075949367089, q_loss:100, rewards:0.0, queue:0.0, delay:0.04908833, throughput:714
REAL_TEST step:15, travel time:924.1075949367089, q_loss:100, rewards:-163.8625, queue:164.16112, delay:0.2242747, throughput:714
REAL_TEST step:18, travel time:290.97752808988764, q_loss:100, rewards:0.0, queue:0.0, delay:0.061050817, throughput:1174
REAL_TEST step:21, travel time:1645.3630952380952, q_loss:100, rewards:-161.9, queue:152.33888, delay:0.41372278, throughput:207
REAL_TEST step:24, travel time:1044.4724137931034, q_loss:100, rewards:-74.36056, queue:74.48889, delay:0.0816704, throughput:569
REAL_TEST step:27, travel time:1049.444572748268, q_loss:100, rewards:-71.96667, queue:72.075, delay:0.09797621, throughput:565
REAL_TEST step:30, travel time:239.20926756352765, q_loss:100, rewards:-0.03833335, queue:0.075, delay:0.13821724, throughput:1217
REAL_TEST step:33, travel time:186.34490238611713, q_loss:100, rewards:-27.910013, queue:16.527779, delay:0.54010355, throughput:1303
REAL_TEST step:36, travel time:292.06451612903226, q_loss:100, rewards:-53.462776, queue:53.586113, delay:0.3137727, throughput:1172
REAL_TEST step:39, travel time:263.48912228057014, q_loss:100, rewards:-42.69306, queue:42.77778, delay:0.2884499, throughput:1195
REAL_TEST step:42, travel time:224.66841710427607, q_loss:100, rewards:-9.267502, queue:9.313889, delay:0.14681724, throughput:1248
REAL_TEST step:45, travel time:298.3386744355426, q_loss:100, rewards:-19.302776, queue:9.286111, delay:0.42927018, throughput:1204
REAL_TEST step:48, travel time:292.06451612903226, q_loss:100, rewards:0.0, queue:0.0, delay:0.02781331, throughput:1172
REAL_TEST step:51, travel time:1049.444572748268, q_loss:100, rewards:-14.6975, queue:4.9055557, delay:0.24995682, throughput:565
REAL_TEST step:54, travel time:164.14868804664724, q_loss:100, rewards:-12.852789, queue:5.9305553, delay:0.3689855, throughput:1320
REAL_TEST step:57, travel time:282.9954988747187, q_loss:100, rewards:-28.093891, queue:28.11389, delay:0.20431012, throughput:1191
REAL_TEST step:60, travel time:364.99060014461315, q_loss:100, rewards:-27.307497, queue:27.280556, delay:0.1726497, throughput:1216
REAL_TEST step:63, travel time:351.4276069017254, q_loss:100, rewards:-39.159447, queue:29.497223, delay:0.41006503, throughput:1201
REAL_TEST step:66, travel time:205.6384096024006, q_loss:100, rewards:-23.633621, queue:12.030556, delay:0.3705145, throughput:1255
REAL_TEST step:69, travel time:177.9438622754491, q_loss:100, rewards:-25.178616, queue:15.555555, delay:0.43282732, throughput:1272
REAL_TEST step:72, travel time:1044.9390103567318, q_loss:100, rewards:-89.31, queue:77.86389, delay:0.3322105, throughput:568
REAL_TEST step:75, travel time:161.32633158289573, q_loss:100, rewards:-1.7994442, queue:2.0833333, delay:0.17968434, throughput:1274
REAL_TEST step:78, travel time:292.06451612903226, q_loss:100, rewards:0.0, queue:0.0, delay:0.014268335, throughput:1172
REAL_TEST step:81, travel time:290.97752808988764, q_loss:100, rewards:0.0, queue:0.0, delay:0.12251254, throughput:1174
REAL_TEST step:84, travel time:184.44084507042254, q_loss:100, rewards:-6.835281, queue:4.088889, delay:0.32301894, throughput:1330
REAL_TEST step:87, travel time:554.9444861215304, q_loss:100, rewards:-65.42694, queue:53.869446, delay:0.3310974, throughput:1080
REAL_TEST step:90, travel time:241.59550561797752, q_loss:100, rewards:-1.676667, queue:1.6916667, delay:0.19673163, throughput:1213
REAL_TEST step:93, travel time:284.58664666166544, q_loss:100, rewards:-31.499722, queue:21.73611, delay:0.40710416, throughput:1188
REAL_TEST step:96, travel time:287.30830903790087, q_loss:100, rewards:-17.751665, queue:8.002778, delay:0.37826234, throughput:1211
REAL_TEST step:99, travel time:174.0892723180795, q_loss:100, rewards:-39.173885, queue:17.844444, delay:0.6636531, throughput:1270
REAL_TEST step:102, travel time:919.4797843665768, q_loss:100, rewards:-162.2875, queue:162.575, delay:0.16384728, throughput:721
REAL_TEST step:105, travel time:176.0847711927982, q_loss:100, rewards:-24.193075, queue:14.622222, delay:0.47880536, throughput:1267
REAL_TEST step:108, travel time:551.2674927113702, q_loss:100, rewards:-116.774216, queue:107.11389, delay:0.56007475, throughput:1155
REAL_TEST step:111, travel time:1049.444572748268, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:565
REAL_TEST step:114, travel time:258.5336322869955, q_loss:100, rewards:-54.407776, queue:45.016666, delay:0.4746964, throughput:1212
REAL_TEST step:117, travel time:1206.4995633187773, q_loss:100, rewards:-88.22026, queue:78.49722, delay:0.41029602, throughput:645
REAL_TEST step:120, travel time:1058.4965437788019, q_loss:100, rewards:-32.007225, queue:11.041667, delay:0.54813606, throughput:559
REAL_TEST step:123, travel time:928.5072202166065, q_loss:100, rewards:-0.41499993, queue:0.49444443, delay:0.06230505, throughput:714
REAL_TEST step:126, travel time:292.06451612903226, q_loss:100, rewards:-20.2475, queue:20.297222, delay:0.095118195, throughput:1172
REAL_TEST step:129, travel time:1058.7052401746726, q_loss:100, rewards:-31.334442, queue:20.244444, delay:0.40041098, throughput:595
REAL_TEST step:132, travel time:292.06451612903226, q_loss:100, rewards:0.0, queue:0.0, delay:0.075319156, throughput:1172
REAL_TEST step:135, travel time:606.8417104276069, q_loss:100, rewards:-29.856655, queue:20.069445, delay:0.3239672, throughput:1010
REAL_TEST step:138, travel time:2700.4071762870517, q_loss:100, rewards:-16.565834, queue:5.5305557, delay:0.24986577, throughput:2
REAL_TEST step:141, travel time:1049.444572748268, q_loss:100, rewards:-17.343334, queue:5.788889, delay:0.3266457, throughput:565
REAL_TEST step:144, travel time:1191.6746242263484, q_loss:100, rewards:-81.533615, queue:81.65278, delay:0.08196945, throughput:739
REAL_TEST step:147, travel time:233.04806991988346, q_loss:100, rewards:-21.585287, queue:8.669444, delay:0.54038054, throughput:1252
REAL_TEST step:150, travel time:289.9723467862481, q_loss:100, rewards:-14.201667, queue:4.7444444, delay:0.32372156, throughput:1177
REAL_TEST step:153, travel time:284.58664666166544, q_loss:100, rewards:-16.801666, queue:16.830555, delay:0.20401016, throughput:1188
REAL_TEST step:156, travel time:154.34958739684922, q_loss:100, rewards:-16.05723, queue:6.375, delay:0.43512735, throughput:1278
REAL_TEST step:159, travel time:301.20845481049565, q_loss:100, rewards:-5.4644437, queue:5.3444443, delay:0.15716721, throughput:1211
REAL_TEST step:162, travel time:1429.0496389891696, q_loss:100, rewards:-54.22137, queue:54.283333, delay:0.08139917, throughput:529
REAL_TEST step:165, travel time:2527.1592920353983, q_loss:100, rewards:-72.84194, queue:72.94444, delay:0.08209629, throughput:45
REAL_TEST step:168, travel time:2514.775330396476, q_loss:100, rewards:-155.17027, queue:155.44722, delay:0.16295877, throughput:48
REAL_TEST step:171, travel time:1953.274336283186, q_loss:100, rewards:-131.21666, queue:131.45555, delay:0.15873867, throughput:156
REAL_TEST step:174, travel time:1195.6471095772217, q_loss:100, rewards:-52.764698, queue:43.48611, delay:0.34104893, throughput:651
REAL_TEST step:177, travel time:292.06451612903226, q_loss:100, rewards:-17.343334, queue:5.788889, delay:0.31098405, throughput:1172
REAL_TEST step:180, travel time:823.0909803921569, q_loss:100, rewards:-39.11721, queue:31.719444, delay:0.2790264, throughput:776
REAL_TEST step:183, travel time:2700.4071762870517, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:2
REAL_TEST step:186, travel time:1049.444572748268, q_loss:100, rewards:0.0, queue:0.0, delay:0.0, throughput:565
REAL_TEST step:189, travel time:280.2554307116105, q_loss:100, rewards:-36.326107, queue:36.36111, delay:0.23163606, throughput:1217
