Loading cached latent encoders from pretrained/lusr/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_lusr_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:2337.281690140845, q_loss:100, rewards:-467.59598, queue:455.12048, delay:1.6776239, throughput:75
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-91.03814, queue:69.19382, delay:1.6806468, throughput:1172
REAL_TEST step:6, travel time:266.89047261815455, q_loss:100, rewards:-81.43426, queue:60.492443, delay:1.6640188, throughput:1185
REAL_TEST step:8, travel time:188.57389347336834, q_loss:100, rewards:-51.014263, queue:30.306225, delay:1.7140615, throughput:1249
REAL_TEST step:10, travel time:272.5356339084771, q_loss:100, rewards:-83.40768, queue:62.236942, delay:1.6379942, throughput:1183
REAL_TEST step:12, travel time:1049.444572748268, q_loss:100, rewards:-255.2024, queue:233.79355, delay:1.7722263, throughput:565
REAL_TEST step:14, travel time:170.81620405101276, q_loss:100, rewards:-45.5745, queue:23.110584, delay:1.7046313, throughput:1268
REAL_TEST step:16, travel time:280.72543135783945, q_loss:100, rewards:-91.00859, queue:70.04633, delay:1.6311034, throughput:1045
REAL_TEST step:18, travel time:2705.690625, q_loss:100, rewards:-495.75, queue:475.551, delay:1.8318766, throughput:1
REAL_TEST step:20, travel time:292.06451612903226, q_loss:100, rewards:-90.68847, queue:68.48775, delay:1.6561147, throughput:1172
REAL_TEST step:22, travel time:292.06451612903226, q_loss:100, rewards:-90.84773, queue:69.588776, delay:1.6871445, throughput:1172
REAL_TEST step:24, travel time:283.0855213803451, q_loss:100, rewards:-87.18272, queue:66.04985, delay:1.7238307, throughput:1176
REAL_TEST step:26, travel time:924.1075949367089, q_loss:100, rewards:-280.75732, queue:259.5929, delay:1.642259, throughput:714
REAL_TEST step:28, travel time:924.1075949367089, q_loss:100, rewards:-280.67136, queue:259.60812, delay:1.6711065, throughput:714
REAL_TEST step:30, travel time:868.395388556789, q_loss:100, rewards:-278.0557, queue:256.79416, delay:1.8155862, throughput:778
REAL_TEST step:32, travel time:292.06451612903226, q_loss:100, rewards:-90.879234, queue:69.186874, delay:1.6675115, throughput:1172
REAL_TEST step:34, travel time:921.6796028880866, q_loss:100, rewards:-279.74414, queue:260.0328, delay:1.693377, throughput:716
REAL_TEST step:36, travel time:2498.796215429403, q_loss:100, rewards:-485.01172, queue:472.25296, delay:1.6658406, throughput:53
REAL_TEST step:38, travel time:292.06451612903226, q_loss:100, rewards:-90.739044, queue:69.184814, delay:1.5664363, throughput:1172
REAL_TEST step:40, travel time:292.06451612903226, q_loss:100, rewards:-90.845955, queue:69.190765, delay:1.6607083, throughput:1172
REAL_TEST step:42, travel time:2453.603151862464, q_loss:100, rewards:-481.92838, queue:470.19672, delay:1.6841162, throughput:61
REAL_TEST step:44, travel time:164.0292573143286, q_loss:100, rewards:-42.448395, queue:21.801104, delay:1.6932096, throughput:1275
REAL_TEST step:46, travel time:283.9279819954989, q_loss:100, rewards:-88.116806, queue:66.06573, delay:1.5957438, throughput:1176
REAL_TEST step:48, travel time:924.1075949367089, q_loss:100, rewards:-280.27686, queue:259.3065, delay:1.7057866, throughput:714
REAL_TEST step:50, travel time:292.06451612903226, q_loss:100, rewards:-90.66786, queue:69.004974, delay:1.5488666, throughput:1172
REAL_TEST step:52, travel time:177.52363090772693, q_loss:100, rewards:-46.808144, queue:25.532604, delay:1.649146, throughput:1265
REAL_TEST step:54, travel time:2527.0737463126843, q_loss:100, rewards:-482.2833, queue:471.10004, delay:1.7101159, throughput:45
REAL_TEST step:56, travel time:162.11927981995498, q_loss:100, rewards:-42.70233, queue:21.25533, delay:1.6625077, throughput:1272
REAL_TEST step:58, travel time:2527.0737463126843, q_loss:100, rewards:-482.197, queue:470.7652, delay:1.615676, throughput:45
REAL_TEST step:60, travel time:250.07453874538746, q_loss:100, rewards:-73.41521, queue:55.663033, delay:1.625587, throughput:1212
REAL_TEST step:62, travel time:2636.68509984639, q_loss:100, rewards:-491.5409, queue:470.51282, delay:1.7415053, throughput:10
REAL_TEST step:64, travel time:318.4744897959184, q_loss:100, rewards:-93.9666, queue:82.08574, delay:1.6165627, throughput:1244
REAL_TEST step:66, travel time:618.4190962099125, q_loss:100, rewards:-213.26135, queue:198.15044, delay:1.6332486, throughput:1204
REAL_TEST step:68, travel time:242.72448979591837, q_loss:100, rewards:-66.38981, queue:52.623295, delay:1.6433536, throughput:1251
REAL_TEST step:70, travel time:2251.914951989026, q_loss:100, rewards:-460.80826, queue:449.11954, delay:1.6487651, throughput:94
REAL_TEST step:72, travel time:208.60240060015005, q_loss:100, rewards:-59.67768, queue:37.493637, delay:1.6465532, throughput:1237
REAL_TEST step:74, travel time:514.9099774943736, q_loss:100, rewards:-177.08138, queue:154.33401, delay:1.652386, throughput:1129
REAL_TEST step:76, travel time:2527.0737463126843, q_loss:100, rewards:-482.33438, queue:470.47803, delay:1.6357133, throughput:45
REAL_TEST step:78, travel time:1711.7723004694835, q_loss:100, rewards:-405.42206, queue:394.35236, delay:1.6962582, throughput:216
REAL_TEST step:80, travel time:408.03675918979746, q_loss:100, rewards:-135.23608, queue:112.904045, delay:1.6951879, throughput:1175
REAL_TEST step:82, travel time:2693.159937888199, q_loss:100, rewards:-497.10434, queue:476.7346, delay:1.7836146, throughput:2
REAL_TEST step:84, travel time:2527.0737463126843, q_loss:100, rewards:-482.75174, queue:470.81454, delay:1.6055528, throughput:45
REAL_TEST step:86, travel time:1450.8084874863982, q_loss:100, rewards:-376.18167, queue:355.11105, delay:1.7548386, throughput:278
REAL_TEST step:88, travel time:2527.0988200589973, q_loss:100, rewards:-481.93573, queue:471.3643, delay:1.6420038, throughput:45
REAL_TEST step:90, travel time:2495.383259911894, q_loss:100, rewards:-482.06464, queue:466.3119, delay:1.6526474, throughput:40
REAL_TEST step:92, travel time:2336.900699300699, q_loss:100, rewards:-469.48795, queue:458.23416, delay:1.6253216, throughput:79
REAL_TEST step:94, travel time:2527.0988200589973, q_loss:100, rewards:-482.62955, queue:470.66132, delay:1.5563626, throughput:45
REAL_TEST step:96, travel time:2363.644793152639, q_loss:100, rewards:-472.19214, queue:453.00092, delay:1.7536545, throughput:60
REAL_TEST step:98, travel time:2192.217273954116, q_loss:100, rewards:-462.5298, queue:442.87106, delay:1.8287748, throughput:100
REAL_TEST step:100, travel time:2281.9302649930264, q_loss:100, rewards:-465.45282, queue:446.41684, delay:1.7504184, throughput:76
REAL_TEST step:102, travel time:1808.5204200700116, q_loss:100, rewards:-431.90823, queue:420.31406, delay:1.6349982, throughput:234
REAL_TEST step:104, travel time:2042.158024691358, q_loss:100, rewards:-462.72696, queue:451.09253, delay:1.5835137, throughput:173
REAL_TEST step:106, travel time:2252.7123287671234, q_loss:100, rewards:-461.64462, queue:449.90482, delay:1.6650262, throughput:95
REAL_TEST step:108, travel time:2430.5129682997117, q_loss:100, rewards:-478.13034, queue:462.21198, delay:1.679125, throughput:53
REAL_TEST step:110, travel time:1511.530549898167, q_loss:100, rewards:-409.70938, queue:397.85733, delay:1.664116, throughput:353
REAL_TEST step:112, travel time:1520.2954545454545, q_loss:100, rewards:-424.62704, queue:413.37552, delay:1.5730897, throughput:384
REAL_TEST step:114, travel time:802.4068071312804, q_loss:100, rewards:-262.1445, queue:248.15482, delay:1.6426375, throughput:775
REAL_TEST step:116, travel time:2559.5741839762613, q_loss:100, rewards:-492.63736, queue:472.6509, delay:1.6727003, throughput:33
REAL_TEST step:118, travel time:1134.1213632585204, q_loss:100, rewards:-372.5953, queue:356.49628, delay:1.6757857, throughput:662
REAL_TEST step:120, travel time:819.12441314554, q_loss:100, rewards:-275.33258, queue:263.2145, delay:1.6240855, throughput:801
REAL_TEST step:122, travel time:1325.7291296625222, q_loss:100, rewards:-414.6091, queue:396.26602, delay:1.701004, throughput:552
REAL_TEST step:124, travel time:966.2694466720128, q_loss:100, rewards:-321.03558, queue:310.17838, delay:1.6135134, throughput:757
REAL_TEST step:126, travel time:374.649416909621, q_loss:100, rewards:-120.76961, queue:103.455154, delay:1.5799142, throughput:1280
REAL_TEST step:128, travel time:725.8096348096348, q_loss:100, rewards:-245.00272, queue:230.39883, delay:1.653803, throughput:853
REAL_TEST step:130, travel time:700.8175572519084, q_loss:100, rewards:-238.84714, queue:224.0255, delay:1.6649092, throughput:922
REAL_TEST step:132, travel time:515.7887740029543, q_loss:100, rewards:-174.29393, queue:159.5717, delay:1.6300561, throughput:976
REAL_TEST step:134, travel time:371.29745454545457, q_loss:100, rewards:-117.112175, queue:105.5685, delay:1.6490647, throughput:1078
REAL_TEST step:136, travel time:1949.5758980301275, q_loss:100, rewards:-476.7912, queue:457.14575, delay:1.8025869, throughput:248
REAL_TEST step:138, travel time:435.73250728862973, q_loss:100, rewards:-144.48972, queue:130.66295, delay:1.672585, throughput:1019
REAL_TEST step:140, travel time:626.0235383447229, q_loss:100, rewards:-213.88602, queue:197.36575, delay:1.6268796, throughput:923
REAL_TEST step:142, travel time:2674.472222222222, q_loss:100, rewards:-495.5734, queue:476.75363, delay:1.747952, throughput:6
REAL_TEST step:144, travel time:2629.4604863221884, q_loss:100, rewards:-493.44406, queue:475.80573, delay:1.7607365, throughput:16
REAL_TEST step:146, travel time:2489.2114537444936, q_loss:100, rewards:-482.91275, queue:463.8563, delay:1.6863018, throughput:40
REAL_TEST step:148, travel time:2652.1868300153137, q_loss:100, rewards:-495.4553, queue:476.3852, delay:1.7082596, throughput:11
REAL_TEST step:150, travel time:1532.7260726072607, q_loss:100, rewards:-391.20422, queue:373.50882, delay:1.73734, throughput:267
REAL_TEST step:152, travel time:1655.512, q_loss:100, rewards:-407.01437, queue:390.23914, delay:1.6779294, throughput:233
REAL_TEST step:154, travel time:497.414652014652, q_loss:100, rewards:-164.76785, queue:157.9806, delay:1.5842487, throughput:876
REAL_TEST step:156, travel time:203.657223796034, q_loss:100, rewards:-51.33392, queue:40.028625, delay:1.6175996, throughput:1303
REAL_TEST step:158, travel time:2628.182370820669, q_loss:100, rewards:-493.21848, queue:475.26746, delay:1.801971, throughput:16
REAL_TEST step:160, travel time:2519.647928994083, q_loss:100, rewards:-485.30365, queue:466.97937, delay:1.706363, throughput:35
REAL_TEST step:162, travel time:2652.2465543644716, q_loss:100, rewards:-494.84738, queue:474.96097, delay:1.6467297, throughput:11
REAL_TEST step:164, travel time:2642.687022900763, q_loss:100, rewards:-494.2825, queue:475.2247, delay:1.7126983, throughput:13
REAL_TEST step:166, travel time:2633.608828006088, q_loss:100, rewards:-493.42822, queue:474.81314, delay:1.7272079, throughput:15
REAL_TEST step:168, travel time:2624.2928679817906, q_loss:100, rewards:-493.35812, queue:475.59305, delay:1.7785966, throughput:17
REAL_TEST step:170, travel time:2251.4958448753464, q_loss:100, rewards:-460.93784, queue:443.82135, delay:1.7369376, throughput:83
REAL_TEST step:172, travel time:2114.2749003984063, q_loss:100, rewards:-451.0655, queue:434.24237, delay:1.6724222, throughput:110
REAL_TEST step:174, travel time:2457.622998544396, q_loss:100, rewards:-480.56857, queue:462.87778, delay:1.7194175, throughput:45
REAL_TEST step:176, travel time:2497.674521354934, q_loss:100, rewards:-483.1508, queue:464.8649, delay:1.752174, throughput:38
REAL_TEST step:178, travel time:2650.3920367534456, q_loss:100, rewards:-494.42487, queue:475.48758, delay:1.7699662, throughput:11
REAL_TEST step:180, travel time:2527.820474777448, q_loss:100, rewards:-485.20648, queue:466.84232, delay:1.7991617, throughput:33
REAL_TEST step:182, travel time:2508.67994100295, q_loss:100, rewards:-483.34695, queue:466.16467, delay:1.7613553, throughput:37
REAL_TEST step:184, travel time:2605.398190045249, q_loss:100, rewards:-491.87405, queue:474.51654, delay:1.6619109, throughput:21
REAL_TEST step:186, travel time:1932.3893805309735, q_loss:100, rewards:-431.5291, queue:414.94583, delay:1.6553133, throughput:151
REAL_TEST step:188, travel time:399.7831594634873, q_loss:100, rewards:-131.68658, queue:111.80256, delay:1.6684796, throughput:1177
REAL_TEST step:190, travel time:2517.6785185185186, q_loss:100, rewards:-484.5144, queue:465.67834, delay:1.6666129, throughput:34
REAL_TEST step:192, travel time:2615.2980332829047, q_loss:100, rewards:-492.52704, queue:475.33936, delay:1.7455229, throughput:19
REAL_TEST step:194, travel time:1742.6710369487485, q_loss:100, rewards:-410.85016, queue:394.60712, delay:1.7067503, throughput:198
REAL_TEST step:196, travel time:2101.854881266491, q_loss:100, rewards:-451.20593, queue:433.95767, delay:1.7123758, throughput:115
REAL_TEST step:198, travel time:1612.7856328392247, q_loss:100, rewards:-396.47244, queue:380.32834, delay:1.6673567, throughput:236
Total time taken: 1580.1450731754303
