Loading cached latent encoders from pretrained/lusr/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_lusr_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:2693.1614906832297, q_loss:100, rewards:-496.49393, queue:475.93332, delay:0.9903502, throughput:2
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:6, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:8, travel time:924.1075949367089, q_loss:100, rewards:-276.65668, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:10, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:12, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:14, travel time:924.1075949367089, q_loss:100, rewards:-276.65668, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:16, travel time:924.1075949367089, q_loss:100, rewards:-276.65668, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:18, travel time:2705.690625, q_loss:100, rewards:-495.6284, queue:475.2139, delay:0.9906201, throughput:1
REAL_TEST step:20, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:22, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:24, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:26, travel time:924.1075949367089, q_loss:100, rewards:-276.65668, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:28, travel time:924.1075949367089, q_loss:100, rewards:-276.65668, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:30, travel time:213.31432858214555, q_loss:100, rewards:-55.850834, queue:34.583332, delay:0.82437056, throughput:1236
REAL_TEST step:32, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:34, travel time:927.981046931408, q_loss:100, rewards:-277.18243, queue:257.11945, delay:0.90191734, throughput:713
REAL_TEST step:36, travel time:2498.796215429403, q_loss:100, rewards:-481.12836, queue:470.375, delay:0.746795, throughput:53
REAL_TEST step:38, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:40, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:42, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:44, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:46, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:48, travel time:924.1075949367089, q_loss:100, rewards:-276.65668, queue:255.77222, delay:0.85513043, throughput:714
REAL_TEST step:50, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:52, travel time:181.655663915979, q_loss:100, rewards:-43.16139, queue:21.866667, delay:0.89919764, throughput:1265
REAL_TEST step:54, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:56, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:58, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:60, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:62, travel time:2693.159937888199, q_loss:100, rewards:-496.49252, queue:475.925, delay:0.9903378, throughput:2
REAL_TEST step:64, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:66, travel time:2693.159937888199, q_loss:100, rewards:-496.49252, queue:475.925, delay:0.9903378, throughput:2
REAL_TEST step:68, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:70, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:72, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:74, travel time:153.21706586826346, q_loss:100, rewards:-31.812782, queue:11.733334, delay:0.75306475, throughput:1280
REAL_TEST step:76, travel time:279.7478134110787, q_loss:100, rewards:-78.41305, queue:62.072224, delay:0.7883148, throughput:1214
REAL_TEST step:78, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:80, travel time:214.73368342085521, q_loss:100, rewards:-56.37943, queue:35.119446, delay:0.824768, throughput:1235
REAL_TEST step:82, travel time:2693.159937888199, q_loss:100, rewards:-496.49252, queue:475.925, delay:0.9903378, throughput:2
REAL_TEST step:84, travel time:299.5612244897959, q_loss:100, rewards:-78.64082, queue:68.861115, delay:0.7060422, throughput:1193
REAL_TEST step:86, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:88, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:90, travel time:160.01425356339084, q_loss:100, rewards:-35.816383, queue:14.5222225, delay:0.81215686, throughput:1276
REAL_TEST step:92, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:94, travel time:273.0255102040816, q_loss:100, rewards:-70.739716, queue:59.469444, delay:0.69322115, throughput:1216
REAL_TEST step:96, travel time:2678.8778979907265, q_loss:100, rewards:-495.32812, queue:475.59167, delay:0.9765462, throughput:5
REAL_TEST step:98, travel time:162.70217554388597, q_loss:100, rewards:-36.830284, queue:15.538889, delay:0.81582326, throughput:1272
REAL_TEST step:100, travel time:2515.745241581259, q_loss:100, rewards:-480.95642, queue:470.80276, delay:0.8918235, throughput:46
REAL_TEST step:102, travel time:556.0811017597551, q_loss:100, rewards:-180.93108, queue:167.82222, delay:0.7945994, throughput:1008
REAL_TEST step:104, travel time:273.4752186588921, q_loss:100, rewards:-70.93028, queue:59.622223, delay:0.73479146, throughput:1216
REAL_TEST step:106, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:108, travel time:2687.122480620155, q_loss:100, rewards:-496.13168, queue:475.58334, delay:0.990083, throughput:3
REAL_TEST step:110, travel time:273.3097667638484, q_loss:100, rewards:-70.90166, queue:59.56389, delay:0.7278188, throughput:1217
REAL_TEST step:112, travel time:2527.0737463126843, q_loss:100, rewards:-478.48245, queue:469.49167, delay:0.7572778, throughput:45
REAL_TEST step:114, travel time:159.64741185296324, q_loss:100, rewards:-35.672783, queue:14.377778, delay:0.81118935, throughput:1274
REAL_TEST step:116, travel time:154.81770442610653, q_loss:100, rewards:-33.4325, queue:12.375, delay:0.7849339, throughput:1276
REAL_TEST step:118, travel time:2695.5031152647975, q_loss:100, rewards:-494.62006, queue:474.87778, delay:0.9765846, throughput:3
REAL_TEST step:120, travel time:276.6413994169096, q_loss:100, rewards:-74.96695, queue:60.877777, delay:0.7823153, throughput:1214
REAL_TEST step:122, travel time:2678.8778979907265, q_loss:100, rewards:-495.32812, queue:475.59167, delay:0.9765462, throughput:5
REAL_TEST step:124, travel time:274.83673469387753, q_loss:100, rewards:-72.159164, queue:60.080555, delay:0.7480109, throughput:1217
REAL_TEST step:126, travel time:914.6329555361814, q_loss:100, rewards:-273.21277, queue:262.94724, delay:0.77994835, throughput:733
REAL_TEST step:128, travel time:260.8007490636704, q_loss:100, rewards:-73.765816, queue:52.658333, delay:0.8172706, throughput:1190
REAL_TEST step:130, travel time:2002.3, q_loss:100, rewards:-436.87106, queue:418.15555, delay:0.95495486, throughput:129
REAL_TEST step:132, travel time:295.885393258427, q_loss:100, rewards:-86.03585, queue:65.41944, delay:0.86285275, throughput:1174
REAL_TEST step:134, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:136, travel time:2678.8160741885627, q_loss:100, rewards:-495.3203, queue:475.55, delay:0.97655773, throughput:5
REAL_TEST step:138, travel time:155.0502915451895, q_loss:100, rewards:-28.519718, queue:13.719444, delay:0.7974528, throughput:1308
REAL_TEST step:140, travel time:2678.8485316846986, q_loss:100, rewards:-495.327, queue:475.57224, delay:0.97654027, throughput:5
REAL_TEST step:142, travel time:2693.159937888199, q_loss:100, rewards:-496.49252, queue:475.925, delay:0.9903378, throughput:2
REAL_TEST step:144, travel time:2498.796215429403, q_loss:100, rewards:-481.12836, queue:470.375, delay:0.746795, throughput:53
REAL_TEST step:146, travel time:823.2104055087988, q_loss:100, rewards:-287.53363, queue:270.26666, delay:0.970209, throughput:842
REAL_TEST step:148, travel time:2484.96387283237, q_loss:100, rewards:-481.94202, queue:471.14444, delay:0.75144583, throughput:55
REAL_TEST step:150, travel time:281.58146270818247, q_loss:100, rewards:-81.39749, queue:63.461113, delay:0.8059835, throughput:1221
