Loading cached latent encoders from pretrained/lusr/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_lusr_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:1052.3406214039126, q_loss:100, rewards:-110.44628, queue:88.90728, delay:1.4203622, throughput:565
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-36.209427, queue:14.3490505, delay:1.2641335, throughput:1172
REAL_TEST step:6, travel time:292.06451612903226, q_loss:100, rewards:-74.527374, queue:63.794655, delay:1.0987544, throughput:1172
REAL_TEST step:8, travel time:672.7590266875981, q_loss:100, rewards:-229.92467, queue:209.76794, delay:1.7333752, throughput:882
REAL_TEST step:10, travel time:279.536384096024, q_loss:100, rewards:-68.59712, queue:59.235943, delay:1.2019979, throughput:1180
REAL_TEST step:12, travel time:1049.444572748268, q_loss:100, rewards:-255.2024, queue:233.79355, delay:1.7722263, throughput:565
REAL_TEST step:14, travel time:904.8533094812165, q_loss:100, rewards:-99.15515, queue:88.87994, delay:0.9920762, throughput:726
REAL_TEST step:16, travel time:864.5184534270651, q_loss:100, rewards:-112.25179, queue:91.08925, delay:1.2427323, throughput:745
REAL_TEST step:18, travel time:2705.690625, q_loss:100, rewards:-340.5179, queue:319.7842, delay:1.5303649, throughput:1
REAL_TEST step:20, travel time:292.06451612903226, q_loss:100, rewards:-90.68847, queue:68.48775, delay:1.6561147, throughput:1172
REAL_TEST step:22, travel time:292.06451612903226, q_loss:100, rewards:-90.84773, queue:69.588776, delay:1.6871445, throughput:1172
REAL_TEST step:24, travel time:292.06451612903226, q_loss:100, rewards:-58.190968, queue:58.653755, delay:0.8130811, throughput:1172
REAL_TEST step:26, travel time:924.1075949367089, q_loss:100, rewards:-263.1902, queue:253.97517, delay:1.240076, throughput:714
REAL_TEST step:28, travel time:924.1075949367089, q_loss:100, rewards:-185.02594, queue:173.36475, delay:1.1389273, throughput:714
REAL_TEST step:30, travel time:218.18454613653412, q_loss:100, rewards:-40.372215, queue:19.00904, delay:1.359869, throughput:1230
REAL_TEST step:32, travel time:292.06451612903226, q_loss:100, rewards:-90.879234, queue:69.186874, delay:1.6675115, throughput:1172
REAL_TEST step:34, travel time:1035.307761732852, q_loss:100, rewards:-297.15094, queue:289.079, delay:1.3186502, throughput:617
REAL_TEST step:36, travel time:2498.796215429403, q_loss:100, rewards:-404.21112, queue:391.23352, delay:1.5256126, throughput:53
REAL_TEST step:38, travel time:292.06451612903226, q_loss:100, rewards:-88.347916, queue:66.79481, delay:1.3387268, throughput:1172
