Loading cached latent encoders from pretrained/recon_baseline/dqn/bullhead_1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_recon_baseline_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:1, travel time:2448.292086330935, q_loss:100, rewards:-474.7528, queue:465.75, delay:0.75568986, throughput:59
REAL_TEST step:2, travel time:2651.9340490797545, q_loss:100, rewards:-493.77753, queue:474.2972, delay:0.9820036, throughput:10
REAL_TEST step:3, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-85.50361, queue:64.280556, delay:0.8136628, throughput:1172
REAL_TEST step:5, travel time:292.08177044261066, q_loss:100, rewards:-85.509995, queue:64.28333, delay:0.81350267, throughput:1172
REAL_TEST step:6, travel time:154.04951237809453, q_loss:100, rewards:-32.79778, queue:11.980556, delay:0.7661449, throughput:1278
REAL_TEST step:7, travel time:1049.444572748268, q_loss:100, rewards:-251.21, queue:230.20277, delay:0.8377348, throughput:565
REAL_TEST step:8, travel time:160.00225056264065, q_loss:100, rewards:-35.30194, queue:14.219444, delay:0.80470777, throughput:1277
REAL_TEST step:9, travel time:209.55172413793105, q_loss:100, rewards:-53.81473, queue:32.875, delay:0.8182939, throughput:1235
REAL_TEST step:10, travel time:154.23030757689423, q_loss:100, rewards:-32.854725, queue:12.0222225, delay:0.7673272, throughput:1278
REAL_TEST step:11, travel time:217.58139534883722, q_loss:100, rewards:-57.10612, queue:35.802776, delay:0.8324579, throughput:1230
REAL_TEST step:12, travel time:291.90337078651686, q_loss:100, rewards:-84.65415, queue:63.761112, delay:0.9581317, throughput:1200
REAL_TEST step:13, travel time:512.2299625468165, q_loss:100, rewards:-172.2464, queue:151.60834, delay:0.97004354, throughput:1022
REAL_TEST step:14, travel time:277.0441947565543, q_loss:100, rewards:-78.78137, queue:57.819443, delay:0.9535492, throughput:1207
REAL_TEST step:15, travel time:257.1865168539326, q_loss:100, rewards:-71.1125, queue:50.2, delay:0.94737303, throughput:1217
REAL_TEST step:16, travel time:250.0618631732169, q_loss:100, rewards:-59.3475, queue:49.75, delay:0.7213207, throughput:1261
REAL_TEST step:17, travel time:261.6865889212828, q_loss:100, rewards:-64.97417, queue:54.041668, delay:0.8208569, throughput:1254
REAL_TEST step:18, travel time:250.81971830985916, q_loss:100, rewards:-60.874443, queue:52.66111, delay:0.71682596, throughput:1303
REAL_TEST step:19, travel time:439.18320057929037, q_loss:100, rewards:-139.73392, queue:128.27777, delay:0.7215157, throughput:1097
REAL_TEST step:20, travel time:231.1443661971831, q_loss:100, rewards:-48.876396, queue:44.91111, delay:0.69334227, throughput:1301
REAL_TEST step:21, travel time:127.68098591549295, q_loss:100, rewards:-4.3027773, queue:3.838889, delay:0.47472012, throughput:1371
REAL_TEST step:22, travel time:230.06154960173788, q_loss:100, rewards:-54.541115, queue:42.658333, delay:0.7227432, throughput:1299
REAL_TEST step:23, travel time:138.47676056338028, q_loss:100, rewards:-8.51, queue:7.827778, delay:0.4823305, throughput:1369
REAL_TEST step:24, travel time:218.36784938450398, q_loss:100, rewards:-50.003338, queue:38.3, delay:0.7139712, throughput:1301
REAL_TEST step:25, travel time:273.8233164373642, q_loss:100, rewards:-72.411095, queue:60.630554, delay:0.73138124, throughput:1267
REAL_TEST step:26, travel time:289.12654545454546, q_loss:100, rewards:-74.86859, queue:65.475, delay:0.71816957, throughput:1238
REAL_TEST step:27, travel time:136.8823943661972, q_loss:100, rewards:-8.130002, queue:7.102778, delay:0.5274284, throughput:1373
REAL_TEST step:28, travel time:220.65140845070422, q_loss:100, rewards:-48.5464, queue:40.705555, delay:0.7216209, throughput:1344
REAL_TEST step:29, travel time:1071.9181034482758, q_loss:100, rewards:-264.80457, queue:253.53334, delay:0.74050665, throughput:602
REAL_TEST step:30, travel time:2463.96387283237, q_loss:100, rewards:-475.795, queue:466.79443, delay:0.75702834, throughput:57
REAL_TEST step:31, travel time:165.7887323943662, q_loss:100, rewards:-18.877235, queue:18.438889, delay:0.51107836, throughput:1357
REAL_TEST step:32, travel time:151.31267605633803, q_loss:100, rewards:-12.839436, queue:12.708333, delay:0.47285524, throughput:1367
REAL_TEST step:33, travel time:144.09788732394367, q_loss:100, rewards:-9.7463875, queue:9.702778, delay:0.4435883, throughput:1371
REAL_TEST step:34, travel time:132.89084507042253, q_loss:100, rewards:-5.2763877, queue:5.6055555, delay:0.41313723, throughput:1374
REAL_TEST step:35, travel time:139.62464788732393, q_loss:100, rewards:-7.88, queue:8.016666, delay:0.41995594, throughput:1368
REAL_TEST step:36, travel time:138.93521126760564, q_loss:100, rewards:-7.5397196, queue:7.7083335, delay:0.4151726, throughput:1372
REAL_TEST step:37, travel time:132.8387323943662, q_loss:100, rewards:-5.1236095, queue:5.5, delay:0.39657652, throughput:1371
REAL_TEST step:38, travel time:137.12605633802818, q_loss:100, rewards:-6.864169, queue:7.1055555, delay:0.4065966, throughput:1366
REAL_TEST step:39, travel time:131.9556338028169, q_loss:100, rewards:-4.8241677, queue:5.2444444, delay:0.38990238, throughput:1373
