Loading cached latent encoders from pretrained/recon_baseline/dqn/bullhead_1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_recon_baseline_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=combine4
REAL_TEST step:1, travel time:868.8939264328486, q_loss:100, rewards:-269.6237, queue:254.8767, delay:2.059373, throughput:782
REAL_TEST step:2, travel time:900.179419525066, q_loss:100, rewards:-119.35819, queue:97.23772, delay:1.9086534, throughput:744
REAL_TEST step:3, travel time:292.06451612903226, q_loss:100, rewards:-77.8393, queue:67.00701, delay:1.6256891, throughput:1172
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-95.77603, queue:74.40516, delay:2.5187128, throughput:1172
REAL_TEST step:5, travel time:242.33608402100526, q_loss:100, rewards:-60.28882, queue:50.394913, delay:1.7743573, throughput:1212
REAL_TEST step:6, travel time:155.58964741185295, q_loss:100, rewards:-45.01891, queue:22.511284, delay:2.3825, throughput:1276
REAL_TEST step:7, travel time:183.95273818454615, q_loss:100, rewards:-24.005404, queue:12.403915, delay:1.2793884, throughput:1239
REAL_TEST step:8, travel time:320.01425356339087, q_loss:100, rewards:-58.205093, queue:35.934753, delay:1.6267619, throughput:1159
REAL_TEST step:9, travel time:209.62996254681647, q_loss:100, rewards:-60.232677, queue:38.022316, delay:2.1571841, throughput:1239
REAL_TEST step:10, travel time:155.93173293323332, q_loss:100, rewards:-47.294754, queue:23.403887, delay:2.4209244, throughput:1277
REAL_TEST step:11, travel time:211.45958083832335, q_loss:100, rewards:-66.46632, queue:43.999912, delay:2.4944034, throughput:1229
REAL_TEST step:12, travel time:209.62771535580524, q_loss:100, rewards:-31.113089, queue:31.877247, delay:1.244636, throughput:1236
REAL_TEST step:13, travel time:302.3895131086142, q_loss:100, rewards:-74.533875, queue:64.68259, delay:1.6521478, throughput:1182
REAL_TEST step:14, travel time:212.26966292134833, q_loss:100, rewards:-29.477232, queue:16.891539, delay:1.6887239, throughput:1236
REAL_TEST step:15, travel time:312.51988430947216, q_loss:100, rewards:-50.0671, queue:33.902668, delay:1.9564486, throughput:1218
REAL_TEST step:16, travel time:381.47304964539006, q_loss:100, rewards:-63.924873, queue:49.686203, delay:1.9682914, throughput:1183
REAL_TEST step:17, travel time:267.0451895043732, q_loss:100, rewards:-73.2086, queue:64.61443, delay:1.8607153, throughput:1212
REAL_TEST step:18, travel time:255.95211267605634, q_loss:100, rewards:-50.301434, queue:40.895466, delay:2.2013736, throughput:1329
REAL_TEST step:19, travel time:2075.2884371029227, q_loss:100, rewards:-317.01987, queue:301.16296, delay:1.8265567, throughput:148
REAL_TEST step:20, travel time:203.31183557760454, q_loss:100, rewards:-17.806406, queue:13.833467, delay:1.3509992, throughput:1304
REAL_TEST step:21, travel time:142.00774647887323, q_loss:100, rewards:-30.047281, queue:21.296091, delay:2.3591201, throughput:1366
REAL_TEST step:22, travel time:452.36619718309856, q_loss:100, rewards:-118.66632, queue:106.95089, delay:2.2360497, throughput:1087
REAL_TEST step:23, travel time:890.7384744341995, q_loss:100, rewards:-115.69174, queue:107.078026, delay:1.7896173, throughput:811
REAL_TEST step:24, travel time:732.6157760814249, q_loss:100, rewards:-160.84662, queue:145.02403, delay:2.0001876, throughput:868
REAL_TEST step:25, travel time:533.4031531531532, q_loss:100, rewards:-122.134926, queue:116.83242, delay:1.4009154, throughput:1043
REAL_TEST step:26, travel time:1860.1779755283649, q_loss:100, rewards:-244.90718, queue:236.78934, delay:1.6094335, throughput:289
REAL_TEST step:27, travel time:1785.1009070294785, q_loss:100, rewards:-289.87216, queue:285.40277, delay:1.4964089, throughput:256
REAL_TEST step:28, travel time:1544.488262910798, q_loss:100, rewards:-208.35417, queue:200.41824, delay:1.6818441, throughput:438
REAL_TEST step:29, travel time:794.0133000831255, q_loss:100, rewards:-185.53336, queue:177.0026, delay:2.0654967, throughput:852
REAL_TEST step:30, travel time:2211.190909090909, q_loss:100, rewards:-393.20844, queue:391.15872, delay:1.5819026, throughput:131
REAL_TEST step:31, travel time:893.6986027944112, q_loss:100, rewards:-232.99649, queue:228.84358, delay:1.711186, throughput:699
REAL_TEST step:32, travel time:604.8482704402516, q_loss:100, rewards:-190.55228, queue:187.62817, delay:1.7670698, throughput:965
REAL_TEST step:33, travel time:1213.8385826771653, q_loss:100, rewards:-226.8395, queue:219.56154, delay:1.8268572, throughput:586
REAL_TEST step:34, travel time:756.2464788732394, q_loss:100, rewards:-190.09883, queue:181.78067, delay:1.9524002, throughput:948
REAL_TEST step:35, travel time:262.35754583921016, q_loss:100, rewards:-65.773056, queue:61.46906, delay:1.7955499, throughput:1298
REAL_TEST step:36, travel time:767.7522522522522, q_loss:100, rewards:-224.0564, queue:214.06111, delay:2.2505124, throughput:821
REAL_TEST step:37, travel time:658.3504482477588, q_loss:100, rewards:-91.948906, queue:82.30802, delay:1.8211918, throughput:905
REAL_TEST step:38, travel time:348.8732394366197, q_loss:100, rewards:-73.154755, queue:68.43201, delay:1.5201184, throughput:1317
REAL_TEST step:39, travel time:386.90774647887326, q_loss:100, rewards:-109.6332, queue:102.12831, delay:2.18585, throughput:1183
REAL_TEST step:40, travel time:842.576954069299, q_loss:100, rewards:-187.3712, queue:178.40388, delay:1.9293449, throughput:857
REAL_TEST step:41, travel time:953.817046289493, q_loss:100, rewards:-235.90277, queue:228.51186, delay:1.9153552, throughput:782
REAL_TEST step:42, travel time:848.6563285834031, q_loss:100, rewards:-100.2582, queue:92.09682, delay:1.5940198, throughput:809
REAL_TEST step:43, travel time:440.1774647887324, q_loss:100, rewards:-123.973885, queue:119.34654, delay:1.5850432, throughput:1135
REAL_TEST step:44, travel time:1402.660465116279, q_loss:100, rewards:-217.97229, queue:211.07541, delay:1.7026794, throughput:457
REAL_TEST step:45, travel time:876.7543726235741, q_loss:100, rewards:-206.518, queue:198.50035, delay:1.817525, throughput:851
REAL_TEST step:46, travel time:820.6454545454545, q_loss:100, rewards:-94.0959, queue:90.4241, delay:1.2487254, throughput:824
REAL_TEST step:47, travel time:711.9707426856714, q_loss:100, rewards:-232.71294, queue:228.42656, delay:1.5004165, throughput:949
REAL_TEST step:48, travel time:653.6214814814815, q_loss:100, rewards:-76.226944, queue:76.18069, delay:0.81417924, throughput:985
REAL_TEST step:49, travel time:850.0459518599563, q_loss:100, rewards:-308.9464, queue:301.32748, delay:2.4281147, throughput:762
REAL_TEST step:50, travel time:715.9039589442815, q_loss:100, rewards:-173.62346, queue:164.72978, delay:1.8918152, throughput:851
REAL_TEST step:51, travel time:1522.295907660021, q_loss:100, rewards:-248.22516, queue:245.01886, delay:1.3422654, throughput:358
REAL_TEST step:52, travel time:310.4042253521127, q_loss:100, rewards:-88.45962, queue:84.86757, delay:1.6622286, throughput:1262
REAL_TEST step:53, travel time:962.3768472906404, q_loss:100, rewards:-149.32709, queue:141.539, delay:1.8840798, throughput:753
REAL_TEST step:54, travel time:229.9049295774648, q_loss:100, rewards:-51.498768, queue:47.491035, delay:1.7382138, throughput:1341
REAL_TEST step:55, travel time:1276.4786026200873, q_loss:100, rewards:-324.9023, queue:317.27078, delay:2.1306925, throughput:519
REAL_TEST step:56, travel time:715.4682249817384, q_loss:100, rewards:-236.76198, queue:229.27838, delay:1.9909611, throughput:902
REAL_TEST step:57, travel time:845.4038319823139, q_loss:100, rewards:-259.0286, queue:251.99892, delay:2.0778625, throughput:779
REAL_TEST step:58, travel time:1240.7789915966387, q_loss:100, rewards:-189.59723, queue:181.52174, delay:1.594851, throughput:560
REAL_TEST step:59, travel time:2340.323691460055, q_loss:100, rewards:-168.78221, queue:161.75029, delay:1.3894483, throughput:98
REAL_TEST step:60, travel time:1156.522746781116, q_loss:100, rewards:-240.84456, queue:232.76088, delay:1.8579462, throughput:559
REAL_TEST step:61, travel time:692.3225352112676, q_loss:100, rewards:-253.44176, queue:246.10397, delay:2.2620895, throughput:919
