Loading cached latent encoders from pretrained/vae_embedding/dqn/bullhead_1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_1/baseline_v1_vae_s0/model/bullhead_1_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:2, travel time:2705.690625, q_loss:100, rewards:-496.08746, queue:475.54584, delay:1.7861962, throughput:1
REAL_TEST step:4, travel time:292.06451612903226, q_loss:100, rewards:-91.03814, queue:69.19382, delay:1.6806468, throughput:1172
REAL_TEST step:6, travel time:213.31882970742686, q_loss:100, rewards:-61.30722, queue:40.561752, delay:1.6757921, throughput:1226
REAL_TEST step:8, travel time:208.84021005251313, q_loss:100, rewards:-59.666286, queue:39.180637, delay:1.708489, throughput:1234
REAL_TEST step:10, travel time:156.16879219804952, q_loss:100, rewards:-41.085567, queue:19.888145, delay:1.6318572, throughput:1271
REAL_TEST step:12, travel time:300.61478873239435, q_loss:100, rewards:-83.44776, queue:76.98623, delay:1.6389759, throughput:1288
REAL_TEST step:14, travel time:228.87536443148687, q_loss:100, rewards:-58.452675, queue:45.23362, delay:1.6460468, throughput:1289
REAL_TEST step:16, travel time:383.1931486880466, q_loss:100, rewards:-120.43465, queue:108.13344, delay:1.5849062, throughput:1095
REAL_TEST step:18, travel time:163.14928732183046, q_loss:100, rewards:-42.71752, queue:21.671375, delay:1.7283312, throughput:1276
REAL_TEST step:20, travel time:456.27769347496206, q_loss:100, rewards:-151.81198, queue:130.35439, delay:1.7171477, throughput:979
REAL_TEST step:22, travel time:150.5508412582297, q_loss:100, rewards:-39.257385, queue:18.833847, delay:1.6609149, throughput:1310
REAL_TEST step:24, travel time:139.39868804664724, q_loss:100, rewards:-27.133371, queue:14.852556, delay:1.6101991, throughput:1321
REAL_TEST step:26, travel time:136.1105633802817, q_loss:100, rewards:-18.909407, queue:14.057996, delay:1.4530516, throughput:1373
REAL_TEST step:28, travel time:136.26267605633802, q_loss:100, rewards:-19.152887, queue:13.7058935, delay:1.4706068, throughput:1362
REAL_TEST step:30, travel time:147.13270485859317, q_loss:100, rewards:-29.053225, queue:16.774794, delay:1.6846205, throughput:1329
REAL_TEST step:32, travel time:2009.5840938722295, q_loss:100, rewards:-438.2643, queue:418.3752, delay:1.7465405, throughput:128
REAL_TEST step:34, travel time:2583.4108761329303, q_loss:100, rewards:-488.62292, queue:469.86774, delay:1.7646058, throughput:21
REAL_TEST step:36, travel time:1649.06868451688, q_loss:100, rewards:-399.8227, queue:382.06586, delay:1.769269, throughput:218
REAL_TEST step:38, travel time:159.47433116413595, q_loss:100, rewards:-31.592863, queue:20.202923, delay:1.4897827, throughput:1326
