Loading cached latent encoders from pretrained/atc/dqn/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_atc_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:1203.537214137214, q_loss:100, rewards:-1031.9545, queue:248.55524, delay:4.2988095, throughput:1237
REAL_TEST step:4, travel time:263.41627735431524, q_loss:100, rewards:-303.20325, queue:71.89817, delay:4.5149164, throughput:3678
REAL_TEST step:6, travel time:302.8803355539107, q_loss:100, rewards:-376.7028, queue:88.90778, delay:4.379995, throughput:3531
REAL_TEST step:8, travel time:207.68764845605702, q_loss:100, rewards:-217.69977, queue:53.469604, delay:4.3095765, throughput:3935
REAL_TEST step:10, travel time:286.4463448275862, q_loss:100, rewards:-280.43863, queue:66.96011, delay:4.2676096, throughput:3337
REAL_TEST step:12, travel time:649.639604553625, q_loss:100, rewards:-601.8222, queue:143.68701, delay:4.266178, throughput:2180
REAL_TEST step:14, travel time:1130.0443181818182, q_loss:100, rewards:-824.5421, queue:195.23048, delay:4.278459, throughput:1465
REAL_TEST step:16, travel time:549.6948674562888, q_loss:100, rewards:-486.8664, queue:117.64761, delay:4.320678, throughput:2432
REAL_TEST step:18, travel time:620.6489424206816, q_loss:100, rewards:-553.8263, queue:134.8241, delay:4.374205, throughput:2261
REAL_TEST step:20, travel time:646.3402030144571, q_loss:100, rewards:-694.7284, queue:163.0642, delay:4.2625675, throughput:2197
REAL_TEST step:22, travel time:393.28958225889636, q_loss:100, rewards:-376.04318, queue:92.95674, delay:4.2240944, throughput:2855
REAL_TEST step:24, travel time:533.0919572553431, q_loss:100, rewards:-539.62537, queue:130.28256, delay:4.2563415, throughput:2444
REAL_TEST step:26, travel time:169.5208913649025, q_loss:100, rewards:-179.56868, queue:45.263897, delay:4.25065, throughput:4094
REAL_TEST step:28, travel time:173.60958111548254, q_loss:100, rewards:-178.41374, queue:43.749702, delay:4.3331194, throughput:4109
REAL_TEST step:30, travel time:185.97475490196078, q_loss:100, rewards:-200.83186, queue:49.21654, delay:4.333023, throughput:3887
REAL_TEST step:32, travel time:165.48955916473318, q_loss:100, rewards:-171.53758, queue:42.37015, delay:4.2509127, throughput:4126
REAL_TEST step:34, travel time:162.5913506012951, q_loss:100, rewards:-166.41829, queue:41.723686, delay:4.2939253, throughput:4143
REAL_TEST step:36, travel time:193.0086569957885, q_loss:100, rewards:-189.58125, queue:47.961903, delay:4.222341, throughput:4022
REAL_TEST step:38, travel time:201.5939038686987, q_loss:100, rewards:-189.06703, queue:47.99085, delay:4.1209598, throughput:3963
REAL_TEST step:40, travel time:200.85115843669553, q_loss:100, rewards:-195.83942, queue:49.037895, delay:4.2398005, throughput:4004
REAL_TEST step:42, travel time:356.6528883183569, q_loss:100, rewards:-300.38992, queue:76.79766, delay:4.2967157, throughput:3264
REAL_TEST step:44, travel time:531.2570806100218, q_loss:100, rewards:-530.6612, queue:129.47618, delay:4.3190546, throughput:2562
REAL_TEST step:46, travel time:493.244957537155, q_loss:100, rewards:-576.3622, queue:136.85562, delay:4.3229346, throughput:2838
REAL_TEST step:48, travel time:615.9938917975567, q_loss:100, rewards:-656.23413, queue:157.12102, delay:4.2674456, throughput:2181
REAL_TEST step:50, travel time:707.1243570347957, q_loss:100, rewards:-742.0049, queue:176.67867, delay:4.2626014, throughput:2115
REAL_TEST step:52, travel time:663.9586146169651, q_loss:100, rewards:-671.5349, queue:162.01602, delay:4.2752924, throughput:2266
REAL_TEST step:54, travel time:485.1614583333333, q_loss:100, rewards:-590.2026, queue:138.98436, delay:4.329577, throughput:2833
REAL_TEST step:56, travel time:404.9051353402479, q_loss:100, rewards:-520.6902, queue:121.15727, delay:4.260425, throughput:3154
REAL_TEST step:58, travel time:356.8022211720227, q_loss:100, rewards:-531.19336, queue:123.922455, delay:4.240446, throughput:3644
REAL_TEST step:60, travel time:346.5162573099415, q_loss:100, rewards:-506.21472, queue:118.39902, delay:4.2479835, throughput:3639
REAL_TEST step:62, travel time:306.1135785334259, q_loss:100, rewards:-439.6986, queue:102.95285, delay:4.203476, throughput:3737
REAL_TEST step:64, travel time:321.618439386902, q_loss:100, rewards:-459.0695, queue:107.39325, delay:4.295041, throughput:3699
REAL_TEST step:66, travel time:296.57551963048496, q_loss:100, rewards:-427.949, queue:98.54839, delay:4.327896, throughput:3724
REAL_TEST step:68, travel time:403.0565843621399, q_loss:100, rewards:-509.7451, queue:118.842735, delay:4.285807, throughput:3054
