Loading cached latent encoders from pretrained/darla/dqn/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_darla_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=dz100
REAL_TEST step:2, travel time:993.0637408568443, q_loss:100, rewards:-818.8477, queue:220.62315, delay:0.7686805, throughput:1637
REAL_TEST step:4, travel time:448.1391099322134, q_loss:100, rewards:-460.7979, queue:102.453705, delay:0.7631892, throughput:2662
REAL_TEST step:6, travel time:265.8193038755863, q_loss:100, rewards:-221.60643, queue:51.099075, delay:0.7902096, throughput:3665
REAL_TEST step:8, travel time:800.274855907781, q_loss:100, rewards:-434.42938, queue:107.9463, delay:0.81632394, throughput:1936
REAL_TEST step:10, travel time:1608.591368227732, q_loss:100, rewards:-746.1044, queue:203.69908, delay:0.828682, throughput:784
REAL_TEST step:12, travel time:278.5601079489696, q_loss:100, rewards:-196.56758, queue:46.56389, delay:0.73910224, throughput:3701
REAL_TEST step:14, travel time:1624.7736228387616, q_loss:100, rewards:-928.641, queue:230.90463, delay:0.7201664, throughput:977
REAL_TEST step:16, travel time:683.7981803143093, q_loss:100, rewards:-445.05295, queue:122.796295, delay:0.7055419, throughput:2541
REAL_TEST step:18, travel time:2186.413844621514, q_loss:100, rewards:-1200.1699, queue:307.91666, delay:0.710866, throughput:253
REAL_TEST step:20, travel time:1231.4880658436214, q_loss:100, rewards:-969.4182, queue:232.56204, delay:0.711422, throughput:1180
REAL_TEST step:22, travel time:1962.0110277900308, q_loss:100, rewards:-1178.3158, queue:307.85092, delay:0.7276079, throughput:508
REAL_TEST step:24, travel time:1526.6127987039288, q_loss:100, rewards:-975.7163, queue:246.05649, delay:0.7230203, throughput:1211
REAL_TEST step:26, travel time:1973.4190301921317, q_loss:100, rewards:-1207.692, queue:315.93427, delay:0.7186296, throughput:782
REAL_TEST step:28, travel time:2328.031909418425, q_loss:100, rewards:-1349.0117, queue:356.59814, delay:0.7374405, throughput:193
REAL_TEST step:30, travel time:2323.5585817060637, q_loss:100, rewards:-1348.4335, queue:356.40833, delay:0.7379824, throughput:195
REAL_TEST step:32, travel time:2417.230646871686, q_loss:100, rewards:-1382.0085, queue:364.19537, delay:0.78370994, throughput:125
REAL_TEST step:34, travel time:2328.4001029866117, q_loss:100, rewards:-1347.9836, queue:356.22406, delay:0.74764365, throughput:192
