replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_domain_randomization_s0/model/bullhead_3_noise5_dqn_domain_randomization -> eval real_setting=noise20
REAL_TEST step:3, travel time:243.1626163391934, q_loss:100, rewards:-394.9558, queue:100.9159, delay:8.235317, throughput:3548
REAL_TEST step:6, travel time:251.52271553949407, q_loss:100, rewards:-406.2652, queue:95.661316, delay:8.59838, throughput:3575
REAL_TEST step:9, travel time:219.1235632183908, q_loss:100, rewards:-369.63315, queue:94.39099, delay:8.320331, throughput:3895
REAL_TEST step:12, travel time:209.72946407676105, q_loss:100, rewards:-359.13705, queue:88.34009, delay:8.328559, throughput:4010
REAL_TEST step:15, travel time:226.63471031436737, q_loss:100, rewards:-381.07083, queue:93.07961, delay:8.1829815, throughput:3570
REAL_TEST step:18, travel time:628.1300026860059, q_loss:100, rewards:-645.25366, queue:164.2774, delay:8.1399765, throughput:2651
REAL_TEST step:21, travel time:578.4877014419, q_loss:100, rewards:-573.0094, queue:143.93011, delay:8.159382, throughput:2578
REAL_TEST step:24, travel time:530.3856946354883, q_loss:100, rewards:-560.25116, queue:143.8487, delay:8.260702, throughput:2582
REAL_TEST step:27, travel time:263.6297355253753, q_loss:100, rewards:-364.7276, queue:94.75275, delay:8.353451, throughput:3551
REAL_TEST step:30, travel time:818.9161118508655, q_loss:100, rewards:-723.5517, queue:183.15958, delay:8.259411, throughput:1749
REAL_TEST step:33, travel time:363.3438434357162, q_loss:100, rewards:-404.9114, queue:108.49019, delay:8.135071, throughput:3282
REAL_TEST step:36, travel time:237.0972790753672, q_loss:100, rewards:-331.25287, queue:83.265976, delay:8.198097, throughput:3848
REAL_TEST step:39, travel time:404.9259560618389, q_loss:100, rewards:-462.4854, queue:124.03249, delay:8.285189, throughput:3100
REAL_TEST step:42, travel time:318.8118786642875, q_loss:100, rewards:-389.2354, queue:95.96076, delay:8.479715, throughput:3563
REAL_TEST step:45, travel time:902.4182655410591, q_loss:100, rewards:-650.8754, queue:163.63602, delay:8.490115, throughput:1794
REAL_TEST step:48, travel time:903.5970319634703, q_loss:100, rewards:-699.995, queue:177.10017, delay:8.346157, throughput:1820
REAL_TEST step:51, travel time:249.65610415131417, q_loss:100, rewards:-342.9679, queue:87.23241, delay:8.343373, throughput:3833
REAL_TEST step:54, travel time:365.6224568632501, q_loss:100, rewards:-405.80255, queue:103.749825, delay:8.15165, throughput:3454
REAL_TEST step:57, travel time:405.35803571428573, q_loss:100, rewards:-463.44028, queue:118.111275, delay:8.026753, throughput:2856
REAL_TEST step:60, travel time:231.84187483904196, q_loss:100, rewards:-349.43243, queue:89.20333, delay:8.18839, throughput:3495
REAL_TEST step:63, travel time:330.7601164483261, q_loss:100, rewards:-386.42422, queue:97.37946, delay:8.3251705, throughput:3111
REAL_TEST step:66, travel time:551.590940054496, q_loss:100, rewards:-497.2541, queue:129.1061, delay:8.448647, throughput:2357
REAL_TEST step:69, travel time:322.2755866200699, q_loss:100, rewards:-406.59558, queue:108.74349, delay:8.340137, throughput:3531
REAL_TEST step:72, travel time:231.5721405432345, q_loss:100, rewards:-346.8074, queue:89.04639, delay:8.197131, throughput:3767
REAL_TEST step:75, travel time:197.79684418145956, q_loss:100, rewards:-341.7578, queue:85.115166, delay:8.138779, throughput:3747
REAL_TEST step:78, travel time:229.76672260848719, q_loss:100, rewards:-371.34045, queue:95.13542, delay:8.233459, throughput:3727
REAL_TEST step:81, travel time:260.3275525158769, q_loss:100, rewards:-394.47067, queue:98.11312, delay:8.322106, throughput:3525
REAL_TEST step:84, travel time:287.4875596883639, q_loss:100, rewards:-353.8644, queue:89.281006, delay:8.248458, throughput:3674
REAL_TEST step:87, travel time:215.8453931500241, q_loss:100, rewards:-317.98294, queue:82.463615, delay:8.227809, throughput:3851
REAL_TEST step:90, travel time:371.59236353858563, q_loss:100, rewards:-406.85632, queue:106.056725, delay:8.226982, throughput:3117
REAL_TEST step:93, travel time:230.86657032755298, q_loss:100, rewards:-339.1549, queue:85.91012, delay:8.145918, throughput:3887
REAL_TEST step:96, travel time:424.4129520605551, q_loss:100, rewards:-450.86502, queue:116.82857, delay:8.347777, throughput:2979
REAL_TEST step:99, travel time:243.14338416133793, q_loss:100, rewards:-348.3428, queue:87.23245, delay:8.380995, throughput:3720
REAL_TEST step:102, travel time:212.97489648033127, q_loss:100, rewards:-344.35184, queue:84.37196, delay:8.286576, throughput:3636
REAL_TEST step:105, travel time:454.1216302952503, q_loss:100, rewards:-432.1465, queue:112.48416, delay:8.493122, throughput:2640
REAL_TEST step:108, travel time:290.0978086584714, q_loss:100, rewards:-357.0933, queue:91.29118, delay:8.160098, throughput:3496
REAL_TEST step:111, travel time:486.6200616419165, q_loss:100, rewards:-476.76416, queue:125.09259, delay:8.686272, throughput:3153
REAL_TEST step:114, travel time:393.2319786413527, q_loss:100, rewards:-414.7773, queue:106.542854, delay:8.044978, throughput:2997
REAL_TEST step:117, travel time:559.5146794487717, q_loss:100, rewards:-494.4525, queue:128.72783, delay:8.213709, throughput:2881
REAL_TEST step:120, travel time:735.5845234141482, q_loss:100, rewards:-561.8707, queue:144.33269, delay:8.281174, throughput:2362
REAL_TEST step:123, travel time:452.13252032520325, q_loss:100, rewards:-445.8196, queue:111.206726, delay:8.419555, throughput:3337
REAL_TEST step:126, travel time:490.4956417192666, q_loss:100, rewards:-446.604, queue:117.50479, delay:8.338825, throughput:2909
REAL_TEST step:129, travel time:511.936210640608, q_loss:100, rewards:-472.33624, queue:122.119705, delay:8.722278, throughput:3039
REAL_TEST step:132, travel time:598.8990853658537, q_loss:100, rewards:-520.8986, queue:131.96678, delay:8.271275, throughput:2826
REAL_TEST step:135, travel time:443.4543057996485, q_loss:100, rewards:-437.3245, queue:110.42422, delay:8.402991, throughput:2939
REAL_TEST step:138, travel time:638.8221791141286, q_loss:100, rewards:-580.7198, queue:145.86296, delay:8.328792, throughput:2489
REAL_TEST step:141, travel time:1114.5464259395726, q_loss:100, rewards:-939.16406, queue:231.53839, delay:8.338084, throughput:1426
REAL_TEST step:144, travel time:551.8918918918919, q_loss:100, rewards:-499.8128, queue:131.92897, delay:8.43202, throughput:2779
REAL_TEST step:147, travel time:1078.90065681445, q_loss:100, rewards:-665.0713, queue:171.587, delay:8.186339, throughput:1556
REAL_TEST step:150, travel time:494.0908346972177, q_loss:100, rewards:-502.03577, queue:130.2154, delay:8.41647, throughput:2760
REAL_TEST step:153, travel time:1139.9183845183004, q_loss:100, rewards:-712.4218, queue:184.88345, delay:8.390718, throughput:1360
REAL_TEST step:156, travel time:774.4713804713805, q_loss:100, rewards:-570.4693, queue:149.0325, delay:8.428572, throughput:2364
REAL_TEST step:159, travel time:1022.3588498879761, q_loss:100, rewards:-711.71045, queue:180.30782, delay:8.084474, throughput:1553
REAL_TEST step:162, travel time:999.0952732644017, q_loss:100, rewards:-775.4134, queue:188.60674, delay:8.266207, throughput:1688
REAL_TEST step:165, travel time:699.2601082457816, q_loss:100, rewards:-556.86304, queue:139.29646, delay:8.338922, throughput:2471
REAL_TEST step:168, travel time:805.114759647935, q_loss:100, rewards:-638.28296, queue:157.49826, delay:8.339689, throughput:2202
REAL_TEST step:171, travel time:789.7086894586895, q_loss:100, rewards:-584.8388, queue:145.18785, delay:8.31652, throughput:2075
REAL_TEST step:174, travel time:301.639649216051, q_loss:100, rewards:-382.96228, queue:95.35918, delay:8.276969, throughput:3286
