replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_domain_randomization_s0/model/bullhead_3_noise5_dqn_domain_randomization -> eval real_setting=combine1
REAL_TEST step:3, travel time:228.74544605324616, q_loss:100, rewards:-136.92577, queue:36.13332, delay:1.2971724, throughput:3931
REAL_TEST step:6, travel time:330.5208545269583, q_loss:100, rewards:-262.89993, queue:65.357086, delay:1.7074807, throughput:3506
REAL_TEST step:9, travel time:266.556084782091, q_loss:100, rewards:-212.43004, queue:54.10061, delay:1.6528777, throughput:3789
REAL_TEST step:12, travel time:227.11842421330772, q_loss:100, rewards:-156.1607, queue:37.248463, delay:1.5587258, throughput:3837
REAL_TEST step:15, travel time:201.87326592993182, q_loss:100, rewards:-132.75583, queue:28.320433, delay:1.4636766, throughput:3981
REAL_TEST step:18, travel time:185.64044423877834, q_loss:100, rewards:-86.37379, queue:22.078806, delay:1.3947653, throughput:4075
REAL_TEST step:21, travel time:170.8342221191746, q_loss:100, rewards:-87.85459, queue:22.790401, delay:1.5498239, throughput:4095
REAL_TEST step:24, travel time:187.2719850711453, q_loss:100, rewards:-102.01444, queue:27.063505, delay:1.498363, throughput:4051
REAL_TEST step:27, travel time:252.0537607891492, q_loss:100, rewards:-138.28424, queue:38.84277, delay:1.6096578, throughput:3703
REAL_TEST step:30, travel time:416.2295214922952, q_loss:100, rewards:-242.02374, queue:63.83961, delay:1.5837636, throughput:2768
REAL_TEST step:33, travel time:493.56112224448896, q_loss:100, rewards:-317.88403, queue:83.07533, delay:1.593779, throughput:2677
REAL_TEST step:36, travel time:766.3717039977317, q_loss:100, rewards:-416.34808, queue:117.86121, delay:1.593889, throughput:2201
REAL_TEST step:39, travel time:243.53531774155445, q_loss:100, rewards:-153.90834, queue:40.769375, delay:1.4920793, throughput:3930
REAL_TEST step:42, travel time:344.7024504084014, q_loss:100, rewards:-202.18019, queue:53.456806, delay:1.5334203, throughput:3706
