Loading cached latent encoders from pretrained/lusr/dqn/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_lusr_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:2247.455223880597, q_loss:100, rewards:-1153.1948, queue:305.74722, delay:0.6642524, throughput:117
REAL_TEST step:4, travel time:1183.2474020783372, q_loss:100, rewards:-638.9463, queue:164.7037, delay:0.8480288, throughput:1408
REAL_TEST step:6, travel time:1069.4370590419605, q_loss:100, rewards:-633.5237, queue:166.11203, delay:0.77800214, throughput:1748
REAL_TEST step:8, travel time:242.66044226044227, q_loss:100, rewards:-168.6755, queue:37.875927, delay:0.72990566, throughput:3752
REAL_TEST step:10, travel time:264.57216748768474, q_loss:100, rewards:-158.60002, queue:34.819443, delay:0.71706516, throughput:3741
REAL_TEST step:12, travel time:237.22566371681415, q_loss:100, rewards:-148.89027, queue:33.684258, delay:0.6952474, throughput:3771
REAL_TEST step:14, travel time:223.27659051830017, q_loss:100, rewards:-156.70149, queue:34.517593, delay:0.7660771, throughput:3797
REAL_TEST step:16, travel time:241.56240749876665, q_loss:100, rewards:-163.54868, queue:37.24352, delay:0.7485956, throughput:3753
REAL_TEST step:18, travel time:260.22244143033294, q_loss:100, rewards:-215.06029, queue:49.03611, delay:0.78569067, throughput:3684
REAL_TEST step:20, travel time:249.44246473645137, q_loss:100, rewards:-175.60257, queue:40.274075, delay:0.79317176, throughput:3739
REAL_TEST step:22, travel time:250.71556579621097, q_loss:100, rewards:-177.52203, queue:40.89537, delay:0.762956, throughput:3519
REAL_TEST step:24, travel time:235.72446916076845, q_loss:100, rewards:-153.6939, queue:34.91759, delay:0.73807484, throughput:3641
REAL_TEST step:26, travel time:222.2463768115942, q_loss:100, rewards:-141.47768, queue:32.21574, delay:0.7226786, throughput:3837
REAL_TEST step:28, travel time:195.32063939821344, q_loss:100, rewards:-110.64504, queue:22.591667, delay:0.5877436, throughput:4001
REAL_TEST step:30, travel time:239.07219387755103, q_loss:100, rewards:-157.6189, queue:35.122223, delay:0.7285425, throughput:3559
REAL_TEST step:32, travel time:272.4779677341681, q_loss:100, rewards:-162.08461, queue:42.57037, delay:0.749242, throughput:3781
REAL_TEST step:34, travel time:335.1657908565423, q_loss:100, rewards:-205.74814, queue:50.36759, delay:0.81866735, throughput:3297
REAL_TEST step:36, travel time:182.58723105706267, q_loss:100, rewards:-90.36151, queue:17.487963, delay:0.6257182, throughput:4074
REAL_TEST step:38, travel time:181.52554575011612, q_loss:100, rewards:-76.07476, queue:16.837963, delay:0.5882691, throughput:4057
REAL_TEST step:40, travel time:179.42883591761165, q_loss:100, rewards:-86.69506, queue:18.65, delay:0.59530205, throughput:4090
REAL_TEST step:42, travel time:173.002093997208, q_loss:100, rewards:-86.959724, queue:15.74537, delay:0.5872623, throughput:4087
REAL_TEST step:44, travel time:203.99784379492093, q_loss:100, rewards:-123.275795, queue:26.325, delay:0.72583866, throughput:3891
REAL_TEST step:46, travel time:185.45803133037177, q_loss:100, rewards:-97.164825, queue:19.150927, delay:0.59850043, throughput:4030
REAL_TEST step:48, travel time:183.40064920009274, q_loss:100, rewards:-86.664444, queue:20.905556, delay:0.6679043, throughput:4058
REAL_TEST step:50, travel time:175.5106532428003, q_loss:100, rewards:-77.07417, queue:14.243519, delay:0.6066887, throughput:4061
REAL_TEST step:52, travel time:168.66287966612566, q_loss:100, rewards:-56.95027, queue:13.376852, delay:0.57407874, throughput:4116
REAL_TEST step:54, travel time:433.9990333494442, q_loss:100, rewards:-257.74857, queue:68.08611, delay:0.68770105, throughput:3534
REAL_TEST step:56, travel time:170.75, q_loss:100, rewards:-52.569023, queue:12.401852, delay:0.6398066, throughput:4093
REAL_TEST step:58, travel time:1278.1858006042296, q_loss:100, rewards:-730.54755, queue:183.37222, delay:0.70464766, throughput:1214
REAL_TEST step:60, travel time:162.94703977798335, q_loss:100, rewards:-64.667854, queue:12.55, delay:0.64983314, throughput:4119
REAL_TEST step:62, travel time:199.72570897257089, q_loss:100, rewards:-98.37146, queue:23.48611, delay:0.61067456, throughput:4054
REAL_TEST step:64, travel time:239.34335955576123, q_loss:100, rewards:-109.565704, queue:27.9, delay:0.61216027, throughput:3928
REAL_TEST step:66, travel time:162.7574912891986, q_loss:100, rewards:-66.906746, queue:12.586111, delay:0.60430855, throughput:4105
REAL_TEST step:68, travel time:189.26484862491333, q_loss:100, rewards:-77.087, queue:18.294445, delay:0.6205128, throughput:4116
REAL_TEST step:70, travel time:834.7074060561839, q_loss:100, rewards:-359.81723, queue:87.276855, delay:0.616304, throughput:1969
REAL_TEST step:72, travel time:827.7863796980405, q_loss:100, rewards:-455.47925, queue:127.35833, delay:0.69741994, throughput:2002
REAL_TEST step:74, travel time:896.3139323390324, q_loss:100, rewards:-401.55847, queue:108.001854, delay:0.67195076, throughput:1962
REAL_TEST step:76, travel time:746.8357969151671, q_loss:100, rewards:-355.64914, queue:102.77963, delay:0.60888463, throughput:2247
REAL_TEST step:78, travel time:903.7624954396206, q_loss:100, rewards:-464.3724, queue:123.11018, delay:0.6243304, throughput:1925
REAL_TEST step:80, travel time:186.6514560880532, q_loss:100, rewards:-92.17773, queue:21.067593, delay:0.6073284, throughput:4093
REAL_TEST step:82, travel time:887.4345930232558, q_loss:100, rewards:-441.2909, queue:117.421295, delay:0.6401824, throughput:1959
REAL_TEST step:84, travel time:891.4860152560842, q_loss:100, rewards:-446.90088, queue:118.327774, delay:0.68204314, throughput:1956
REAL_TEST step:86, travel time:885.2371096586783, q_loss:100, rewards:-378.86285, queue:101.85093, delay:0.583199, throughput:1966
REAL_TEST step:88, travel time:940.0643510054845, q_loss:100, rewards:-483.72412, queue:127.501854, delay:0.72957003, throughput:1860
REAL_TEST step:90, travel time:931.5310218978102, q_loss:100, rewards:-487.7283, queue:129.44537, delay:0.7514245, throughput:1841
REAL_TEST step:92, travel time:891.9654294032023, q_loss:100, rewards:-441.6499, queue:116.111115, delay:0.66012555, throughput:1956
REAL_TEST step:94, travel time:892.4828966521106, q_loss:100, rewards:-430.25125, queue:114.4713, delay:0.61022985, throughput:1952
REAL_TEST step:96, travel time:897.9970887918486, q_loss:100, rewards:-451.82053, queue:119.590744, delay:0.6585459, throughput:1957
REAL_TEST step:98, travel time:958.9889601139602, q_loss:100, rewards:-497.89844, queue:138.47314, delay:0.67918146, throughput:1723
REAL_TEST step:100, travel time:1788.474609375, q_loss:100, rewards:-676.28064, queue:174.69073, delay:0.7132696, throughput:707
REAL_TEST step:102, travel time:903.3105590062112, q_loss:100, rewards:-447.69724, queue:118.3037, delay:0.6444241, throughput:1926
REAL_TEST step:104, travel time:964.186558942343, q_loss:100, rewards:-505.45016, queue:133.8361, delay:0.7636186, throughput:1855
REAL_TEST step:106, travel time:890.973425555151, q_loss:100, rewards:-453.90848, queue:119.96389, delay:0.6993015, throughput:1956
REAL_TEST step:108, travel time:1341.6885026737968, q_loss:100, rewards:-604.74274, queue:162.49907, delay:0.7157332, throughput:1242
REAL_TEST step:110, travel time:888.0090546903295, q_loss:100, rewards:-446.35672, queue:117.452774, delay:0.70330167, throughput:1965
REAL_TEST step:112, travel time:174.10615312353218, q_loss:100, rewards:-66.06018, queue:13.297222, delay:0.61843246, throughput:4060
REAL_TEST step:114, travel time:891.5649635036497, q_loss:100, rewards:-444.78497, queue:117.916664, delay:0.6279839, throughput:1950
REAL_TEST step:116, travel time:546.8192389006342, q_loss:100, rewards:-401.1275, queue:106.37963, delay:0.6676126, throughput:2425
REAL_TEST step:118, travel time:1035.6739209285456, q_loss:100, rewards:-570.8875, queue:158.19073, delay:0.69071054, throughput:1602
REAL_TEST step:120, travel time:460.71522633744854, q_loss:100, rewards:-247.61241, queue:63.264816, delay:0.6036578, throughput:2863
REAL_TEST step:122, travel time:885.4758269720102, q_loss:100, rewards:-453.65448, queue:119.401855, delay:0.6668587, throughput:1959
REAL_TEST step:124, travel time:900.1851986875683, q_loss:100, rewards:-451.60672, queue:119.03889, delay:0.6509631, throughput:1930
REAL_TEST step:126, travel time:1155.429948109711, q_loss:100, rewards:-636.6279, queue:174.10278, delay:0.7087896, throughput:1444
REAL_TEST step:128, travel time:889.0768672951414, q_loss:100, rewards:-448.39392, queue:117.94722, delay:0.64365923, throughput:1953
REAL_TEST step:130, travel time:891.1547705753824, q_loss:100, rewards:-450.97235, queue:118.775925, delay:0.6785049, throughput:1953
REAL_TEST step:132, travel time:1046.5967741935483, q_loss:100, rewards:-469.85626, queue:128.87685, delay:0.64517605, throughput:1591
REAL_TEST step:134, travel time:1005.8256279577721, q_loss:100, rewards:-454.94025, queue:126.861115, delay:0.662993, throughput:1648
REAL_TEST step:136, travel time:608.4163711583924, q_loss:100, rewards:-337.68198, queue:88.33796, delay:0.5710174, throughput:2376
REAL_TEST step:138, travel time:1027.3397599126956, q_loss:100, rewards:-555.4792, queue:153.61203, delay:0.6975678, throughput:1628
REAL_TEST step:140, travel time:1883.082573211714, q_loss:100, rewards:-899.7052, queue:247.8537, delay:0.8423075, throughput:375
REAL_TEST step:142, travel time:1071.7371115173676, q_loss:100, rewards:-543.41614, queue:148.09814, delay:0.63756996, throughput:1562
REAL_TEST step:144, travel time:1637.2447257383967, q_loss:100, rewards:-779.774, queue:214.29907, delay:0.8592267, throughput:767
REAL_TEST step:146, travel time:1037.3709795321638, q_loss:100, rewards:-564.76025, queue:155.54074, delay:0.719563, throughput:1611
REAL_TEST step:148, travel time:1012.3220647037441, q_loss:100, rewards:-525.7039, queue:144.49722, delay:0.6350543, throughput:1642
REAL_TEST step:150, travel time:1041.3417030567687, q_loss:100, rewards:-577.7971, queue:159.89908, delay:0.68242306, throughput:1604
