Loading cached latent encoders from pretrained/recon_baseline/dqn/bullhead_3
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_recon_baseline_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:1, travel time:221.20408163265307, q_loss:100, rewards:-234.46614, queue:56.840504, delay:4.241678, throughput:3914
REAL_TEST step:2, travel time:760.8967095851216, q_loss:100, rewards:-811.6931, queue:214.7292, delay:4.533641, throughput:2272
REAL_TEST step:3, travel time:695.5801739130435, q_loss:100, rewards:-660.2888, queue:160.95634, delay:4.4028354, throughput:2072
REAL_TEST step:4, travel time:248.74507358443503, q_loss:100, rewards:-281.84717, queue:66.303474, delay:4.3937426, throughput:3658
REAL_TEST step:5, travel time:250.36516160868493, q_loss:100, rewards:-269.89893, queue:65.34745, delay:4.3428655, throughput:3718
REAL_TEST step:6, travel time:228.2509813542689, q_loss:100, rewards:-251.89662, queue:60.643833, delay:4.3231897, throughput:3784
REAL_TEST step:7, travel time:234.60504407443682, q_loss:100, rewards:-261.425, queue:61.206142, delay:4.3330107, throughput:3768
REAL_TEST step:8, travel time:233.1003956478734, q_loss:100, rewards:-258.99695, queue:60.697735, delay:4.396226, throughput:3732
REAL_TEST step:9, travel time:219.64419566804574, q_loss:100, rewards:-246.60382, queue:58.95088, delay:4.4259, throughput:3826
REAL_TEST step:10, travel time:229.1832191780822, q_loss:100, rewards:-257.6589, queue:61.136703, delay:4.360091, throughput:3786
REAL_TEST step:11, travel time:245.88758968907786, q_loss:100, rewards:-267.2729, queue:64.27325, delay:4.302837, throughput:3475
REAL_TEST step:12, travel time:253.6038199181446, q_loss:100, rewards:-273.05112, queue:65.144, delay:4.338313, throughput:3368
REAL_TEST step:13, travel time:263.77888730385166, q_loss:100, rewards:-273.2927, queue:65.94859, delay:4.3469195, throughput:3206
REAL_TEST step:14, travel time:257.77646129541864, q_loss:100, rewards:-271.64102, queue:64.740486, delay:4.4411464, throughput:3494
REAL_TEST step:15, travel time:261.7875314509365, q_loss:100, rewards:-276.17383, queue:66.24579, delay:4.4341245, throughput:3259
REAL_TEST step:16, travel time:445.05470935654336, q_loss:100, rewards:-424.49756, queue:98.36814, delay:4.2973247, throughput:2931
