Loading cached latent encoders from pretrained/recon_baseline/dqn/bullhead_3
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_recon_baseline_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=sensor70
REAL_TEST step:1, travel time:265.8193038755863, q_loss:100, rewards:-57.077084, queue:13.614815, delay:0.24825911, throughput:3665
REAL_TEST step:2, travel time:787.3296987087518, q_loss:100, rewards:-243.925, queue:68.405556, delay:0.3456822, throughput:2240
REAL_TEST step:3, travel time:686.3768693918245, q_loss:100, rewards:-88.40083, queue:26.728704, delay:0.16853203, throughput:2173
REAL_TEST step:4, travel time:265.8193038755863, q_loss:100, rewards:-172.91432, queue:38.33241, delay:0.52760136, throughput:3665
REAL_TEST step:5, travel time:265.8193038755863, q_loss:100, rewards:-52.677494, queue:13.782408, delay:0.21341701, throughput:3665
REAL_TEST step:6, travel time:246.7693445046821, q_loss:100, rewards:-58.350327, queue:14.394444, delay:0.2769247, throughput:3730
REAL_TEST step:7, travel time:264.93334979017527, q_loss:100, rewards:-114.49694, queue:24.903704, delay:0.4450765, throughput:3666
REAL_TEST step:8, travel time:324.93904542840716, q_loss:100, rewards:-26.020836, queue:6.852778, delay:0.1339288, throughput:3087
REAL_TEST step:9, travel time:268.4446082043724, q_loss:100, rewards:-75.48023, queue:20.357407, delay:0.23187782, throughput:3684
REAL_TEST step:10, travel time:690.1219258746103, q_loss:100, rewards:-221.00153, queue:50.13241, delay:0.28647646, throughput:2082
REAL_TEST step:11, travel time:348.35795454545456, q_loss:100, rewards:-95.073494, queue:25.040741, delay:0.3785348, throughput:3410
REAL_TEST step:12, travel time:846.1273757919306, q_loss:100, rewards:-134.66057, queue:30.300926, delay:0.37407842, throughput:1876
REAL_TEST step:13, travel time:316.24680272108844, q_loss:100, rewards:-46.11042, queue:11.378704, delay:0.14163892, throughput:3273
REAL_TEST step:14, travel time:302.3104114885391, q_loss:100, rewards:-69.33416, queue:11.949074, delay:0.24630113, throughput:3239
REAL_TEST step:15, travel time:256.48404127669784, q_loss:100, rewards:-59.790268, queue:14.4777775, delay:0.3102601, throughput:3785
REAL_TEST step:16, travel time:339.31395646606916, q_loss:100, rewards:-105.589, queue:22.287964, delay:0.37581104, throughput:3459
REAL_TEST step:17, travel time:860.706235411804, q_loss:100, rewards:-99.53791, queue:29.993519, delay:0.15949668, throughput:1867
REAL_TEST step:18, travel time:240.80323963792281, q_loss:100, rewards:-28.907492, queue:8.175926, delay:0.14807832, throughput:3846
REAL_TEST step:19, travel time:398.76292982946603, q_loss:100, rewards:-107.894424, queue:22.267593, delay:0.29115906, throughput:3158
REAL_TEST step:20, travel time:692.7388204795852, q_loss:100, rewards:-68.75004, queue:19.37037, delay:0.19424844, throughput:2240
REAL_TEST step:21, travel time:225.43980463980463, q_loss:100, rewards:-35.070415, queue:8.587037, delay:0.15322766, throughput:3798
REAL_TEST step:22, travel time:498.482645531566, q_loss:100, rewards:-76.889305, queue:23.82037, delay:0.14219192, throughput:3009
REAL_TEST step:23, travel time:870.1380597014926, q_loss:100, rewards:-60.510147, queue:11.8527775, delay:0.19258463, throughput:1819
REAL_TEST step:24, travel time:839.2315580549123, q_loss:100, rewards:-160.86974, queue:45.70185, delay:0.24936093, throughput:1898
REAL_TEST step:25, travel time:883.2877406281661, q_loss:100, rewards:-66.65445, queue:12.899074, delay:0.25484136, throughput:1811
REAL_TEST step:26, travel time:1113.1389353866755, q_loss:100, rewards:-265.17117, queue:73.68148, delay:0.27711278, throughput:1518
REAL_TEST step:27, travel time:403.1980037766388, q_loss:100, rewards:-112.02267, queue:27.921297, delay:0.31572422, throughput:3227
REAL_TEST step:28, travel time:272.48742582650465, q_loss:100, rewards:-46.38254, queue:7.1148148, delay:0.33006555, throughput:3219
REAL_TEST step:29, travel time:1783.3444444444444, q_loss:100, rewards:-308.2339, queue:81.02407, delay:0.23413773, throughput:488
