Loading cached latent encoders from pretrained/vae_embedding/dqn/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_vae_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=dz10
REAL_TEST step:2, travel time:1870.8494188984334, q_loss:100, rewards:-1011.5668, queue:254.52592, delay:0.9095113, throughput:613
REAL_TEST step:4, travel time:1321.0752634219768, q_loss:100, rewards:-741.75397, queue:193.77408, delay:0.86307687, throughput:1047
REAL_TEST step:6, travel time:550.8876883707705, q_loss:100, rewards:-534.00616, queue:129.07315, delay:0.80610794, throughput:2733
REAL_TEST step:8, travel time:565.9736245036869, q_loss:100, rewards:-555.16504, queue:134.62871, delay:0.8388941, throughput:2704
REAL_TEST step:10, travel time:1202.3364669016844, q_loss:100, rewards:-994.7184, queue:248.14444, delay:0.7720734, throughput:1317
REAL_TEST step:12, travel time:1278.5991259435837, q_loss:100, rewards:-1105.0924, queue:275.3389, delay:0.7486292, throughput:1298
REAL_TEST step:14, travel time:1365.3269992082344, q_loss:100, rewards:-939.47595, queue:235.19351, delay:0.77005666, throughput:1286
REAL_TEST step:16, travel time:1666.5325779036827, q_loss:100, rewards:-1344.5651, queue:355.72964, delay:0.7984105, throughput:788
REAL_TEST step:18, travel time:2253.888715548622, q_loss:100, rewards:-1426.7045, queue:382.27777, delay:0.75635195, throughput:161
REAL_TEST step:20, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:22, travel time:2335.162292447777, q_loss:100, rewards:-1451.7037, queue:388.06204, delay:0.7861999, throughput:108
REAL_TEST step:24, travel time:2230.7302325581395, q_loss:100, rewards:-1419.0426, queue:380.55554, delay:0.75826114, throughput:186
REAL_TEST step:26, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:28, travel time:2335.162292447777, q_loss:100, rewards:-1451.7037, queue:388.06204, delay:0.7861999, throughput:108
REAL_TEST step:30, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:32, travel time:2337.6418230563004, q_loss:100, rewards:-1452.8622, queue:388.33612, delay:0.78652096, throughput:106
REAL_TEST step:34, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:36, travel time:2337.6418230563004, q_loss:100, rewards:-1452.8622, queue:388.33612, delay:0.78652096, throughput:106
REAL_TEST step:38, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:40, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:42, travel time:2240.64955935718, q_loss:100, rewards:-1421.578, queue:381.1139, delay:0.7458974, throughput:179
REAL_TEST step:44, travel time:2333.450749464668, q_loss:100, rewards:-1451.2903, queue:387.97592, delay:0.78549653, throughput:109
REAL_TEST step:46, travel time:2240.64955935718, q_loss:100, rewards:-1421.578, queue:381.1139, delay:0.7458974, throughput:179
REAL_TEST step:48, travel time:2332.2437199358633, q_loss:100, rewards:-1453.2551, queue:388.41574, delay:0.78376204, throughput:110
REAL_TEST step:50, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:52, travel time:2336.417023554604, q_loss:100, rewards:-1454.7865, queue:388.76575, delay:0.784557, throughput:107
REAL_TEST step:54, travel time:2240.64955935718, q_loss:100, rewards:-1421.578, queue:381.1139, delay:0.7458974, throughput:179
REAL_TEST step:56, travel time:2240.64955935718, q_loss:100, rewards:-1421.578, queue:381.1139, delay:0.7458974, throughput:179
REAL_TEST step:58, travel time:2258.722540343571, q_loss:100, rewards:-1427.5614, queue:382.45184, delay:0.7586297, throughput:157
REAL_TEST step:60, travel time:2310.661897191309, q_loss:100, rewards:-1444.504, queue:386.36945, delay:0.7783512, throughput:126
REAL_TEST step:62, travel time:2237.6540652511653, q_loss:100, rewards:-1421.0256, queue:380.99353, delay:0.7437293, throughput:181
REAL_TEST step:64, travel time:2240.64955935718, q_loss:100, rewards:-1421.578, queue:381.1139, delay:0.7458974, throughput:179
REAL_TEST step:66, travel time:2240.64955935718, q_loss:100, rewards:-1421.578, queue:381.1139, delay:0.7458974, throughput:179
REAL_TEST step:68, travel time:2240.6417833074133, q_loss:100, rewards:-1421.57, queue:381.1111, delay:0.74582666, throughput:179
REAL_TEST step:70, travel time:2337.7142091152814, q_loss:100, rewards:-1452.826, queue:388.32407, delay:0.7869039, throughput:106
REAL_TEST step:72, travel time:2253.4940135346174, q_loss:100, rewards:-1424.5001, queue:381.7713, delay:0.75357735, throughput:161
REAL_TEST step:74, travel time:2333.3572576325655, q_loss:100, rewards:-1450.2205, queue:387.73056, delay:0.7859913, throughput:109
REAL_TEST step:76, travel time:2337.7142091152814, q_loss:100, rewards:-1452.826, queue:388.32407, delay:0.7869039, throughput:106
REAL_TEST step:78, travel time:2224.7430340557275, q_loss:100, rewards:-1416.9677, queue:380.10184, delay:0.7421339, throughput:189
REAL_TEST step:80, travel time:2236.3825051759836, q_loss:100, rewards:-1420.8302, queue:380.94537, delay:0.7498585, throughput:181
REAL_TEST step:82, travel time:2236.8209109730847, q_loss:100, rewards:-1421.0555, queue:381.02777, delay:0.75571054, throughput:181
REAL_TEST step:84, travel time:2236.8209109730847, q_loss:100, rewards:-1421.0555, queue:381.02777, delay:0.75571054, throughput:181
REAL_TEST step:86, travel time:2234.798449612403, q_loss:100, rewards:-1420.7932, queue:380.94168, delay:0.75216657, throughput:183
REAL_TEST step:88, travel time:2233.5661157024792, q_loss:100, rewards:-1421.5413, queue:381.1926, delay:0.7522806, throughput:184
REAL_TEST step:90, travel time:2231.2781217750257, q_loss:100, rewards:-1418.7655, queue:380.5213, delay:0.75243926, throughput:187
REAL_TEST step:92, travel time:2217.300975860298, q_loss:100, rewards:-1406.9702, queue:377.71295, delay:0.74397594, throughput:196
REAL_TEST step:94, travel time:2216.952772073922, q_loss:100, rewards:-1408.9744, queue:378.23056, delay:0.73902273, throughput:196
REAL_TEST step:96, travel time:2215.889117043121, q_loss:100, rewards:-1407.4674, queue:377.88333, delay:0.7388163, throughput:197
REAL_TEST step:98, travel time:2231.9917822290704, q_loss:100, rewards:-1388.6473, queue:373.06482, delay:0.7314009, throughput:194
REAL_TEST step:100, travel time:2203.6173469387754, q_loss:100, rewards:-1402.0435, queue:376.60556, delay:0.7262745, throughput:208
REAL_TEST step:102, travel time:2209.807554874936, q_loss:100, rewards:-1406.2211, queue:377.5426, delay:0.73047036, throughput:194
REAL_TEST step:104, travel time:2199.4, q_loss:100, rewards:-1403.6278, queue:376.94724, delay:0.7148485, throughput:208
REAL_TEST step:106, travel time:2031.4386934673366, q_loss:100, rewards:-1277.9325, queue:337.37222, delay:0.73453164, throughput:318
REAL_TEST step:108, travel time:2203.1226366888095, q_loss:100, rewards:-1403.83, queue:377.00464, delay:0.72073674, throughput:206
REAL_TEST step:110, travel time:2206.9954058192957, q_loss:100, rewards:-1407.335, queue:377.7648, delay:0.7116071, throughput:193
REAL_TEST step:112, travel time:2202.829841594277, q_loss:100, rewards:-1403.6982, queue:376.9639, delay:0.71655107, throughput:206
REAL_TEST step:114, travel time:2202.6220633299286, q_loss:100, rewards:-1403.6321, queue:376.9324, delay:0.69804823, throughput:203
REAL_TEST step:116, travel time:2203.9366053169733, q_loss:100, rewards:-1403.0476, queue:376.7963, delay:0.7055277, throughput:206
REAL_TEST step:118, travel time:2205.4902962206334, q_loss:100, rewards:-1405.921, queue:377.43704, delay:0.7031811, throughput:195
REAL_TEST step:120, travel time:2203.8890593047036, q_loss:100, rewards:-1402.9154, queue:376.77316, delay:0.70249265, throughput:206
REAL_TEST step:122, travel time:2215.8990261404406, q_loss:100, rewards:-1408.0139, queue:377.92316, delay:0.7129572, throughput:189
REAL_TEST step:124, travel time:2205.9887640449438, q_loss:100, rewards:-1406.3, queue:377.53888, delay:0.71211624, throughput:195
REAL_TEST step:126, travel time:2205.9075587334014, q_loss:100, rewards:-1406.2544, queue:377.51852, delay:0.7112037, throughput:195
REAL_TEST step:128, travel time:2205.2542113323125, q_loss:100, rewards:-1407.2644, queue:377.85648, delay:0.7190284, throughput:196
REAL_TEST step:130, travel time:2206.2364657814096, q_loss:100, rewards:-1406.3959, queue:377.5778, delay:0.7150283, throughput:195
REAL_TEST step:132, travel time:2115.499747347145, q_loss:100, rewards:-1309.0975, queue:348.37408, delay:0.7159546, throughput:218
REAL_TEST step:134, travel time:2114.408585858586, q_loss:100, rewards:-1309.0087, queue:348.35092, delay:0.71709746, throughput:219
REAL_TEST step:136, travel time:2109.989904088844, q_loss:100, rewards:-1306.5059, queue:347.73242, delay:0.7108707, throughput:230
REAL_TEST step:138, travel time:2205.276671771312, q_loss:100, rewards:-1406.5548, queue:377.62592, delay:0.7176085, throughput:195
