Loading cached latent encoders from pretrained/vae_embedding/dqn/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_vae_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=sensor5
REAL_TEST step:2, travel time:1566.2287166454892, q_loss:100, rewards:-866.3717, queue:220.16019, delay:0.6774274, throughput:1090
REAL_TEST step:4, travel time:989.9697946033025, q_loss:100, rewards:-517.28674, queue:130.07686, delay:0.8171707, throughput:1650
REAL_TEST step:6, travel time:310.52215743440235, q_loss:100, rewards:-252.5095, queue:56.18611, delay:0.7661031, throughput:3059
REAL_TEST step:8, travel time:282.51117661508226, q_loss:100, rewards:-194.84132, queue:47.994446, delay:0.7887799, throughput:3703
REAL_TEST step:10, travel time:318.19249781913345, q_loss:100, rewards:-215.92328, queue:48.797222, delay:0.72668415, throughput:3096
REAL_TEST step:12, travel time:289.20472440944883, q_loss:100, rewards:-189.7668, queue:43.666668, delay:0.7204956, throughput:3227
REAL_TEST step:14, travel time:237.86294291338584, q_loss:100, rewards:-169.65892, queue:39.073147, delay:0.8072729, throughput:3752
REAL_TEST step:16, travel time:1014.2296540362438, q_loss:100, rewards:-877.6908, queue:222.375, delay:0.73985946, throughput:1765
REAL_TEST step:18, travel time:232.54394607207675, q_loss:100, rewards:-113.33797, queue:29.116667, delay:0.6141683, throughput:3564
REAL_TEST step:20, travel time:335.81765992345544, q_loss:100, rewards:-175.44011, queue:45.285187, delay:0.67946583, throughput:3283
REAL_TEST step:22, travel time:639.7281231140615, q_loss:100, rewards:-505.95035, queue:123.08518, delay:0.69782794, throughput:2169
REAL_TEST step:24, travel time:322.55478884902016, q_loss:100, rewards:-150.57332, queue:38.930557, delay:0.5803475, throughput:3272
REAL_TEST step:26, travel time:825.4902945113788, q_loss:100, rewards:-336.17355, queue:91.05648, delay:0.64383984, throughput:1899
REAL_TEST step:28, travel time:1112.2018985031034, q_loss:100, rewards:-823.3853, queue:200.80371, delay:0.8206269, throughput:1458
REAL_TEST step:30, travel time:255.78345166575642, q_loss:100, rewards:-132.53784, queue:32.755554, delay:0.5737068, throughput:3373
REAL_TEST step:32, travel time:184.37163120567376, q_loss:100, rewards:-78.89307, queue:19.297222, delay:0.537135, throughput:3994
REAL_TEST step:34, travel time:336.5719315895372, q_loss:100, rewards:-241.46089, queue:59.771297, delay:0.6388664, throughput:2924
REAL_TEST step:36, travel time:171.9582075690736, q_loss:100, rewards:-62.427544, queue:15.584259, delay:0.5123268, throughput:4074
REAL_TEST step:38, travel time:180.32478833490123, q_loss:100, rewards:-62.931976, queue:14.649074, delay:0.5040686, throughput:4020
REAL_TEST step:40, travel time:187.20956665877338, q_loss:100, rewards:-68.644554, queue:16.952778, delay:0.49463207, throughput:3991
REAL_TEST step:42, travel time:171.40518638573744, q_loss:100, rewards:-54.862125, queue:14.239815, delay:0.50706553, throughput:4102
REAL_TEST step:44, travel time:173.88673517048107, q_loss:100, rewards:-61.78057, queue:15.527778, delay:0.54092354, throughput:4050
REAL_TEST step:46, travel time:178.27870757787076, q_loss:100, rewards:-62.224533, queue:16.338888, delay:0.45907497, throughput:3910
REAL_TEST step:48, travel time:230.08557513914656, q_loss:100, rewards:-81.658745, queue:23.694445, delay:0.52909565, throughput:3971
REAL_TEST step:50, travel time:176.29578754578753, q_loss:100, rewards:-41.785366, queue:11.760185, delay:0.44331828, throughput:4124
REAL_TEST step:52, travel time:171.2848203939745, q_loss:100, rewards:-62.910885, queue:15.736111, delay:0.55206096, throughput:4101
REAL_TEST step:54, travel time:175.28336422613532, q_loss:100, rewards:-61.871605, queue:16.162964, delay:0.542202, throughput:4099
REAL_TEST step:56, travel time:178.69674418604652, q_loss:100, rewards:-67.03426, queue:16.75926, delay:0.5102133, throughput:4090
REAL_TEST step:58, travel time:178.66212156228335, q_loss:100, rewards:-47.03531, queue:13.375926, delay:0.499446, throughput:4116
REAL_TEST step:60, travel time:178.45157553290085, q_loss:100, rewards:-74.1755, queue:18.328703, delay:0.5488702, throughput:4100
REAL_TEST step:62, travel time:1267.5161042944785, q_loss:100, rewards:-774.02405, queue:185.34814, delay:0.7722312, throughput:1206
REAL_TEST step:64, travel time:174.26778242677824, q_loss:100, rewards:-36.082542, queue:8.930555, delay:0.47474104, throughput:4084
REAL_TEST step:66, travel time:211.76730724704794, q_loss:100, rewards:-77.99431, queue:20.408333, delay:0.52931374, throughput:4018
