Loading cached latent encoders from pretrained/vae_embedding/dqn/bullhead_3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/bullhead_3/baseline_v1_vae_s0/model/bullhead_3_noise5_dqn_latent_observation -> eval real_setting=combine4
REAL_TEST step:2, travel time:1432.8178737822957, q_loss:100, rewards:-708.84717, queue:169.15286, delay:1.8363618, throughput:1119
REAL_TEST step:4, travel time:422.8386454183267, q_loss:100, rewards:-271.03363, queue:67.317604, delay:2.1581335, throughput:2923
REAL_TEST step:6, travel time:266.5605570753544, q_loss:100, rewards:-189.65079, queue:42.089798, delay:1.7648941, throughput:3679
REAL_TEST step:8, travel time:235.14769915883227, q_loss:100, rewards:-163.39876, queue:38.781162, delay:2.0127318, throughput:3754
REAL_TEST step:10, travel time:257.44936061381077, q_loss:100, rewards:-148.26144, queue:36.17463, delay:1.7165023, throughput:3579
REAL_TEST step:12, travel time:381.7906976744186, q_loss:100, rewards:-238.25081, queue:61.27786, delay:1.6853242, throughput:3487
REAL_TEST step:14, travel time:508.85566188197765, q_loss:100, rewards:-213.91956, queue:53.950413, delay:2.0171444, throughput:3285
REAL_TEST step:16, travel time:1085.2482075793787, q_loss:100, rewards:-636.8739, queue:158.12723, delay:1.6777734, throughput:1555
REAL_TEST step:18, travel time:1403.081212121212, q_loss:100, rewards:-818.1431, queue:197.0742, delay:1.8691782, throughput:1112
REAL_TEST step:20, travel time:1964.8412542871142, q_loss:100, rewards:-1076.0416, queue:282.1255, delay:1.973111, throughput:422
REAL_TEST step:22, travel time:1672.1101658868567, q_loss:100, rewards:-989.3532, queue:265.3535, delay:2.0302672, throughput:783
REAL_TEST step:24, travel time:1686.8638113570742, q_loss:100, rewards:-946.1133, queue:241.49065, delay:1.9427334, throughput:764
REAL_TEST step:26, travel time:1341.5677469738384, q_loss:100, rewards:-780.24194, queue:207.56792, delay:1.4919124, throughput:1237
REAL_TEST step:28, travel time:1609.7748226950355, q_loss:100, rewards:-667.79626, queue:169.25792, delay:1.6725218, throughput:868
REAL_TEST step:30, travel time:2013.5326305220883, q_loss:100, rewards:-950.9476, queue:238.79742, delay:1.6807644, throughput:373
REAL_TEST step:32, travel time:1782.236726741354, q_loss:100, rewards:-1080.5865, queue:266.371, delay:2.1316211, throughput:702
REAL_TEST step:34, travel time:1823.3476949590693, q_loss:100, rewards:-1023.89056, queue:274.871, delay:2.092768, throughput:595
REAL_TEST step:36, travel time:1510.3334843679202, q_loss:100, rewards:-829.39355, queue:210.87682, delay:1.6224382, throughput:902
REAL_TEST step:38, travel time:1571.5940246045693, q_loss:100, rewards:-952.13367, queue:243.91754, delay:2.0532634, throughput:876
REAL_TEST step:40, travel time:1532.818958818959, q_loss:100, rewards:-710.70123, queue:187.95923, delay:1.6146948, throughput:946
REAL_TEST step:42, travel time:1750.8115816767502, q_loss:100, rewards:-988.7076, queue:251.405, delay:1.7110622, throughput:672
