Loading cached latent encoders from pretrained/atc/dqn/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_atc_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=noise10
REAL_TEST step:2, travel time:455.343669250646, q_loss:100, rewards:-234.17244, queue:156.78172, delay:4.378855, throughput:1006
REAL_TEST step:4, travel time:364.6503923278117, q_loss:100, rewards:-105.82969, queue:69.93608, delay:4.2429767, throughput:1018
REAL_TEST step:6, travel time:59.78362282878412, q_loss:100, rewards:-58.83658, queue:40.782654, delay:4.3684, throughput:1992
REAL_TEST step:8, travel time:60.45062034739454, q_loss:100, rewards:-60.610714, queue:41.830757, delay:4.3242555, throughput:1994
REAL_TEST step:10, travel time:59.90521091811414, q_loss:100, rewards:-60.288918, queue:40.72046, delay:4.288175, throughput:1992
REAL_TEST step:12, travel time:64.41389578163772, q_loss:100, rewards:-61.41668, queue:40.179375, delay:4.4995804, throughput:1991
REAL_TEST step:14, travel time:64.87890818858561, q_loss:100, rewards:-62.867916, queue:39.420383, delay:4.394788, throughput:1987
REAL_TEST step:16, travel time:57.29642502482621, q_loss:100, rewards:-59.262863, queue:40.81197, delay:4.1899953, throughput:1988
REAL_TEST step:18, travel time:61.27047146401985, q_loss:100, rewards:-59.408203, queue:40.00213, delay:4.341359, throughput:1994
REAL_TEST step:20, travel time:63.99900744416873, q_loss:100, rewards:-61.491737, queue:39.10211, delay:4.1502633, throughput:1997
REAL_TEST step:22, travel time:58.07103825136612, q_loss:100, rewards:-59.10538, queue:40.223198, delay:4.359797, throughput:1988
REAL_TEST step:24, travel time:61.2014888337469, q_loss:100, rewards:-59.16174, queue:39.877785, delay:4.442058, throughput:1988
REAL_TEST step:26, travel time:63.737468982630276, q_loss:100, rewards:-61.498745, queue:41.378376, delay:4.157985, throughput:1998
REAL_TEST step:28, travel time:72.8317617866005, q_loss:100, rewards:-65.37163, queue:42.51475, delay:4.219287, throughput:1984
REAL_TEST step:30, travel time:81.21488833746898, q_loss:100, rewards:-72.17998, queue:47.566532, delay:4.6161714, throughput:1995
REAL_TEST step:32, travel time:65.0014888337469, q_loss:100, rewards:-63.034184, queue:41.31562, delay:4.2056527, throughput:1990
REAL_TEST step:34, travel time:69.74689209348583, q_loss:100, rewards:-65.15553, queue:45.680904, delay:4.2002463, throughput:1983
REAL_TEST step:36, travel time:63.637176938369784, q_loss:100, rewards:-61.63939, queue:41.30504, delay:4.3283486, throughput:1986
REAL_TEST step:38, travel time:64.85111662531017, q_loss:100, rewards:-62.021805, queue:41.217705, delay:4.0920973, throughput:1992
REAL_TEST step:40, travel time:60.56079404466501, q_loss:100, rewards:-61.413536, queue:40.429165, delay:4.19018, throughput:1997
REAL_TEST step:42, travel time:75.42630272952853, q_loss:100, rewards:-67.6095, queue:44.271217, delay:4.4037085, throughput:1988
REAL_TEST step:44, travel time:60.31563275434243, q_loss:100, rewards:-60.102283, queue:41.414555, delay:4.320962, throughput:1998
REAL_TEST step:46, travel time:83.27741935483871, q_loss:100, rewards:-70.81749, queue:46.391457, delay:4.259751, throughput:1990
REAL_TEST step:48, travel time:98.75882645450025, q_loss:100, rewards:-80.17372, queue:52.61778, delay:4.3180995, throughput:1956
REAL_TEST step:50, travel time:89.44863523573201, q_loss:100, rewards:-71.65586, queue:47.604813, delay:3.948308, throughput:1993
REAL_TEST step:52, travel time:67.22889771598808, q_loss:100, rewards:-62.708122, queue:41.13741, delay:4.1988792, throughput:1989
REAL_TEST step:54, travel time:75.0362282878412, q_loss:100, rewards:-66.22008, queue:44.65777, delay:4.4708714, throughput:1997
REAL_TEST step:56, travel time:94.36823821339951, q_loss:100, rewards:-76.08121, queue:50.94291, delay:4.291531, throughput:1974
REAL_TEST step:58, travel time:78.81141439205955, q_loss:100, rewards:-69.01356, queue:45.712067, delay:4.3244123, throughput:1979
REAL_TEST step:60, travel time:62.92158808933002, q_loss:100, rewards:-60.73788, queue:42.219738, delay:4.2749586, throughput:1995
REAL_TEST step:62, travel time:80.5091811414392, q_loss:100, rewards:-68.96399, queue:45.515457, delay:4.1503835, throughput:1986
REAL_TEST step:64, travel time:73.89727047146403, q_loss:100, rewards:-69.07212, queue:46.999382, delay:4.2378397, throughput:1988
REAL_TEST step:66, travel time:71.61538461538461, q_loss:100, rewards:-64.47755, queue:44.389267, delay:4.0853066, throughput:1997
REAL_TEST step:68, travel time:85.83523573200992, q_loss:100, rewards:-75.73933, queue:48.584488, delay:4.4104652, throughput:1995
REAL_TEST step:70, travel time:93.04468718967229, q_loss:100, rewards:-74.31311, queue:48.532944, delay:4.357763, throughput:1988
REAL_TEST step:72, travel time:133.73968253968255, q_loss:100, rewards:-92.452896, queue:57.683426, delay:4.1909466, throughput:1836
REAL_TEST step:74, travel time:111.37717121588089, q_loss:100, rewards:-82.924065, queue:52.193195, delay:4.193039, throughput:1976
