Loading cached latent encoders from pretrained/darla/dqn/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_darla_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:457.3508168529665, q_loss:100, rewards:-128.085, queue:85.49722, delay:0.36848047, throughput:1008
REAL_TEST step:4, travel time:371.2929203539823, q_loss:100, rewards:-39.097084, queue:26.091667, delay:0.30657735, throughput:1001
REAL_TEST step:6, travel time:3196.930909090909, q_loss:100, rewards:-198.84709, queue:132.75, delay:0.48207822, throughput:6
REAL_TEST step:8, travel time:79.32605459057072, q_loss:100, rewards:-28.674997, queue:18.891666, delay:0.38506645, throughput:1992
REAL_TEST step:10, travel time:85.72952853598015, q_loss:100, rewards:-18.532915, queue:12.15, delay:0.22790752, throughput:1986
REAL_TEST step:12, travel time:110.24826216484608, q_loss:100, rewards:-27.699583, queue:18.327778, delay:0.29882133, throughput:1985
REAL_TEST step:14, travel time:103.79282868525897, q_loss:100, rewards:-21.403753, queue:14.141666, delay:0.17895263, throughput:1959
REAL_TEST step:16, travel time:371.2929203539823, q_loss:100, rewards:-11.417083, queue:7.6277776, delay:0.12929595, throughput:1001
REAL_TEST step:18, travel time:192.53153638814015, q_loss:100, rewards:-46.852085, queue:31.26111, delay:0.18411972, throughput:1756
REAL_TEST step:20, travel time:75.15831265508685, q_loss:100, rewards:-12.27958, queue:8.061111, delay:0.22215307, throughput:1997
REAL_TEST step:22, travel time:74.35630423685554, q_loss:100, rewards:-24.932512, queue:16.441668, delay:0.38213027, throughput:1933
REAL_TEST step:24, travel time:116.31075491209927, q_loss:100, rewards:-30.639576, queue:20.25, delay:0.36969918, throughput:1881
REAL_TEST step:26, travel time:458.88860971524286, q_loss:100, rewards:-89.58958, queue:59.81389, delay:0.20516723, throughput:1027
REAL_TEST step:28, travel time:62.78908188585608, q_loss:100, rewards:-6.573751, queue:4.266667, delay:0.18852429, throughput:1997
REAL_TEST step:30, travel time:54.16732869910626, q_loss:100, rewards:-8.796667, queue:5.7055554, delay:0.2671672, throughput:1993
REAL_TEST step:32, travel time:72.1786600496278, q_loss:100, rewards:-1.3754168, queue:0.83055556, delay:0.12957963, throughput:1996
REAL_TEST step:34, travel time:131.375682382134, q_loss:100, rewards:-5.8245835, queue:3.7916667, delay:0.26811552, throughput:1969
REAL_TEST step:36, travel time:57.74441687344913, q_loss:100, rewards:-9.542922, queue:6.163889, delay:0.27874893, throughput:1996
REAL_TEST step:38, travel time:188.1228313671062, q_loss:100, rewards:-23.206667, queue:15.4, delay:0.32527712, throughput:1334
REAL_TEST step:40, travel time:75.96079404466501, q_loss:100, rewards:-10.718327, queue:7.025, delay:0.21214812, throughput:1994
REAL_TEST step:42, travel time:111.69627791563275, q_loss:100, rewards:-3.7283347, queue:2.4055555, delay:0.13987882, throughput:1997
REAL_TEST step:44, travel time:69.87846696923853, q_loss:100, rewards:-10.429581, queue:6.7777777, delay:0.21884857, throughput:1957
REAL_TEST step:46, travel time:56.826799007444166, q_loss:100, rewards:-14.449586, queue:9.394444, delay:0.33625826, throughput:1997
REAL_TEST step:48, travel time:71.29528535980148, q_loss:100, rewards:-13.161662, queue:8.622222, delay:0.28350025, throughput:1993
REAL_TEST step:50, travel time:81.47579814624099, q_loss:100, rewards:-23.7625, queue:15.719444, delay:0.36016956, throughput:1900
REAL_TEST step:52, travel time:86.21091811414392, q_loss:100, rewards:-4.4683332, queue:2.8611112, delay:0.20017098, throughput:1999
REAL_TEST step:54, travel time:317.4915364583333, q_loss:100, rewards:-14.460006, queue:9.633333, delay:0.18914579, throughput:1381
REAL_TEST step:56, travel time:62.737965260545906, q_loss:100, rewards:-9.525001, queue:6.197222, delay:0.2489385, throughput:1995
REAL_TEST step:58, travel time:95.64303797468355, q_loss:100, rewards:-4.3099976, queue:2.8, delay:0.17269018, throughput:1939
REAL_TEST step:60, travel time:88.02870322911328, q_loss:100, rewards:-20.969584, queue:13.863889, delay:0.30824968, throughput:1922
REAL_TEST step:62, travel time:59.48833746898263, q_loss:100, rewards:-9.5199995, queue:6.1805553, delay:0.2913806, throughput:1997
REAL_TEST step:64, travel time:69.21290322580646, q_loss:100, rewards:-8.312082, queue:5.4583335, delay:0.20301592, throughput:1993
REAL_TEST step:66, travel time:61.00099255583127, q_loss:100, rewards:-12.797915, queue:8.336111, delay:0.28975862, throughput:1990
REAL_TEST step:68, travel time:456.87186147186145, q_loss:100, rewards:-0.05375, queue:0.03888889, delay:0.0637637, throughput:1001
REAL_TEST step:70, travel time:65.912158808933, q_loss:100, rewards:-11.32958, queue:7.3472223, delay:0.31241083, throughput:1996
REAL_TEST step:72, travel time:58.12456575682382, q_loss:100, rewards:-12.306242, queue:7.9944444, delay:0.3081969, throughput:1997
REAL_TEST step:74, travel time:100.37759756715661, q_loss:100, rewards:-6.603331, queue:4.366667, delay:0.13309063, throughput:1948
REAL_TEST step:76, travel time:65.41985111662531, q_loss:100, rewards:-11.568333, queue:7.563889, delay:0.3358856, throughput:1996
REAL_TEST step:78, travel time:61.42382133995037, q_loss:100, rewards:-10.797085, queue:7.0305557, delay:0.2734367, throughput:1989
REAL_TEST step:80, travel time:62.77866004962779, q_loss:100, rewards:-11.35792, queue:7.452778, delay:0.2449792, throughput:1996
REAL_TEST step:82, travel time:57.3424317617866, q_loss:100, rewards:-8.798746, queue:5.7444444, delay:0.23917459, throughput:1997
REAL_TEST step:84, travel time:117.89925558312655, q_loss:100, rewards:-7.5774975, queue:4.961111, delay:0.20363395, throughput:1989
REAL_TEST step:86, travel time:69.47854618879354, q_loss:100, rewards:-14.190002, queue:9.280556, delay:0.2977965, throughput:1940
REAL_TEST step:88, travel time:78.93452685421995, q_loss:100, rewards:-16.811245, queue:11.122222, delay:0.25416455, throughput:1923
REAL_TEST step:90, travel time:370.6807387862797, q_loss:100, rewards:-0.38083345, queue:0.25, delay:0.07662111, throughput:1006
REAL_TEST step:92, travel time:110.26670146137788, q_loss:100, rewards:-4.081667, queue:2.6805556, delay:0.15219828, throughput:1880
REAL_TEST step:94, travel time:93.68241469816273, q_loss:100, rewards:-7.5533314, queue:4.9722223, delay:0.20777488, throughput:1865
REAL_TEST step:96, travel time:456.87186147186145, q_loss:100, rewards:-0.0525, queue:0.036111113, delay:0.057095904, throughput:1001
