Loading cached latent encoders from pretrained/darla/dqn/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_darla_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=combine4
REAL_TEST step:2, travel time:2441.1, q_loss:100, rewards:-230.667, queue:153.47237, delay:1.9590856, throughput:90
REAL_TEST step:4, travel time:371.2929203539823, q_loss:100, rewards:-48.53823, queue:32.26839, delay:1.4121468, throughput:1001
REAL_TEST step:6, travel time:377.28192934782606, q_loss:100, rewards:-194.02748, queue:130.96396, delay:1.8403727, throughput:1280
REAL_TEST step:8, travel time:72.5409429280397, q_loss:100, rewards:-45.32715, queue:30.949797, delay:2.2951627, throughput:1993
REAL_TEST step:10, travel time:70.36377171215881, q_loss:100, rewards:-35.92768, queue:24.222391, delay:1.9847573, throughput:1994
REAL_TEST step:12, travel time:262.9852645679839, q_loss:100, rewards:-74.887856, queue:49.73021, delay:2.1007516, throughput:1362
REAL_TEST step:14, travel time:122.21756688541142, q_loss:100, rewards:-37.42592, queue:23.887978, delay:1.2450616, throughput:1909
REAL_TEST step:16, travel time:371.2929203539823, q_loss:100, rewards:-20.779045, queue:14.546875, delay:1.0677383, throughput:1001
REAL_TEST step:18, travel time:78.25511732401398, q_loss:100, rewards:-37.89008, queue:25.105335, delay:1.7122192, throughput:1972
REAL_TEST step:20, travel time:68.62760675273088, q_loss:100, rewards:-42.652798, queue:27.319084, delay:2.2092013, throughput:1988
REAL_TEST step:22, travel time:150.64535464535464, q_loss:100, rewards:-110.98607, queue:74.44182, delay:2.3798637, throughput:1943
REAL_TEST step:24, travel time:456.87186147186145, q_loss:100, rewards:-103.86051, queue:69.376686, delay:1.7584357, throughput:1001
REAL_TEST step:26, travel time:271.85567598402736, q_loss:100, rewards:-95.222084, queue:64.082664, delay:1.6531886, throughput:1591
REAL_TEST step:28, travel time:79.47543424317618, q_loss:100, rewards:-44.492332, queue:28.685436, delay:1.7413197, throughput:1991
REAL_TEST step:30, travel time:68.23126550868486, q_loss:100, rewards:-28.253857, queue:18.6551, delay:1.5281279, throughput:1995
REAL_TEST step:32, travel time:68.14888337468983, q_loss:100, rewards:-33.6203, queue:22.00105, delay:1.6624122, throughput:1988
REAL_TEST step:34, travel time:211.1901081916538, q_loss:100, rewards:-92.6535, queue:63.30069, delay:1.9882679, throughput:1845
REAL_TEST step:36, travel time:66.936476426799, q_loss:100, rewards:-37.27602, queue:24.942314, delay:2.0185857, throughput:1991
REAL_TEST step:38, travel time:86.27510040160642, q_loss:100, rewards:-35.031563, queue:23.414415, delay:1.5686144, throughput:1946
REAL_TEST step:40, travel time:153.42405391394504, q_loss:100, rewards:-50.38992, queue:33.71298, delay:1.4589611, throughput:1883
REAL_TEST step:42, travel time:102.86586586586587, q_loss:100, rewards:-71.7286, queue:47.28432, delay:2.3596494, throughput:1929
REAL_TEST step:44, travel time:114.04019851116625, q_loss:100, rewards:-69.13604, queue:46.808968, delay:2.034314, throughput:1996
REAL_TEST step:46, travel time:69.46302729528536, q_loss:100, rewards:-34.612724, queue:22.688456, delay:1.6772072, throughput:1995
REAL_TEST step:48, travel time:67.98759305210918, q_loss:100, rewards:-34.72211, queue:22.879152, delay:1.7202827, throughput:1988
REAL_TEST step:50, travel time:280.4808680753855, q_loss:100, rewards:-108.49434, queue:72.3885, delay:1.5155269, throughput:1599
REAL_TEST step:52, travel time:72.55831265508685, q_loss:100, rewards:-32.759525, queue:21.431173, delay:1.3854979, throughput:1991
REAL_TEST step:54, travel time:106.8742415885273, q_loss:100, rewards:-33.626606, queue:21.884295, delay:1.4939653, throughput:1740
