replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_domain_randomization_s0/model/cologne1_noise5_dqn_domain_randomization -> eval real_setting=noise10
REAL_TEST step:3, travel time:60.977667493796524, q_loss:100, rewards:-59.097874, queue:40.340244, delay:4.321181, throughput:1990
REAL_TEST step:6, travel time:57.22481389578164, q_loss:100, rewards:-59.36196, queue:39.002453, delay:4.1819634, throughput:1997
REAL_TEST step:9, travel time:56.61786600496278, q_loss:100, rewards:-57.48748, queue:39.981327, delay:4.360163, throughput:1997
REAL_TEST step:12, travel time:63.9727047146402, q_loss:100, rewards:-60.43903, queue:41.510998, delay:4.3234353, throughput:1996
REAL_TEST step:15, travel time:115.88833746898263, q_loss:100, rewards:-91.26709, queue:61.49372, delay:4.3792295, throughput:1993
REAL_TEST step:18, travel time:64.63870967741936, q_loss:100, rewards:-61.20572, queue:39.991257, delay:4.485788, throughput:1983
REAL_TEST step:21, travel time:65.79801488833746, q_loss:100, rewards:-62.26803, queue:39.134735, delay:4.3930535, throughput:1990
REAL_TEST step:24, travel time:57.62363455809334, q_loss:100, rewards:-58.63221, queue:40.4485, delay:4.191833, throughput:1988
REAL_TEST step:27, travel time:80.99602977667494, q_loss:100, rewards:-67.04969, queue:45.01051, delay:4.3737864, throughput:1980
REAL_TEST step:30, travel time:66.13598014888338, q_loss:100, rewards:-62.220963, queue:39.58907, delay:4.1555076, throughput:1990
REAL_TEST step:33, travel time:58.743920595533496, q_loss:100, rewards:-59.746094, queue:40.645702, delay:4.3624277, throughput:1988
REAL_TEST step:36, travel time:1250.0152027027027, q_loss:100, rewards:-235.52719, queue:157.3981, delay:4.6943326, throughput:323
REAL_TEST step:39, travel time:64.35980148883375, q_loss:100, rewards:-62.819756, queue:41.88204, delay:4.1594357, throughput:1991
REAL_TEST step:42, travel time:62.644665012406946, q_loss:100, rewards:-61.474045, queue:39.914818, delay:4.1910954, throughput:1984
REAL_TEST step:45, travel time:62.582630272952855, q_loss:100, rewards:-62.21389, queue:41.0209, delay:4.5907125, throughput:1988
REAL_TEST step:48, travel time:61.66981132075472, q_loss:100, rewards:-61.05466, queue:40.028484, delay:4.20816, throughput:1990
REAL_TEST step:51, travel time:62.50967741935484, q_loss:100, rewards:-59.62712, queue:42.228043, delay:4.186597, throughput:1990
REAL_TEST step:54, travel time:60.074937965260546, q_loss:100, rewards:-60.0915, queue:40.25081, delay:4.3235416, throughput:1992
REAL_TEST step:57, travel time:66.74888337468983, q_loss:100, rewards:-62.177006, queue:41.37668, delay:4.1007366, throughput:1990
REAL_TEST step:60, travel time:63.30074441687345, q_loss:100, rewards:-62.361492, queue:41.451153, delay:4.202013, throughput:1992
REAL_TEST step:63, travel time:62.25235966219573, q_loss:100, rewards:-61.496605, queue:40.483364, delay:4.383837, throughput:1985
REAL_TEST step:66, travel time:63.34739454094293, q_loss:100, rewards:-60.948036, queue:41.670494, delay:4.336354, throughput:1994
REAL_TEST step:69, travel time:62.809925558312656, q_loss:100, rewards:-61.69601, queue:40.21189, delay:4.2320366, throughput:1997
REAL_TEST step:72, travel time:69.04367245657568, q_loss:100, rewards:-65.888214, queue:43.845005, delay:4.2845945, throughput:1986
REAL_TEST step:75, travel time:63.318114143920596, q_loss:100, rewards:-60.909695, queue:40.43041, delay:3.913302, throughput:1996
REAL_TEST step:78, travel time:83.0115, q_loss:100, rewards:-75.18244, queue:49.56639, delay:4.2298408, throughput:1974
REAL_TEST step:81, travel time:61.95682382133995, q_loss:100, rewards:-60.495167, queue:40.867912, delay:4.454615, throughput:1990
REAL_TEST step:84, travel time:79.48883374689827, q_loss:100, rewards:-66.97067, queue:45.007282, delay:4.2821283, throughput:1995
REAL_TEST step:87, travel time:63.1697270471464, q_loss:100, rewards:-61.397408, queue:40.81937, delay:4.2869196, throughput:1993
REAL_TEST step:90, travel time:67.3349875930521, q_loss:100, rewards:-63.462894, queue:43.90378, delay:4.2856803, throughput:1994
REAL_TEST step:93, travel time:82.02034739454095, q_loss:100, rewards:-66.917404, queue:44.259544, delay:4.1554193, throughput:1973
