replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_domain_randomization_s0/model/cologne1_noise5_dqn_domain_randomization -> eval real_setting=dz20
REAL_TEST step:3, travel time:65.85260545905707, q_loss:100, rewards:-23.015003, queue:14.844444, delay:0.4274532, throughput:1995
REAL_TEST step:6, travel time:75.25657568238213, q_loss:100, rewards:-30.38208, queue:19.741667, delay:0.46372205, throughput:1998
REAL_TEST step:9, travel time:69.32506203473946, q_loss:100, rewards:-25.577084, queue:16.633333, delay:0.4287275, throughput:1997
REAL_TEST step:12, travel time:66.7528535980149, q_loss:100, rewards:-23.69292, queue:15.375, delay:0.40917385, throughput:1997
REAL_TEST step:15, travel time:2156.6272493573265, q_loss:100, rewards:-271.9079, queue:181.49445, delay:0.9324254, throughput:122
REAL_TEST step:18, travel time:67.67493796526054, q_loss:100, rewards:-24.45208, queue:15.913889, delay:0.42211542, throughput:1997
REAL_TEST step:21, travel time:68.54937965260545, q_loss:100, rewards:-25.762087, queue:16.73611, delay:0.43868268, throughput:1998
REAL_TEST step:24, travel time:77.04071499503476, q_loss:100, rewards:-33.642075, queue:22.025, delay:0.46307802, throughput:1990
REAL_TEST step:27, travel time:70.863523573201, q_loss:100, rewards:-25.179579, queue:16.38611, delay:0.48375413, throughput:1996
REAL_TEST step:30, travel time:69.3543424317618, q_loss:100, rewards:-27.4775, queue:17.961111, delay:0.4538513, throughput:1998
REAL_TEST step:33, travel time:73.54888337468982, q_loss:100, rewards:-27.312508, queue:17.7, delay:0.48404852, throughput:1996
REAL_TEST step:36, travel time:63.44367245657568, q_loss:100, rewards:-20.816244, queue:13.536111, delay:0.43816313, throughput:1997
REAL_TEST step:39, travel time:92.22426653406265, q_loss:100, rewards:-46.02043, queue:30.23611, delay:0.5165043, throughput:1984
REAL_TEST step:42, travel time:67.01836228287841, q_loss:100, rewards:-23.274158, queue:15.025, delay:0.43583566, throughput:1997
REAL_TEST step:45, travel time:90.0495247623812, q_loss:100, rewards:-44.06457, queue:28.969444, delay:0.53475183, throughput:1972
REAL_TEST step:48, travel time:83.94744897959184, q_loss:100, rewards:-38.543736, queue:25.347221, delay:0.50579154, throughput:1934
