replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_domain_randomization_s0/model/cologne1_noise5_dqn_domain_randomization -> eval real_setting=combine3
REAL_TEST step:3, travel time:142.5323943661972, q_loss:100, rewards:-23.59212, queue:15.456058, delay:1.1213315, throughput:1720
REAL_TEST step:6, travel time:70.22244389027432, q_loss:100, rewards:-21.905968, queue:14.255689, delay:0.9009373, throughput:1956
REAL_TEST step:9, travel time:100.0362282878412, q_loss:100, rewards:-42.817062, queue:29.074423, delay:1.123988, throughput:1998
REAL_TEST step:12, travel time:76.84516129032258, q_loss:100, rewards:-39.514675, queue:26.502932, delay:1.4969776, throughput:1975
REAL_TEST step:15, travel time:186.6393360160966, q_loss:100, rewards:-77.13606, queue:51.405586, delay:1.3864951, throughput:1881
REAL_TEST step:18, travel time:64.27642679900744, q_loss:100, rewards:-31.156687, queue:20.345133, delay:1.5240912, throughput:1990
REAL_TEST step:21, travel time:63.687344913151364, q_loss:100, rewards:-18.83176, queue:11.984344, delay:0.9635112, throughput:1993
REAL_TEST step:24, travel time:66.98907646474677, q_loss:100, rewards:-24.032623, queue:16.258026, delay:0.894093, throughput:1988
REAL_TEST step:27, travel time:371.2929203539823, q_loss:100, rewards:-54.345566, queue:36.179478, delay:1.1662543, throughput:1001
REAL_TEST step:30, travel time:93.88838612368023, q_loss:100, rewards:-56.334965, queue:36.433945, delay:1.4777639, throughput:1964
REAL_TEST step:33, travel time:76.1106699751861, q_loss:100, rewards:-42.419422, queue:28.363686, delay:1.5048801, throughput:1991
REAL_TEST step:36, travel time:95.17992047713717, q_loss:100, rewards:-31.11688, queue:20.732946, delay:1.1505469, throughput:1981
REAL_TEST step:39, travel time:176.68025857782197, q_loss:100, rewards:-75.15142, queue:49.98629, delay:1.30907, throughput:1953
REAL_TEST step:42, travel time:65.019364448858, q_loss:100, rewards:-25.939178, queue:16.530983, delay:1.1056224, throughput:1988
REAL_TEST step:45, travel time:262.7771709448389, q_loss:100, rewards:-98.19994, queue:65.44029, delay:1.0047057, throughput:1674
REAL_TEST step:48, travel time:76.0074812967581, q_loss:100, rewards:-42.041096, queue:27.553492, delay:1.4632479, throughput:1979
REAL_TEST step:51, travel time:74.10377358490567, q_loss:100, rewards:-28.278397, queue:19.7188, delay:1.2658327, throughput:1988
REAL_TEST step:54, travel time:86.95382323733863, q_loss:100, rewards:-48.93588, queue:32.737442, delay:1.3615371, throughput:1990
REAL_TEST step:57, travel time:371.2929203539823, q_loss:100, rewards:-45.117477, queue:30.07817, delay:1.0087308, throughput:1001
REAL_TEST step:60, travel time:291.7618490345231, q_loss:100, rewards:-94.35149, queue:63.043743, delay:0.9540988, throughput:1542
REAL_TEST step:63, travel time:64.09379652605459, q_loss:100, rewards:-31.950068, queue:21.001617, delay:1.4951903, throughput:1992
REAL_TEST step:66, travel time:66.81290322580645, q_loss:100, rewards:-29.618786, queue:19.944796, delay:1.2965819, throughput:1994
REAL_TEST step:69, travel time:70.91116625310174, q_loss:100, rewards:-31.137138, queue:20.480564, delay:1.278575, throughput:1989
REAL_TEST step:72, travel time:256.8147757255937, q_loss:100, rewards:-112.629135, queue:75.06577, delay:1.1856098, throughput:1767
REAL_TEST step:75, travel time:84.32158808933002, q_loss:100, rewards:-37.621975, queue:25.087055, delay:1.0310378, throughput:1984
REAL_TEST step:78, travel time:441.08063175394847, q_loss:100, rewards:-133.5512, queue:88.92466, delay:0.9643504, throughput:1033
REAL_TEST step:81, travel time:371.2929203539823, q_loss:100, rewards:-43.16312, queue:28.476358, delay:0.9603384, throughput:1001
REAL_TEST step:84, travel time:65.12754342431762, q_loss:100, rewards:-20.860504, queue:13.738789, delay:0.90432054, throughput:1996
REAL_TEST step:87, travel time:98.85588842975207, q_loss:100, rewards:-39.74994, queue:26.158737, delay:1.2928072, throughput:1899
REAL_TEST step:90, travel time:94.95632754342432, q_loss:100, rewards:-32.250694, queue:21.88337, delay:1.125339, throughput:1994
REAL_TEST step:93, travel time:78.44119106699752, q_loss:100, rewards:-36.64634, queue:23.939434, delay:1.268564, throughput:1990
REAL_TEST step:96, travel time:73.44753853804077, q_loss:100, rewards:-35.9876, queue:24.103453, delay:1.3001082, throughput:1962
REAL_TEST step:99, travel time:456.87186147186145, q_loss:100, rewards:-137.86012, queue:92.55419, delay:1.2392691, throughput:1001
REAL_TEST step:102, travel time:256.76215856095934, q_loss:100, rewards:-53.27155, queue:35.209854, delay:1.1813594, throughput:1376
