Loading cached latent encoders from pretrained/lusr/dqn/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_lusr_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=noise20
REAL_TEST step:2, travel time:465.43419949706623, q_loss:100, rewards:-278.8418, queue:187.2241, delay:8.458146, throughput:1025
REAL_TEST step:4, travel time:456.87186147186145, q_loss:100, rewards:-268.85828, queue:179.35358, delay:8.208817, throughput:1001
REAL_TEST step:6, travel time:371.2929203539823, q_loss:100, rewards:-144.03139, queue:100.63288, delay:8.57162, throughput:1001
REAL_TEST step:8, travel time:371.2929203539823, q_loss:100, rewards:-145.88016, queue:99.193146, delay:8.471993, throughput:1001
REAL_TEST step:10, travel time:359.41346973572035, q_loss:100, rewards:-147.0459, queue:99.98705, delay:8.403781, throughput:1042
REAL_TEST step:12, travel time:335.96847210994343, q_loss:100, rewards:-144.64331, queue:94.27972, delay:8.8011465, throughput:1110
REAL_TEST step:14, travel time:340.2951219512195, q_loss:100, rewards:-147.29994, queue:94.344345, delay:8.5958395, throughput:1100
REAL_TEST step:16, travel time:320.3335895465027, q_loss:100, rewards:-145.32063, queue:98.74486, delay:8.239725, throughput:1173
REAL_TEST step:18, travel time:116.78794178794179, q_loss:100, rewards:-136.39932, queue:92.14034, delay:8.49262, throughput:1886
REAL_TEST step:20, travel time:338.2604081632653, q_loss:100, rewards:-144.56226, queue:92.27943, delay:8.11796, throughput:1100
REAL_TEST step:22, travel time:256.1246684350133, q_loss:100, rewards:-141.71373, queue:97.00367, delay:8.561608, throughput:1386
REAL_TEST step:24, travel time:285.20239390642, q_loss:100, rewards:-257.8124, queue:171.72832, delay:8.721395, throughput:1681
REAL_TEST step:26, travel time:70.94739454094292, q_loss:100, rewards:-110.94912, queue:75.21964, delay:8.086874, throughput:1994
REAL_TEST step:28, travel time:271.0930869267625, q_loss:100, rewards:-142.54213, queue:92.687096, delay:8.217424, throughput:1339
REAL_TEST step:30, travel time:308.8232129131437, q_loss:100, rewards:-144.16125, queue:95.63292, delay:8.983517, throughput:1172
REAL_TEST step:32, travel time:89.76228287841191, q_loss:100, rewards:-120.39625, queue:78.91392, delay:8.2041235, throughput:1992
REAL_TEST step:34, travel time:68.31032770605759, q_loss:100, rewards:-109.08073, queue:77.31717, delay:8.136088, throughput:1988
REAL_TEST step:36, travel time:85.63571428571429, q_loss:100, rewards:-121.43221, queue:81.22145, delay:8.46051, throughput:1929
REAL_TEST step:38, travel time:204.99882835383715, q_loss:100, rewards:-134.9645, queue:89.655136, delay:7.9825983, throughput:1613
REAL_TEST step:40, travel time:196.5811965811966, q_loss:100, rewards:-140.7505, queue:93.232834, delay:8.225282, throughput:1558
REAL_TEST step:42, travel time:67.89181141439207, q_loss:100, rewards:-110.05425, queue:72.57948, delay:8.541897, throughput:1994
REAL_TEST step:44, travel time:67.90322580645162, q_loss:100, rewards:-110.185875, queue:75.85144, delay:8.441054, throughput:1975
REAL_TEST step:46, travel time:77.13200992555831, q_loss:100, rewards:-112.819046, queue:73.80079, delay:8.256764, throughput:1997
REAL_TEST step:48, travel time:62.37468982630273, q_loss:100, rewards:-107.36126, queue:71.462616, delay:8.29104, throughput:1985
REAL_TEST step:50, travel time:85.5424317617866, q_loss:100, rewards:-116.9148, queue:77.75206, delay:7.6281466, throughput:1989
REAL_TEST step:52, travel time:68.9454094292804, q_loss:100, rewards:-110.011765, queue:72.70549, delay:8.142473, throughput:1994
REAL_TEST step:54, travel time:85.3741935483871, q_loss:100, rewards:-116.69912, queue:79.20731, delay:8.704859, throughput:1980
REAL_TEST step:56, travel time:84.92655086848636, q_loss:100, rewards:-116.12251, queue:77.95767, delay:8.2960825, throughput:1980
REAL_TEST step:58, travel time:80.47423711855927, q_loss:100, rewards:-115.261566, queue:76.58165, delay:8.370093, throughput:1950
REAL_TEST step:60, travel time:61.4317617866005, q_loss:100, rewards:-106.943184, queue:74.446205, delay:8.308623, throughput:1973
REAL_TEST step:62, travel time:94.84317617866004, q_loss:100, rewards:-117.8371, queue:78.31321, delay:8.057713, throughput:1974
REAL_TEST step:64, travel time:69.7652605459057, q_loss:100, rewards:-113.292534, queue:77.83458, delay:8.231533, throughput:1977
REAL_TEST step:66, travel time:66.97320099255583, q_loss:100, rewards:-110.137535, queue:76.01973, delay:7.9247513, throughput:1996
REAL_TEST step:68, travel time:71.45161290322581, q_loss:100, rewards:-113.20544, queue:72.10084, delay:8.5198, throughput:1993
