Loading cached latent encoders from pretrained/lusr/dqn/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_lusr_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=sensor50
REAL_TEST step:2, travel time:456.87186147186145, q_loss:100, rewards:-130.30208, queue:86.98333, delay:0.37205568, throughput:1001
REAL_TEST step:4, travel time:456.87186147186145, q_loss:100, rewards:-191.3729, queue:127.75833, delay:0.4141107, throughput:1001
REAL_TEST step:6, travel time:371.2929203539823, q_loss:100, rewards:-22.7375, queue:15.180555, delay:0.27560127, throughput:1001
REAL_TEST step:8, travel time:371.2929203539823, q_loss:100, rewards:-65.47333, queue:43.694443, delay:0.43485358, throughput:1001
REAL_TEST step:10, travel time:371.2929203539823, q_loss:100, rewards:-38.99917, queue:26.030556, delay:0.2607496, throughput:1001
REAL_TEST step:12, travel time:371.2929203539823, q_loss:100, rewards:-39.432503, queue:26.322222, delay:0.28220686, throughput:1001
REAL_TEST step:14, travel time:371.2929203539823, q_loss:100, rewards:-27.776665, queue:18.538889, delay:0.16027209, throughput:1001
REAL_TEST step:16, travel time:371.2929203539823, q_loss:100, rewards:-11.417083, queue:7.6277776, delay:0.12929595, throughput:1001
REAL_TEST step:18, travel time:263.01869722557296, q_loss:100, rewards:-64.476654, queue:43.052776, delay:0.20471628, throughput:1509
REAL_TEST step:20, travel time:371.2929203539823, q_loss:100, rewards:-11.260416, queue:7.513889, delay:0.16920424, throughput:1001
REAL_TEST step:22, travel time:371.2929203539823, q_loss:100, rewards:-76.86875, queue:51.308334, delay:0.5271142, throughput:1001
REAL_TEST step:24, travel time:456.87186147186145, q_loss:100, rewards:-92.05584, queue:61.458332, delay:0.3258239, throughput:1001
REAL_TEST step:26, travel time:222.91063274624918, q_loss:100, rewards:-55.88417, queue:37.308334, delay:0.41351968, throughput:1412
REAL_TEST step:28, travel time:351.78389830508473, q_loss:100, rewards:-38.12542, queue:25.436111, delay:0.25911152, throughput:1050
REAL_TEST step:30, travel time:364.66985230234576, q_loss:100, rewards:-66.03, queue:44.075, delay:0.41745585, throughput:1021
REAL_TEST step:32, travel time:456.87186147186145, q_loss:100, rewards:-0.06583333, queue:0.047222223, delay:0.072172254, throughput:1001
REAL_TEST step:34, travel time:456.87186147186145, q_loss:100, rewards:-30.112915, queue:20.108334, delay:0.30419543, throughput:1001
REAL_TEST step:36, travel time:124.17395888244597, q_loss:100, rewards:-68.8396, queue:45.730556, delay:0.53479123, throughput:1838
REAL_TEST step:38, travel time:154.28891257995735, q_loss:100, rewards:-43.16791, queue:28.741667, delay:0.266552, throughput:1800
REAL_TEST step:40, travel time:252.7149059334298, q_loss:100, rewards:-33.477085, queue:22.347221, delay:0.27715275, throughput:1252
REAL_TEST step:42, travel time:456.87186147186145, q_loss:100, rewards:-14.577084, queue:9.741667, delay:0.13493223, throughput:1001
REAL_TEST step:44, travel time:371.2929203539823, q_loss:100, rewards:-49.027084, queue:32.72778, delay:0.39878052, throughput:1001
REAL_TEST step:46, travel time:84.65589743589743, q_loss:100, rewards:-26.746248, queue:17.711111, delay:0.42368156, throughput:1912
REAL_TEST step:48, travel time:371.2929203539823, q_loss:100, rewards:-37.983337, queue:25.352777, delay:0.3138408, throughput:1001
REAL_TEST step:50, travel time:89.69308430085815, q_loss:100, rewards:-28.327919, queue:18.725, delay:0.3655173, throughput:1945
REAL_TEST step:52, travel time:84.97766749379653, q_loss:100, rewards:-16.971663, queue:11.188889, delay:0.2550012, throughput:1978
REAL_TEST step:54, travel time:101.5176223040505, q_loss:100, rewards:-18.437492, queue:12.180555, delay:0.21785846, throughput:1855
REAL_TEST step:56, travel time:77.03771712158809, q_loss:100, rewards:-16.667498, queue:10.947222, delay:0.28854057, throughput:1990
REAL_TEST step:58, travel time:327.2755905511811, q_loss:100, rewards:-10.870417, queue:7.236111, delay:0.1863071, throughput:1144
REAL_TEST step:60, travel time:78.87615621788284, q_loss:100, rewards:-23.78083, queue:15.733334, delay:0.3538394, throughput:1909
REAL_TEST step:62, travel time:63.67245657568238, q_loss:100, rewards:-13.00834, queue:8.491667, delay:0.31280038, throughput:1997
REAL_TEST step:64, travel time:92.72266401590457, q_loss:100, rewards:-27.631237, queue:18.26111, delay:0.30975786, throughput:1979
REAL_TEST step:66, travel time:76.2217125382263, q_loss:100, rewards:-18.949995, queue:12.4777775, delay:0.31536996, throughput:1930
REAL_TEST step:68, travel time:70.51265508684864, q_loss:100, rewards:-4.117916, queue:2.7027779, delay:0.16263513, throughput:1992
REAL_TEST step:70, travel time:59.18163771712159, q_loss:100, rewards:-11.070001, queue:7.1583333, delay:0.3348299, throughput:1996
REAL_TEST step:72, travel time:81.11420059582919, q_loss:100, rewards:-20.71125, queue:13.666667, delay:0.3554346, throughput:1989
REAL_TEST step:74, travel time:359.7633851468048, q_loss:100, rewards:-11.187083, queue:7.463889, delay:0.1445372, throughput:1027
REAL_TEST step:76, travel time:64.3940446650124, q_loss:100, rewards:-13.997083, queue:9.116667, delay:0.35152578, throughput:1998
REAL_TEST step:78, travel time:67.15930521091812, q_loss:100, rewards:-10.225414, queue:6.7, delay:0.28581253, throughput:1992
REAL_TEST step:80, travel time:99.975682382134, q_loss:100, rewards:-24.748331, queue:16.425, delay:0.28767833, throughput:1989
REAL_TEST step:82, travel time:99.70711725550436, q_loss:100, rewards:-23.04167, queue:15.316667, delay:0.29233932, throughput:1926
REAL_TEST step:84, travel time:63.83225806451613, q_loss:100, rewards:-8.790832, queue:5.7527776, delay:0.20519096, throughput:1991
REAL_TEST step:86, travel time:90.33629242819843, q_loss:100, rewards:-31.37292, queue:20.725, delay:0.39629805, throughput:1873
REAL_TEST step:88, travel time:371.2929203539823, q_loss:100, rewards:-37.702087, queue:25.161112, delay:0.2799253, throughput:1001
REAL_TEST step:90, travel time:69.7970223325062, q_loss:100, rewards:-11.453752, queue:7.5694447, delay:0.23599686, throughput:1977
REAL_TEST step:92, travel time:80.61767728674204, q_loss:100, rewards:-9.994583, queue:6.638889, delay:0.18153442, throughput:1910
REAL_TEST step:94, travel time:371.2929203539823, q_loss:100, rewards:-22.824165, queue:15.236111, delay:0.2806981, throughput:1001
REAL_TEST step:96, travel time:456.87186147186145, q_loss:100, rewards:-0.0525, queue:0.036111113, delay:0.057095904, throughput:1001
REAL_TEST step:98, travel time:369.0193491644679, q_loss:100, rewards:-22.842499, queue:15.244445, delay:0.31851763, throughput:1009
REAL_TEST step:100, travel time:80.04081632653062, q_loss:100, rewards:-21.83917, queue:14.452778, delay:0.32030767, throughput:1929
REAL_TEST step:102, travel time:370.7409372236958, q_loss:100, rewards:-11.451248, queue:7.65, delay:0.14083974, throughput:1002
REAL_TEST step:104, travel time:79.92252803261978, q_loss:100, rewards:-23.001663, queue:15.113889, delay:0.42997438, throughput:1929
REAL_TEST step:106, travel time:66.0198511166253, q_loss:100, rewards:-12.284999, queue:7.9666667, delay:0.27118164, throughput:1996
REAL_TEST step:108, travel time:697.1547987616099, q_loss:100, rewards:-181.05167, queue:120.93056, delay:0.626724, throughput:668
REAL_TEST step:110, travel time:71.50204708290686, q_loss:100, rewards:-11.765415, queue:7.741667, delay:0.2939253, throughput:1923
REAL_TEST step:112, travel time:73.31662531017369, q_loss:100, rewards:-15.522076, queue:10.175, delay:0.31517676, throughput:1993
