Loading cached latent encoders from pretrained/recon_baseline/dqn/cologne1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_recon_baseline_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=noise3
REAL_TEST step:1, travel time:429.5, q_loss:100, rewards:-108.079865, queue:72.25504, delay:1.6839708, throughput:995
REAL_TEST step:2, travel time:371.2929203539823, q_loss:100, rewards:-84.34581, queue:56.13771, delay:1.4969876, throughput:1001
REAL_TEST step:3, travel time:371.2929203539823, q_loss:100, rewards:-83.89061, queue:56.768448, delay:1.571475, throughput:1001
REAL_TEST step:4, travel time:109.93289273004575, q_loss:100, rewards:-69.56468, queue:47.113026, delay:1.5401881, throughput:1938
REAL_TEST step:5, travel time:59.272456575682384, q_loss:100, rewards:-29.723988, queue:19.694351, delay:1.4597859, throughput:1996
REAL_TEST step:6, travel time:57.142928039702234, q_loss:100, rewards:-27.51452, queue:18.0085, delay:1.5072547, throughput:1996
REAL_TEST step:7, travel time:54.58709677419355, q_loss:100, rewards:-25.665995, queue:16.248713, delay:1.4837292, throughput:1999
REAL_TEST step:8, travel time:54.36742800397219, q_loss:100, rewards:-25.170977, queue:17.051365, delay:1.4050715, throughput:1992
REAL_TEST step:9, travel time:52.72406947890819, q_loss:100, rewards:-24.70644, queue:16.57987, delay:1.4607822, throughput:1998
REAL_TEST step:10, travel time:54.72158808933003, q_loss:100, rewards:-25.088438, queue:15.948656, delay:1.4065711, throughput:1998
REAL_TEST step:11, travel time:56.21141439205955, q_loss:100, rewards:-27.850842, queue:18.693033, delay:1.4706085, throughput:1991
REAL_TEST step:12, travel time:52.57915632754342, q_loss:100, rewards:-24.32238, queue:16.304516, delay:1.4803843, throughput:1989
REAL_TEST step:13, travel time:54.76029776674938, q_loss:100, rewards:-25.971922, queue:17.194328, delay:1.4009154, throughput:1995
REAL_TEST step:14, travel time:55.142431761786604, q_loss:100, rewards:-25.830753, queue:16.902662, delay:1.4167387, throughput:1998
REAL_TEST step:15, travel time:55.06501240694789, q_loss:100, rewards:-26.342894, queue:17.347727, delay:1.541294, throughput:1995
REAL_TEST step:16, travel time:53.432754342431764, q_loss:100, rewards:-25.443495, queue:16.394297, delay:1.4122366, throughput:1991
REAL_TEST step:17, travel time:56.90074441687345, q_loss:100, rewards:-27.245638, queue:18.837227, delay:1.427834, throughput:1990
REAL_TEST step:18, travel time:57.63870967741936, q_loss:100, rewards:-28.088507, queue:18.72853, delay:1.461737, throughput:1990
REAL_TEST step:19, travel time:56.40843672456576, q_loss:100, rewards:-27.329155, queue:18.074646, delay:1.3918569, throughput:1993
REAL_TEST step:20, travel time:56.91608738828202, q_loss:100, rewards:-27.800852, queue:18.446737, delay:1.4298148, throughput:1994
REAL_TEST step:21, travel time:57.94275759084122, q_loss:100, rewards:-28.193733, queue:18.577541, delay:1.4799765, throughput:1982
REAL_TEST step:22, travel time:58.682382133995034, q_loss:100, rewards:-29.147093, queue:19.552076, delay:1.4738698, throughput:1991
REAL_TEST step:23, travel time:55.31960297766749, q_loss:100, rewards:-26.33033, queue:17.224684, delay:1.43056, throughput:1996
REAL_TEST step:24, travel time:57.84607745779543, q_loss:100, rewards:-27.945982, queue:18.546751, delay:1.4523053, throughput:1988
REAL_TEST step:25, travel time:57.734491315136474, q_loss:100, rewards:-27.551952, queue:18.13281, delay:1.3331498, throughput:1997
REAL_TEST step:26, travel time:55.7591857000993, q_loss:100, rewards:-26.344637, queue:17.092957, delay:1.4158756, throughput:1991
REAL_TEST step:27, travel time:55.42481389578164, q_loss:100, rewards:-26.490866, queue:17.654648, delay:1.5026648, throughput:1994
REAL_TEST step:28, travel time:57.292307692307695, q_loss:100, rewards:-27.44546, queue:18.320309, delay:1.4429466, throughput:1997
REAL_TEST step:29, travel time:53.796029776674935, q_loss:100, rewards:-25.277493, queue:16.656355, delay:1.4427031, throughput:1995
REAL_TEST step:30, travel time:56.54590570719603, q_loss:100, rewards:-27.295359, queue:18.584309, delay:1.4474242, throughput:1994
REAL_TEST step:31, travel time:56.184615384615384, q_loss:100, rewards:-27.239378, queue:17.973314, delay:1.4013613, throughput:1991
REAL_TEST step:32, travel time:59.76674937965261, q_loss:100, rewards:-29.194445, queue:19.648266, delay:1.4459141, throughput:1992
REAL_TEST step:33, travel time:58.515632754342434, q_loss:100, rewards:-28.661552, queue:19.303968, delay:1.3833311, throughput:1994
REAL_TEST step:34, travel time:56.075434243176176, q_loss:100, rewards:-27.38093, queue:17.54373, delay:1.4789193, throughput:1992
REAL_TEST step:35, travel time:58.67295285359801, q_loss:100, rewards:-29.071661, queue:18.981754, delay:1.4746597, throughput:1993
REAL_TEST step:36, travel time:56.402184707050644, q_loss:100, rewards:-27.810442, queue:17.52817, delay:1.4042702, throughput:1986
REAL_TEST step:37, travel time:56.282522343594835, q_loss:100, rewards:-27.81618, queue:17.66182, delay:1.3979746, throughput:1991
REAL_TEST step:38, travel time:55.94342431761787, q_loss:100, rewards:-27.401665, queue:17.397806, delay:1.4133111, throughput:1997
REAL_TEST step:39, travel time:53.83920595533499, q_loss:100, rewards:-25.901842, queue:17.263227, delay:1.4904697, throughput:1998
REAL_TEST step:40, travel time:55.03573200992556, q_loss:100, rewards:-26.524477, queue:17.162655, delay:1.4384259, throughput:1994
REAL_TEST step:41, travel time:56.80545905707196, q_loss:100, rewards:-28.287167, queue:18.953543, delay:1.4252864, throughput:1996
REAL_TEST step:42, travel time:56.608933002481386, q_loss:100, rewards:-27.52762, queue:17.96748, delay:1.4528067, throughput:1991
REAL_TEST step:43, travel time:56.27791563275434, q_loss:100, rewards:-27.410503, queue:17.862265, delay:1.4350518, throughput:1988
REAL_TEST step:44, travel time:57.1985111662531, q_loss:100, rewards:-27.446365, queue:18.48849, delay:1.4317429, throughput:1996
REAL_TEST step:45, travel time:55.08238213399504, q_loss:100, rewards:-26.60024, queue:17.612642, delay:1.3645461, throughput:1993
REAL_TEST step:46, travel time:57.293300248138955, q_loss:100, rewards:-27.628065, queue:18.42216, delay:1.4422739, throughput:1997
REAL_TEST step:47, travel time:59.96526054590571, q_loss:100, rewards:-30.409248, queue:19.902943, delay:1.3777112, throughput:1991
REAL_TEST step:48, travel time:56.00149031296572, q_loss:100, rewards:-27.07537, queue:17.83389, delay:1.461621, throughput:1988
REAL_TEST step:49, travel time:56.33250620347395, q_loss:100, rewards:-27.586826, queue:18.274931, delay:1.5151604, throughput:1993
REAL_TEST step:50, travel time:54.83076923076923, q_loss:100, rewards:-27.375584, queue:17.659658, delay:1.4343351, throughput:1991
REAL_TEST step:51, travel time:58.40496277915633, q_loss:100, rewards:-28.282124, queue:18.53646, delay:1.41366, throughput:1995
REAL_TEST step:52, travel time:57.08684863523573, q_loss:100, rewards:-28.280369, queue:18.768246, delay:1.3806095, throughput:1998
