Loading cached latent encoders from pretrained/recon_baseline/dqn/cologne1
replay_curve: 199 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_recon_baseline_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=combine2
REAL_TEST step:1, travel time:423.2292191435768, q_loss:100, rewards:-63.07219, queue:41.756535, delay:1.2654548, throughput:1046
REAL_TEST step:2, travel time:367.568661971831, q_loss:100, rewards:-55.900497, queue:37.280136, delay:1.1351378, throughput:1007
REAL_TEST step:3, travel time:370.6189213085765, q_loss:100, rewards:-81.93144, queue:55.51338, delay:1.4071212, throughput:1002
REAL_TEST step:4, travel time:298.0891495601173, q_loss:100, rewards:-198.69583, queue:133.32043, delay:1.5630642, throughput:1544
REAL_TEST step:5, travel time:70.96923076923076, q_loss:100, rewards:-39.32409, queue:26.035807, delay:1.4739156, throughput:1994
REAL_TEST step:6, travel time:63.087841191067, q_loss:100, rewards:-31.88227, queue:20.887932, delay:1.5159602, throughput:1997
REAL_TEST step:7, travel time:74.6059553349876, q_loss:100, rewards:-22.643307, queue:14.438895, delay:1.1199638, throughput:1995
REAL_TEST step:8, travel time:59.96476426799008, q_loss:100, rewards:-20.268358, queue:13.828095, delay:1.0591646, throughput:1994
REAL_TEST step:9, travel time:54.73895781637717, q_loss:100, rewards:-26.092752, queue:17.420837, delay:1.4608978, throughput:1998
REAL_TEST step:10, travel time:53.30669975186104, q_loss:100, rewards:-24.629433, queue:15.570393, delay:1.4044392, throughput:1997
REAL_TEST step:11, travel time:62.61687344913151, q_loss:100, rewards:-32.740986, queue:21.824896, delay:1.4859093, throughput:1988
REAL_TEST step:12, travel time:62.71116625310174, q_loss:100, rewards:-29.369616, queue:19.537907, delay:1.3072609, throughput:1990
REAL_TEST step:13, travel time:56.7151364764268, q_loss:100, rewards:-27.591618, queue:18.18706, delay:1.4047987, throughput:1994
REAL_TEST step:14, travel time:56.90669975186104, q_loss:100, rewards:-20.76645, queue:13.249437, delay:1.098437, throughput:1996
REAL_TEST step:15, travel time:64.14540942928039, q_loss:100, rewards:-19.480553, queue:12.944083, delay:0.97658885, throughput:1990
REAL_TEST step:16, travel time:55.162779156327545, q_loss:100, rewards:-26.628654, queue:17.302235, delay:1.4126787, throughput:1998
REAL_TEST step:17, travel time:62.010427010923536, q_loss:100, rewards:-31.190025, queue:21.393118, delay:1.4322798, throughput:1990
REAL_TEST step:18, travel time:58.353846153846156, q_loss:100, rewards:-28.384378, queue:18.876265, delay:1.4678972, throughput:1990
REAL_TEST step:19, travel time:61.65831663326653, q_loss:100, rewards:-18.679876, queue:12.319325, delay:0.9954583, throughput:1956
REAL_TEST step:20, travel time:67.66253101736973, q_loss:100, rewards:-21.740425, queue:14.344987, delay:1.0759563, throughput:1995
REAL_TEST step:21, travel time:65.50995024875621, q_loss:100, rewards:-34.305367, queue:22.505308, delay:1.4993078, throughput:1984
REAL_TEST step:22, travel time:65.20397022332506, q_loss:100, rewards:-34.983093, queue:23.537104, delay:1.4777889, throughput:1991
REAL_TEST step:23, travel time:56.85955334987593, q_loss:100, rewards:-27.773567, queue:18.270336, delay:1.4371521, throughput:1993
REAL_TEST step:24, travel time:56.245657568238215, q_loss:100, rewards:-27.620169, queue:18.350485, delay:1.447749, throughput:1987
REAL_TEST step:25, travel time:60.488833746898266, q_loss:100, rewards:-23.145912, queue:15.463418, delay:0.9731875, throughput:1997
REAL_TEST step:26, travel time:277.9929178470255, q_loss:100, rewards:-126.680824, queue:84.21953, delay:1.3778455, throughput:1163
REAL_TEST step:27, travel time:53.640694789081884, q_loss:100, rewards:-20.269981, queue:13.216761, delay:1.1260811, throughput:1997
