Loading cached latent encoders from pretrained/vae_embedding/dqn/cologne1
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne1/baseline_v1_vae_s0/model/cologne1_noise5_dqn_latent_observation -> eval real_setting=sensor20
REAL_TEST step:2, travel time:456.87186147186145, q_loss:100, rewards:-206.80624, queue:138.05833, delay:0.49430898, throughput:1001
REAL_TEST step:4, travel time:371.2929203539823, q_loss:100, rewards:-39.097084, queue:26.091667, delay:0.30657735, throughput:1001
REAL_TEST step:6, travel time:371.2929203539823, q_loss:100, rewards:-76.78209, queue:51.252777, delay:0.5220173, throughput:1001
REAL_TEST step:8, travel time:65.26736631684157, q_loss:100, rewards:-24.586668, queue:16.122223, delay:0.45258993, throughput:1974
REAL_TEST step:10, travel time:59.602977667493796, q_loss:100, rewards:-14.967079, queue:9.766666, delay:0.39006644, throughput:1997
REAL_TEST step:12, travel time:59.043672456575685, q_loss:100, rewards:-18.431658, queue:12.030556, delay:0.4445529, throughput:1997
REAL_TEST step:14, travel time:154.32841565105838, q_loss:100, rewards:-31.423332, queue:20.944445, delay:0.39622295, throughput:1468
REAL_TEST step:16, travel time:68.44956477214542, q_loss:100, rewards:-16.42708, queue:10.788889, delay:0.30637565, throughput:1920
REAL_TEST step:18, travel time:99.51320754716981, q_loss:100, rewards:-21.979174, queue:14.511111, delay:0.33355626, throughput:1814
REAL_TEST step:20, travel time:64.35880893300248, q_loss:100, rewards:-23.574984, queue:15.319445, delay:0.45489937, throughput:1989
REAL_TEST step:22, travel time:72.27115188583079, q_loss:100, rewards:-26.486258, queue:17.366667, delay:0.4777554, throughput:1923
REAL_TEST step:24, travel time:453.90595340811046, q_loss:100, rewards:-91.34667, queue:60.98611, delay:0.32293004, throughput:1005
REAL_TEST step:26, travel time:469.6936026936027, q_loss:100, rewards:-120.658745, queue:80.53333, delay:0.42803335, throughput:1019
REAL_TEST step:28, travel time:69.84466501240695, q_loss:100, rewards:-15.976674, queue:10.433333, delay:0.36424848, throughput:1993
REAL_TEST step:30, travel time:70.49230769230769, q_loss:100, rewards:-15.7095785, queue:10.244445, delay:0.3303945, throughput:1997
REAL_TEST step:32, travel time:62.67245657568238, q_loss:100, rewards:-20.15916, queue:13.1027775, delay:0.45194626, throughput:1992
REAL_TEST step:34, travel time:453.8636755823986, q_loss:100, rewards:-105.895836, queue:70.69722, delay:0.43598604, throughput:1005
REAL_TEST step:36, travel time:63.99503722084367, q_loss:100, rewards:-12.44418, queue:8.1472225, delay:0.37846255, throughput:1992
REAL_TEST step:38, travel time:79.28089330024814, q_loss:100, rewards:-19.03125, queue:12.458333, delay:0.31033674, throughput:1997
REAL_TEST step:40, travel time:457.6196213425129, q_loss:100, rewards:-93.59208, queue:62.47222, delay:0.30749944, throughput:1006
REAL_TEST step:42, travel time:57.88982630272953, q_loss:100, rewards:-16.622086, queue:10.780556, delay:0.41957778, throughput:1992
REAL_TEST step:44, travel time:59.966749379652605, q_loss:100, rewards:-16.070824, queue:10.402778, delay:0.38612106, throughput:1997
REAL_TEST step:46, travel time:55.90669975186104, q_loss:100, rewards:-14.302082, queue:9.3, delay:0.37491998, throughput:1997
REAL_TEST step:48, travel time:60.39503722084367, q_loss:100, rewards:-16.460827, queue:10.688889, delay:0.35089937, throughput:1997
REAL_TEST step:50, travel time:64.35285359801489, q_loss:100, rewards:-16.954578, queue:11.036111, delay:0.36376002, throughput:1996
REAL_TEST step:52, travel time:96.27096774193548, q_loss:100, rewards:-22.114162, queue:14.65, delay:0.29203612, throughput:1990
REAL_TEST step:54, travel time:64.88535980148883, q_loss:100, rewards:-12.467498, queue:8.177778, delay:0.2482019, throughput:1998
REAL_TEST step:56, travel time:65.24069478908189, q_loss:100, rewards:-10.098334, queue:6.633333, delay:0.28319958, throughput:1998
REAL_TEST step:58, travel time:62.324022346368714, q_loss:100, rewards:-16.355001, queue:10.686111, delay:0.35676357, throughput:1939
REAL_TEST step:60, travel time:66.0198511166253, q_loss:100, rewards:-14.852498, queue:9.638889, delay:0.30878797, throughput:1998
REAL_TEST step:62, travel time:453.92493528904225, q_loss:100, rewards:-105.90333, queue:70.7, delay:0.43649834, throughput:1005
REAL_TEST step:64, travel time:453.92493528904225, q_loss:100, rewards:-105.90333, queue:70.7, delay:0.43649834, throughput:1005
REAL_TEST step:66, travel time:57.75086848635236, q_loss:100, rewards:-13.890419, queue:9.025, delay:0.38825074, throughput:1992
REAL_TEST step:68, travel time:72.49923508414075, q_loss:100, rewards:-20.32333, queue:13.366667, delay:0.3595854, throughput:1928
REAL_TEST step:70, travel time:453.90595340811046, q_loss:100, rewards:-105.89959, queue:70.7, delay:0.43615884, throughput:1005
REAL_TEST step:72, travel time:61.066004962779154, q_loss:100, rewards:-19.13625, queue:12.469444, delay:0.44374716, throughput:1995
REAL_TEST step:74, travel time:223.26938775510203, q_loss:100, rewards:-46.89834, queue:31.219444, delay:0.43507156, throughput:1587
REAL_TEST step:76, travel time:453.90595340811046, q_loss:100, rewards:-105.89959, queue:70.7, delay:0.4300493, throughput:1005
REAL_TEST step:78, travel time:60.13846153846154, q_loss:100, rewards:-14.592911, queue:9.461111, delay:0.3617551, throughput:1997
REAL_TEST step:80, travel time:88.46264073694985, q_loss:100, rewards:-21.893759, queue:14.45, delay:0.33976427, throughput:1923
REAL_TEST step:82, travel time:80.99448068238836, q_loss:100, rewards:-24.769588, queue:16.366667, delay:0.34377086, throughput:1959
REAL_TEST step:84, travel time:79.59195979899498, q_loss:100, rewards:-21.231245, queue:13.986111, delay:0.30320385, throughput:1956
REAL_TEST step:86, travel time:56.318610421836226, q_loss:100, rewards:-14.807495, queue:9.536111, delay:0.36037543, throughput:1998
REAL_TEST step:88, travel time:67.44019851116626, q_loss:100, rewards:-16.73042, queue:10.908334, delay:0.36804068, throughput:1997
REAL_TEST step:90, travel time:74.11563275434243, q_loss:100, rewards:-17.199175, queue:11.305555, delay:0.35796818, throughput:1993
REAL_TEST step:92, travel time:66.99036022323693, q_loss:100, rewards:-11.222918, queue:7.266667, delay:0.27490294, throughput:1946
REAL_TEST step:94, travel time:93.75086848635236, q_loss:100, rewards:-35.98208, queue:23.76389, delay:0.47096646, throughput:1990
REAL_TEST step:96, travel time:456.87186147186145, q_loss:100, rewards:-76.57, queue:51.122223, delay:0.19442545, throughput:1001
