Loading cached latent encoders from pretrained/atc/dqn/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_atc_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=dz50
REAL_TEST step:2, travel time:481.57211079274117, q_loss:100, rewards:-277.32153, queue:42.341667, delay:0.57667595, throughput:1543
REAL_TEST step:4, travel time:557.3418593212002, q_loss:100, rewards:-227.35568, queue:38.128704, delay:0.6384779, throughput:1500
REAL_TEST step:6, travel time:463.0455580865604, q_loss:100, rewards:-326.28665, queue:44.676853, delay:0.7289238, throughput:1679
REAL_TEST step:8, travel time:97.19362745098039, q_loss:100, rewards:-50.41305, queue:7.6435184, delay:0.42757258, throughput:2793
REAL_TEST step:10, travel time:427.7767857142857, q_loss:100, rewards:-276.2821, queue:40.871296, delay:0.71726495, throughput:1823
REAL_TEST step:12, travel time:425.17118644067796, q_loss:100, rewards:-267.1814, queue:40.672222, delay:0.72009075, throughput:1836
REAL_TEST step:14, travel time:495.6266407389402, q_loss:100, rewards:-224.83723, queue:33.62315, delay:0.6487178, throughput:1612
REAL_TEST step:16, travel time:462.79487179487177, q_loss:100, rewards:-319.8224, queue:44.27222, delay:0.7228944, throughput:1705
REAL_TEST step:18, travel time:142.7302032235459, q_loss:100, rewards:-123.05915, queue:18.592592, delay:0.5181464, throughput:2752
REAL_TEST step:20, travel time:208.05251312828207, q_loss:100, rewards:-87.505005, queue:14.48426, delay:0.585192, throughput:2435
REAL_TEST step:22, travel time:1699.5737538148526, q_loss:100, rewards:-351.6056, queue:54.519444, delay:0.8037962, throughput:342
REAL_TEST step:24, travel time:448.64799635701274, q_loss:100, rewards:-312.25986, queue:42.678703, delay:0.67647773, throughput:1667
REAL_TEST step:26, travel time:93.38865546218487, q_loss:100, rewards:-46.910828, queue:7.6685185, delay:0.3767074, throughput:2782
REAL_TEST step:28, travel time:442.1650179856115, q_loss:100, rewards:-304.93222, queue:41.666668, delay:0.6691884, throughput:1698
REAL_TEST step:30, travel time:428.82667265379433, q_loss:100, rewards:-299.91794, queue:40.839813, delay:0.64690274, throughput:1722
REAL_TEST step:32, travel time:447.1074192080109, q_loss:100, rewards:-309.37555, queue:42.064816, delay:0.6643311, throughput:1667
REAL_TEST step:34, travel time:431.5711091234347, q_loss:100, rewards:-301.26694, queue:41.717594, delay:0.66355425, throughput:1729
REAL_TEST step:36, travel time:438.70144534778683, q_loss:100, rewards:-306.15073, queue:41.79259, delay:0.659107, throughput:1692
REAL_TEST step:38, travel time:431.17098214285716, q_loss:100, rewards:-299.49847, queue:41.468517, delay:0.6631784, throughput:1715
REAL_TEST step:40, travel time:425.4591700133869, q_loss:100, rewards:-294.34695, queue:40.65463, delay:0.6450862, throughput:1735
