Loading cached latent encoders from pretrained/atc/dqn/cologne3
replay_curve: 99 checkpoints from data/output_data/sim2real_observations/cityflow_dqn/cologne3/baseline_v1_atc_s0/model/cologne3_noise5_dqn_latent_observation -> eval real_setting=combine3
REAL_TEST step:2, travel time:456.7171403197158, q_loss:100, rewards:-253.41179, queue:39.291077, delay:1.1514908, throughput:1817
REAL_TEST step:4, travel time:505.5339302544769, q_loss:100, rewards:-200.45415, queue:32.773884, delay:1.2264841, throughput:1557
REAL_TEST step:6, travel time:442.96136962247584, q_loss:100, rewards:-242.97112, queue:41.42893, delay:1.2743266, throughput:1797
REAL_TEST step:8, travel time:96.30707282913166, q_loss:100, rewards:-49.013855, queue:8.993567, delay:1.0284901, throughput:2804
REAL_TEST step:10, travel time:582.7918105574742, q_loss:100, rewards:-256.41028, queue:40.54119, delay:1.3500831, throughput:1422
REAL_TEST step:12, travel time:549.8343023255813, q_loss:100, rewards:-200.77072, queue:31.499527, delay:1.2044072, throughput:1490
REAL_TEST step:14, travel time:593.4262055528495, q_loss:100, rewards:-235.17583, queue:36.020412, delay:1.3498037, throughput:1449
REAL_TEST step:16, travel time:726.3074745186863, q_loss:100, rewards:-290.29144, queue:43.49565, delay:1.2878407, throughput:1234
REAL_TEST step:18, travel time:540.2276154571159, q_loss:100, rewards:-219.12299, queue:34.750793, delay:1.2826068, throughput:1526
REAL_TEST step:20, travel time:135.98844537815125, q_loss:100, rewards:-107.01237, queue:18.519434, delay:1.1291775, throughput:2787
REAL_TEST step:22, travel time:536.0844738084002, q_loss:100, rewards:-173.88895, queue:26.824697, delay:1.1232756, throughput:1528
REAL_TEST step:24, travel time:431.46666666666664, q_loss:100, rewards:-201.37947, queue:28.66406, delay:1.031269, throughput:1766
REAL_TEST step:26, travel time:640.9465611083622, q_loss:100, rewards:-164.69408, queue:26.885992, delay:1.2983038, throughput:1412
REAL_TEST step:28, travel time:374.2550808793032, q_loss:100, rewards:-198.08359, queue:30.886665, delay:1.3269547, throughput:1930
REAL_TEST step:30, travel time:660.6516913319239, q_loss:100, rewards:-210.23676, queue:36.66762, delay:1.2841246, throughput:1257
REAL_TEST step:32, travel time:440.4613676731794, q_loss:100, rewards:-303.91785, queue:42.27659, delay:1.3163545, throughput:1736
REAL_TEST step:34, travel time:617.2283737024221, q_loss:100, rewards:-250.53352, queue:41.95311, delay:1.381989, throughput:1392
REAL_TEST step:36, travel time:414.2090443686007, q_loss:100, rewards:-144.66936, queue:23.93076, delay:1.0287225, throughput:1821
REAL_TEST step:38, travel time:377.30731507968943, q_loss:100, rewards:-201.1686, queue:29.6202, delay:1.2968712, throughput:1968
REAL_TEST step:40, travel time:900.1069418386492, q_loss:100, rewards:-231.72974, queue:38.071644, delay:1.1878762, throughput:950
